,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_서브색상,하의_카테고리,하의_디테일,하의_소재,하의_프린트,하의_핏,상의_기장,상의_색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,상의_서브색상,상의_옷깃,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_핏,아우터_옷깃,아우터_서브색상,아우터_넥라인,원피스_기장,원피스_색상,원피스_카테고리,원피스_디테일,원피스_소매기장,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,원피스_서브색상,원피스_옷깃
13,1012271,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,['단추'],긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
14,1012272,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '비대칭']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
15,1012273,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '비대칭']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
16,1012274,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '비대칭']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
17,1012275,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '비대칭']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
18,1012276,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,,긴팔,['우븐'],['스트라이프'],,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
19,1012277,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,['단추'],긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
20,1012280,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,['띠'],긴팔,['우븐'],['스트라이프'],,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
21,1012281,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '띠', '비대칭', '버클']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
22,1012282,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,['띠'],긴팔,['우븐'],['스트라이프'],,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
23,1012283,아방가르드,"하의, 상의",3,발목,네이비,,청바지,,['데님'],['무지'],노멀,롱,레드,셔츠,"['단추', '띠', '비대칭']",긴팔,['우븐'],['스트라이프'],브이넥,노멀,화이트,셔츠칼라,,,,,,,,,,,,,,,,,,,,,,
24,1033550,아방가르드,"아우터, 하의",4,맥시,블랙,,청바지,['디스트로이드'],['데님'],['무지'],루즈,,,,,,,,,,,,노말,블랙,재킷,"['포켓', '단추']",긴팔,['코듀로이'],['무지'],루즈,,,,,,,,,,,,,,
25,1033554,아방가르드,"아우터, 하의",4,맥시,블랙,,청바지,['디스트로이드'],['데님'],['무지'],루즈,,,,,,,,,,,,노말,블랙,재킷,"['포켓', '단추']",긴팔,['코듀로이'],['무지'],루즈,,,,,,,,,,,,,,
26,1033559,아방가르드,"아우터, 하의",4,,,,청바지,,['데님'],['무지'],루즈,,,,,,,,,,,,노말,블랙,재킷,['슬릿'],긴팔,['코듀로이'],['무지'],루즈,,,,,,,,,,,,,,
27,1033560,아방가르드,"아우터, 하의",4,맥시,블랙,,청바지,['디스트로이드'],['데님'],['무지'],루즈,,,,,,,,,,,,노말,블랙,재킷,"['포켓', '단추']",긴팔,['코듀로이'],['무지'],루즈,,,,,,,,,,,,,,
28,1034592,아방가르드,"아우터, 하의",4,미니,블랙,,스커트,,['우븐'],['무지'],루즈,,,,,,,,,,,,노말,화이트,재킷,"['퍼프', '비대칭']",반팔,['우븐'],['무지'],노멀,테일러드칼라,,,,,,,,,,,,,
29,1034593,아방가르드,"아우터, 하의",4,미니,블랙,,스커트,,['우븐'],['무지'],루즈,,,,,,,,,,,,노말,화이트,재킷,"['퍼프', '비대칭']",반팔,['우븐'],['무지'],노멀,테일러드칼라,,,,,,,,,,,,,
30,1034594,아방가르드,"아우터, 하의",4,미니,블랙,,스커트,,['우븐'],['무지'],루즈,,,,,,,,,,,,노말,화이트,재킷,"['퍼프', '비대칭']",반팔,['우븐'],['무지'],노멀,테일러드칼라,,,,,,,,,,,,,
31,1034595,아방가르드,"아우터, 하의",4,발목,스카이블루,,청바지,,['데님'],['무지'],스키니,,,,,,,,,,,,노말,오렌지,재킷,"['퍼프', '비대칭']",반팔,['우븐'],['무지'],노멀,테일러드칼라,,,,,,,,,,,,,
32,1034596,아방가르드,"아우터, 하의, 상의",10,,,,청바지,,['데님'],['무지'],스키니,,오렌지,,,반팔,,,,,,,노말,,재킷,"['셔링', '퍼프']",,['린넨'],['무지'],노멀,테일러드칼라,,,,,,,,,,,,,
33,1034597,아방가르드,"아우터, 하의",4,,,,청바지,,['데님'],['무지'],스키니,,,,,,,,,,,,노말,오렌지,재킷,"['셔링', '퍼프']",반팔,['린넨'],['무지'],노멀,테일러드칼라,,,,,,,,,,,,,
34,1046248,아방가르드,"하의, 상의",3,미디,카키,,스커트,"['비대칭', '러플']",['우븐'],,노멀,노멀,블랙,니트웨어,['러플'],긴팔,['니트'],,라운드넥,타이트,,,,,,,,,,,,,,,,,,,,,,,,
35,1046253,아방가르드,"하의, 상의",3,미디,카키,,스커트,"['비대칭', '러플']",['우븐'],,노멀,노멀,블랙,니트웨어,['러플'],긴팔,['니트'],,라운드넥,타이트,,,,,,,,,,,,,,,,,,,,,,,,
36,1046254,아방가르드,"하의, 상의",3,미디,카키,,스커트,"['비대칭', '러플']",['우븐'],,노멀,노멀,블랙,니트웨어,['러플'],긴팔,['니트'],,라운드넥,타이트,,,,,,,,,,,,,,,,,,,,,,,,
37,1046258,아방가르드,"하의, 상의",3,미디,카키,,스커트,"['비대칭', '러플']",['우븐'],,노멀,노멀,블랙,니트웨어,['러플'],긴팔,['니트'],,라운드넥,타이트,,,,,,,,,,,,,,,,,,,,,,,,
38,1054226,아방가르드,"하의, 상의",3,발목,화이트,,팬츠,,['우븐'],['무지'],스키니,롱,오렌지,블라우스,"['컷아웃', '러플']",7부소매,['우븐'],['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
39,1054227,아방가르드,"하의, 상의",3,발목,화이트,,팬츠,,['우븐'],['무지'],스키니,롱,오렌지,블라우스,"['컷아웃', '러플']",7부소매,['우븐'],['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
40,1054228,아방가르드,"하의, 상의",3,발목,화이트,,팬츠,,['우븐'],['무지'],스키니,롱,오렌지,블라우스,"['컷아웃', '러플']",7부소매,['우븐'],['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
41,1054232,아방가르드,"하의, 상의",3,발목,화이트,,팬츠,,['우븐'],['무지'],스키니,롱,오렌지,블라우스,"['컷아웃', '러플']",7부소매,['우븐'],['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
42,1054233,아방가르드,"하의, 상의",3,발목,화이트,,팬츠,,['우븐'],['무지'],스키니,롱,오렌지,블라우스,"['컷아웃', '러플']",7부소매,['우븐'],['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
43,1054234,아방가르드,"하의, 상의",3,발목,화이트,,팬츠,,['우븐'],['무지'],스키니,롱,오렌지,블라우스,"['컷아웃', '러플']",7부소매,['우븐'],['무지'],,노멀,,,,,,,,,,,,,,,,,,,,,,,,
44,1054235,아방가르드,"하의, 상의",3,발목,화이트,,팬츠,,['우븐'],['무지'],스키니,롱,오렌지,블라우스,"['컷아웃', '러플']",7부소매,['우븐'],['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
45,1054236,아방가르드,"하의, 상의",3,발목,화이트,,팬츠,,['우븐'],['무지'],스키니,롱,오렌지,블라우스,"['컷아웃', '러플']",7부소매,['우븐'],['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
46,1054237,아방가르드,"하의, 상의",3,발목,화이트,,팬츠,,['우븐'],['무지'],스키니,롱,오렌지,블라우스,"['컷아웃', '러플']",7부소매,['우븐'],['무지'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,
47,1055057,아방가르드,"하의, 상의",3,미디,네이비,,스커트,['플리츠'],['벨벳'],['무지'],루즈,,블랙,,,긴팔,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,1055058,아방가르드,"하의, 상의",3,미디,네이비,,스커트,['플리츠'],['벨벳'],['무지'],루즈,,블랙,,,긴팔,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1055072,아방가르드,"하의, 상의",3,미디,네이비,,스커트,['플리츠'],['벨벳'],['무지'],루즈,,블랙,,,긴팔,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1055076,아방가르드,"하의, 상의",3,미디,네이비,,스커트,['플리츠'],['벨벳'],['무지'],루즈,,블랙,,,긴팔,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1055077,아방가르드,"하의, 상의",3,미디,네이비,,스커트,['플리츠'],['벨벳'],['무지'],루즈,,블랙,,,긴팔,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,1061056,아방가르드,"아우터, 하의, 상의",10,,화이트,,,,,,,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
53,1061057,아방가르드,"아우터, 하의, 상의",10,,화이트,,,,,,,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
54,1061058,아방가르드,"아우터, 하의, 상의",10,,화이트,,,,,,,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
55,1061059,아방가르드,"아우터, 하의, 상의",10,,화이트,,,,,,,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
56,1061060,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
57,1061061,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
58,1061062,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
59,1061063,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,,옐로우,,,긴팔,,,,,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
60,1061066,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
61,1061067,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
62,1061068,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
63,1061069,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,,옐로우,,,긴팔,,,,,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
64,1061070,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,,옐로우,,,긴팔,,,,,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
65,1061071,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,,핑크,,,긴팔,,,,,브라운,,,,,,,,,,,,
66,1061072,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
67,1061073,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
68,1061076,아방가르드,"아우터, 하의, 상의",10,발목,라벤더,,팬츠,,['우븐'],['무지'],노멀,,옐로우,,,긴팔,,,,,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
69,1061077,아방가르드,"아우터, 하의, 상의",10,발목,라벤더,,팬츠,,['우븐'],['무지'],노멀,,옐로우,,,긴팔,,,,,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
70,1061078,아방가르드,"아우터, 하의, 상의",10,발목,라벤더,,팬츠,,['우븐'],['무지'],노멀,,옐로우,,,긴팔,,,,,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
71,1061079,아방가르드,"하의, 상의",3,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,핑크,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,브라운,,,,,,,,,,,,,,,,,,,,,,,
72,1061080,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,,옐로우,,,긴팔,,,,,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
73,1061081,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,,옐로우,,,긴팔,,,,,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
74,1061082,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,,옐로우,,,긴팔,,,,,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
75,1061083,아방가르드,"아우터, 하의, 상의",10,발목,화이트,,팬츠,,['우븐'],['무지'],노멀,노멀,옐로우,탑,,긴팔,['우븐'],['무지'],터틀넥,오버사이즈,,,하프,핑크,점퍼,,긴팔,['퍼'],['지그재그'],오버사이즈,,브라운,,,,,,,,,,,,
76,1061096,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
77,1061097,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
78,1061098,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
79,1061099,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
80,1061100,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
81,1061101,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
82,1061102,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
83,1061103,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
84,1061106,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
85,1061107,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
86,1061108,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
87,1061109,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
88,1061110,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
89,1061111,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
90,1061112,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
91,1061113,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
92,1061116,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
93,1061117,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
94,1061118,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
95,1061119,아방가르드,"아우터, 하의",4,,블랙,,,,,,,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
96,1061120,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
97,1061121,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
98,1061122,아방가르드,"아우터, 하의",4,,블랙,,,,,,,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
99,1061123,아방가르드,"아우터, 하의",4,,블랙,,,,,,,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
100,1061126,아방가르드,"아우터, 하의",4,,블랙,,,,,,,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
101,1061127,아방가르드,"아우터, 하의",4,,블랙,,,,,,,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
102,1061128,아방가르드,"아우터, 하의",4,발목,블랙,,팬츠,,['데님'],['무지'],벨보텀,,,,,,,,,,,,롱,네이비,점퍼,,긴팔,"['패딩', '퍼', '데님']",['레터링'],루즈,,그레이,후드,,,,,,,,,,,
