,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_기장,상의_색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,아우터_기장,아우터_색상,아우터_카테고리,아우터_옷깃,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_핏,하의_디테일,아우터_넥라인,상의_서브색상,아우터_서브색상,원피스_기장,원피스_색상,원피스_서브색상,원피스_카테고리,원피스_디테일,원피스_소매기장,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,상의_옷깃,하의_서브색상,원피스_옷깃
17,1039182,웨스턴,"하의, 상의",3,발목,화이트,팬츠,['우븐'],['무지'],루즈,롱,블랙,블라우스,['띠'],7부소매,['시폰'],['페이즐리'],라운드넥,루즈,,,,,,,,,,,,화이트,,,,,,,,,,,,,,
18,1039183,웨스턴,"하의, 상의",3,발목,화이트,팬츠,['우븐'],['무지'],루즈,롱,블랙,블라우스,['띠'],7부소매,['시폰'],['페이즐리'],라운드넥,루즈,,,,,,,,,,,,화이트,,,,,,,,,,,,,,
19,1039184,웨스턴,"하의, 상의",3,발목,화이트,팬츠,['우븐'],['무지'],루즈,롱,블랙,블라우스,['띠'],7부소매,['시폰'],['페이즐리'],라운드넥,루즈,,,,,,,,,,,,화이트,,,,,,,,,,,,,,
20,1039188,웨스턴,"하의, 상의",3,발목,화이트,팬츠,['우븐'],['무지'],루즈,롱,블랙,블라우스,['띠'],7부소매,['시폰'],['페이즐리'],라운드넥,루즈,,,,,,,,,,,,화이트,,,,,,,,,,,,,,
21,1039191,웨스턴,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],스키니,롱,핑크,블라우스,['띠'],7부소매,['시폰'],['호피'],라운드넥,루즈,,,,,,,,,,,,블랙,,,,,,,,,,,,,,
22,1039192,웨스턴,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],스키니,롱,핑크,블라우스,['띠'],7부소매,['시폰'],['호피'],라운드넥,루즈,,,,,,,,,,,,블랙,,,,,,,,,,,,,,
23,1039194,웨스턴,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],스키니,롱,핑크,블라우스,['띠'],7부소매,['시폰'],['호피'],라운드넥,루즈,,,,,,,,,,,,블랙,,,,,,,,,,,,,,
24,1039198,웨스턴,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],스키니,롱,핑크,블라우스,['띠'],7부소매,['시폰'],['호피'],라운드넥,루즈,,,,,,,,,,,,블랙,,,,,,,,,,,,,,
25,1039200,웨스턴,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],스키니,롱,핑크,블라우스,['띠'],7부소매,['시폰'],['호피'],라운드넥,루즈,,,,,,,,,,,,블랙,,,,,,,,,,,,,,
26,1046193,웨스턴,"하의, 상의",3,미디,블루,스커트,['데님'],,노멀,노멀,브라운,니트웨어,,긴팔,['니트'],,라운드넥,노멀,,,,,,,,,,"['단추', '포켓', '버클']",,,,,,,,,,,,,,,,
27,1046194,웨스턴,"하의, 상의",3,미디,블루,스커트,['데님'],,노멀,노멀,브라운,니트웨어,,긴팔,['니트'],,라운드넥,노멀,,,,,,,,,,"['단추', '포켓', '버클']",,,,,,,,,,,,,,,,
28,1046196,웨스턴,"하의, 상의",3,미디,블루,스커트,['데님'],,노멀,노멀,브라운,니트웨어,,긴팔,['니트'],,라운드넥,노멀,,,,,,,,,,"['단추', '포켓', '버클']",,,,,,,,,,,,,,,,
29,1046198,웨스턴,"하의, 상의",3,미디,블루,스커트,['데님'],,노멀,노멀,브라운,니트웨어,,긴팔,['니트'],,라운드넥,노멀,,,,,,,,,,"['단추', '포켓', '버클']",,,,,,,,,,,,,,,,
30,1046200,웨스턴,"하의, 상의",3,미디,블루,스커트,['데님'],,노멀,노멀,브라운,니트웨어,,긴팔,['니트'],,라운드넥,노멀,,,,,,,,,,"['단추', '포켓', '버클']",,,,,,,,,,,,,,,,
31,1090738,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],벨보텀,노멀,화이트,니트웨어,['니트꽈베기'],긴팔,['니트'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1090739,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],벨보텀,노멀,화이트,니트웨어,['니트꽈베기'],긴팔,['니트'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1090740,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],벨보텀,노멀,화이트,니트웨어,['니트꽈베기'],긴팔,['니트'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1090742,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],벨보텀,노멀,화이트,니트웨어,['니트꽈베기'],긴팔,['니트'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1090743,웨스턴,"아우터, 하의, 상의",10,발목,블루,청바지,['데님'],['무지'],벨보텀,노멀,화이트,니트웨어,['니트꽈베기'],없음,['니트'],['무지'],라운드넥,루즈,롱,베이지,코트,테일러드칼라,['싱글브레스티드'],긴팔,['우븐'],['무지'],루즈,,,,,,,,,,,,,,,,,
36,1090744,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],벨보텀,노멀,화이트,니트웨어,['니트꽈베기'],긴팔,['니트'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1093529,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],,스키니,노멀,베이지,티셔츠,['드롭숄더'],반팔,['저지'],['그래픽'],유넥,루즈,,,,,,,,,,['슬릿'],,와인,,,,,,,,,,,,,,
38,1093530,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],,스키니,노멀,베이지,티셔츠,['드롭숄더'],반팔,['저지'],['그래픽'],유넥,루즈,,,,,,,,,,['슬릿'],,와인,,,,,,,,,,,,,,
39,1093531,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],,스키니,노멀,베이지,티셔츠,['드롭숄더'],반팔,['저지'],['그래픽'],유넥,루즈,,,,,,,,,,['슬릿'],,와인,,,,,,,,,,,,,,
40,1093534,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],,스키니,노멀,베이지,티셔츠,['드롭숄더'],반팔,['저지'],['그래픽'],유넥,루즈,,,,,,,,,,['슬릿'],,와인,,,,,,,,,,,,,,
41,1093535,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],,스키니,노멀,베이지,티셔츠,['드롭숄더'],반팔,['저지'],['그래픽'],유넥,루즈,,,,,,,,,,['슬릿'],,와인,,,,,,,,,,,,,,
42,1093536,웨스턴,"하의, 상의",3,발목,블루,청바지,['데님'],,스키니,노멀,베이지,티셔츠,['드롭숄더'],반팔,['저지'],['그래픽'],유넥,루즈,,,,,,,,,,['슬릿'],,와인,,,,,,,,,,,,,,
43,1112931,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
44,1112932,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
45,1112933,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
46,1112934,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
47,1112935,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
48,1112936,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
49,1112937,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
50,1112938,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,,,드레스,['러플'],,['시폰'],['체크'],터틀넥,노멀,,,
51,1112941,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
52,1112942,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
53,1112943,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,,,긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
54,1112944,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
55,1112945,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,,,,드레스,['러플'],,['시폰'],['체크'],터틀넥,노멀,,,
56,1112946,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
57,1112948,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,,,긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
58,1112951,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,,,긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
59,1112952,웨스턴,"아우터, 하의, 원피스",8,,베이지,,,,,,,,,,,,,,노말,블랙,재킷,,,긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,,,드레스,['러플'],,['시폰'],['체크'],터틀넥,노멀,,,
60,1112953,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
61,1112954,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
62,1112955,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
63,1112956,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,베이지,블랙,드레스,['러플'],없음,['시폰'],['체크'],터틀넥,노멀,,,
64,1112957,웨스턴,"아우터, 하의, 원피스",8,,베이지,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,,,드레스,['러플'],,['시폰'],['체크'],터틀넥,노멀,,,
65,1112958,웨스턴,"아우터, 원피스",6,,,,,,,,,,,,,,,,노말,블랙,재킷,테일러드칼라,['포켓'],긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,,,드레스,['러플'],,['시폰'],['체크'],터틀넥,노멀,,,
66,1112961,웨스턴,"아우터, 하의, 원피스",8,,베이지,,,,,,,,,,,,,,노말,블랙,재킷,,,긴팔,['무스탕'],['무지'],루즈,,,,베이지,미디,,,드레스,['러플'],,['시폰'],['체크'],터틀넥,노멀,,,
67,1127750,웨스턴,"아우터, 하의",4,발목,,청바지,['데님'],['무지'],노멀,,,,,,,,,,노말,화이트,,,['프린지'],7부소매,['니트'],,루즈,,터틀넥,,오렌지,,,,,,,,,,,,,
68,1127751,웨스턴,"아우터, 하의",4,발목,네이비,청바지,['데님'],['무지'],노멀,,,,,,,,,,노말,화이트,,,['프린지'],7부소매,['니트'],,루즈,,터틀넥,,레드,,,,,,,,,,,,,
69,1127752,웨스턴,"아우터, 하의",4,발목,네이비,청바지,['데님'],['무지'],노멀,,,,,,,,,,노말,화이트,,,['프린지'],7부소매,['니트'],,루즈,,터틀넥,,레드,,,,,,,,,,,,,
70,1127753,웨스턴,"아우터, 하의",4,발목,네이비,청바지,['데님'],['무지'],노멀,,,,,,,,,,노말,화이트,,,['프린지'],7부소매,['니트'],,루즈,,터틀넥,,레드,,,,,,,,,,,,,
71,1127757,웨스턴,"아우터, 하의",4,발목,,청바지,['데님'],['무지'],노멀,,,,,,,,,,노말,화이트,,,['프린지'],7부소매,['니트'],,루즈,,터틀넥,,레드,,,,,,,,,,,,,
72,1127758,웨스턴,"아우터, 하의",4,발목,네이비,청바지,['데님'],['무지'],노멀,,,,,,,,,,노말,화이트,,,['프린지'],7부소매,['니트'],,루즈,,터틀넥,,레드,,,,,,,,,,,,,
73,1127759,웨스턴,"아우터, 하의",4,발목,네이비,청바지,['데님'],['무지'],노멀,,,,,,,,,,노말,화이트,,,['프린지'],7부소매,['니트'],,루즈,,터틀넥,,레드,,,,,,,,,,,,,
74,1128290,웨스턴,"아우터, 상의",2,,,,,,,,블랙,티셔츠,,없음,['니트'],['스트라이프'],터틀넥,노멀,하프,브라운,코트,테일러드칼라,"['단추', '퍼트리밍']",긴팔,"['스웨이드', '무스탕']",['무지'],루즈,,,화이트,화이트,,,,,,,,,,,,,
75,1128292,웨스턴,"아우터, 하의, 상의",10,미디,네이비,청바지,['데님'],,스키니,,블랙,티셔츠,,없음,['니트'],['스트라이프'],터틀넥,노멀,하프,브라운,코트,테일러드칼라,"['단추', '퍼트리밍']",긴팔,"['스웨이드', '무스탕']",['무지'],루즈,['롤업'],,화이트,화이트,,,,,,,,,,,,,
76,1128339,웨스턴,"아우터, 하의",4,미니,블랙,스커트,['가죽'],['무지'],스키니,,,,,,,,,,노말,화이트,재킷,셔츠칼라,"['퍼트리밍', '지퍼', '포켓', '버클']",긴팔,['무스탕'],['무지'],루즈,,,,블랙,,,,,,,,,,,,,
77,1128340,웨스턴,"아우터, 하의",4,미니,,스커트,['가죽'],['무지'],스키니,,,,,,,,,,노말,화이트,재킷,셔츠칼라,"['퍼트리밍', '지퍼', '포켓', '버클']",긴팔,['무스탕'],['무지'],루즈,,,,블랙,,,,,,,,,,,,,
78,1128341,웨스턴,"아우터, 하의",4,미니,블랙,스커트,['가죽'],['무지'],스키니,,,,,,,,,,노말,화이트,재킷,셔츠칼라,"['퍼트리밍', '지퍼', '포켓', '버클']",긴팔,['무스탕'],['무지'],루즈,,,,블랙,,,,,,,,,,,,,
79,1128342,웨스턴,"아우터, 하의",4,미니,블랙,스커트,['가죽'],['무지'],스키니,,,,,,,,,,노말,화이트,재킷,셔츠칼라,"['퍼트리밍', '지퍼', '포켓', '버클']",긴팔,['무스탕'],['무지'],루즈,,,,블랙,,,,,,,,,,,,,
80,1128345,웨스턴,"아우터, 하의",4,미니,블랙,스커트,['가죽'],['무지'],스키니,,,,,,,,,,노말,화이트,재킷,셔츠칼라,"['퍼트리밍', '지퍼', '포켓', '버클']",긴팔,['무스탕'],['무지'],루즈,,,,블랙,,,,,,,,,,,,,
81,1128346,웨스턴,"아우터, 하의",4,미니,블랙,스커트,['가죽'],['무지'],스키니,,,,,,,,,,노말,화이트,재킷,셔츠칼라,"['퍼트리밍', '지퍼', '포켓', '버클']",긴팔,['무스탕'],['무지'],루즈,,,,블랙,,,,,,,,,,,,,
82,1128347,웨스턴,"아우터, 하의, 상의",10,미니,블랙,스커트,['가죽'],['무지'],스키니,,,티셔츠,,,['니트'],['무지'],터틀넥,노멀,노말,화이트,재킷,셔츠칼라,"['퍼트리밍', '지퍼', '포켓', '버클']",긴팔,['무스탕'],['무지'],루즈,,,,블랙,,,,,,,,,,,,,
83,1128348,웨스턴,"아우터, 하의",4,미니,블랙,스커트,['가죽'],['무지'],스키니,,,,,,,,,,노말,화이트,재킷,셔츠칼라,"['퍼트리밍', '지퍼', '포켓', '버클']",긴팔,['무스탕'],['무지'],루즈,,,,블랙,,,,,,,,,,,,,
84,1128349,웨스턴,"아우터, 하의",4,미니,블랙,스커트,['가죽'],['무지'],스키니,,,,,,,,,,노말,화이트,재킷,셔츠칼라,"['퍼트리밍', '지퍼', '포켓', '버클']",긴팔,['무스탕'],['무지'],루즈,,,,블랙,,,,,,,,,,,,,
85,1128350,웨스턴,"아우터, 하의",4,미니,블랙,스커트,['가죽'],['무지'],스키니,,,,,,,,,,노말,화이트,재킷,셔츠칼라,"['퍼트리밍', '지퍼', '포켓', '버클']",긴팔,['무스탕'],['무지'],루즈,,,,블랙,,,,,,,,,,,,,
86,1128365,웨스턴,"아우터, 상의",2,,,,,,,,화이트,니트웨어,,없음,['니트'],['무지'],라운드넥,노멀,하프,블랙,코트,테일러드칼라,['퍼트리밍'],긴팔,['무스탕'],['무지'],오버사이즈,,,,그레이,,,,,,,,,,,,,
87,1128367,웨스턴,"아우터, 하의, 상의",10,미디,블랙,팬츠,['가죽'],['무지'],스키니,,화이트,니트웨어,,없음,['니트'],['무지'],라운드넥,노멀,하프,블랙,코트,테일러드칼라,['퍼트리밍'],긴팔,['무스탕'],['무지'],오버사이즈,,,,그레이,,,,,,,,,,,,,
88,1128368,웨스턴,"아우터, 상의",2,,,,,,,,화이트,니트웨어,,없음,['니트'],['무지'],라운드넥,노멀,하프,블랙,코트,테일러드칼라,['퍼트리밍'],긴팔,['무스탕'],['무지'],오버사이즈,,,,그레이,,,,,,,,,,,,,
89,1128369,웨스턴,"아우터, 하의, 상의",10,미디,블랙,팬츠,['가죽'],['무지'],스키니,,,니트웨어,,,['니트'],['무지'],라운드넥,노멀,하프,블랙,코트,테일러드칼라,['퍼트리밍'],긴팔,['무스탕'],['무지'],오버사이즈,,,,그레이,,,,,,,,,,,,,
90,1128371,웨스턴,"아우터, 하의, 상의",10,미디,블랙,팬츠,['가죽'],['무지'],스키니,,화이트,니트웨어,,없음,['니트'],['무지'],라운드넥,노멀,하프,블랙,코트,테일러드칼라,['퍼트리밍'],긴팔,['무스탕'],['무지'],오버사이즈,,,,그레이,,,,,,,,,,,,,
91,1128375,웨스턴,"아우터, 하의, 상의",10,미디,블랙,팬츠,['가죽'],['무지'],스키니,,화이트,니트웨어,,없음,['니트'],['무지'],라운드넥,노멀,하프,블랙,코트,테일러드칼라,['퍼트리밍'],긴팔,['무스탕'],['무지'],오버사이즈,,,,그레이,,,,,,,,,,,,,
92,1128425,웨스턴,"아우터, 상의",2,,,,,,,,화이트,티셔츠,,없음,['니트'],['레터링'],라운드넥,루즈,하프,카키,재킷,테일러드칼라,['지퍼'],긴팔,['무스탕'],['무지'],오버사이즈,,,블랙,,,,,,,,,,,,,,
93,1128427,웨스턴,"아우터, 하의, 상의",10,미디,블랙,팬츠,['가죽'],['무지'],스키니,,화이트,티셔츠,,없음,['니트'],['레터링'],라운드넥,루즈,하프,카키,재킷,테일러드칼라,['지퍼'],긴팔,['무스탕'],['무지'],오버사이즈,,,블랙,,,,,,,,,,,,,,
94,1128428,웨스턴,"아우터, 하의",4,미디,블랙,팬츠,['가죽'],['무지'],스키니,,,,,,,,,,하프,카키,재킷,,['지퍼'],긴팔,['무스탕'],['무지'],오버사이즈,,터틀넥,,,,,,,,,,,,,,,
95,1128429,웨스턴,"아우터, 하의",4,미디,블랙,팬츠,['가죽'],['무지'],스키니,,,,,,,,,,하프,카키,재킷,,['지퍼'],긴팔,['무스탕'],['무지'],오버사이즈,,터틀넥,,,,,,,,,,,,,,,
96,1128430,웨스턴,"아우터, 하의, 상의",10,미디,블랙,팬츠,['가죽'],['무지'],스키니,,화이트,티셔츠,,없음,['니트'],['레터링'],라운드넥,루즈,하프,카키,재킷,테일러드칼라,['지퍼'],긴팔,['무스탕'],['무지'],오버사이즈,,,블랙,,,,,,,,,,,,,,
97,1128431,웨스턴,"아우터, 상의",2,,,,,,,,화이트,티셔츠,,없음,['니트'],['레터링'],라운드넥,루즈,하프,카키,재킷,테일러드칼라,['지퍼'],긴팔,['무스탕'],['무지'],오버사이즈,,,블랙,,,,,,,,,,,,,,
98,1129100,웨스턴,"아우터, 하의, 상의",10,발목,네이비,청바지,['데님'],['무지'],스키니,노멀,오렌지,니트웨어,,없음,['니트'],['무지'],터틀넥,루즈,노말,블랙,점퍼,테일러드칼라,,긴팔,"['퍼', '우븐']",['무지'],루즈,,,,베이지,,,,,,,,,,,,,
99,1129101,웨스턴,"아우터, 하의, 상의",10,,네이비,청바지,['데님'],['무지'],스키니,노멀,오렌지,니트웨어,,없음,['니트'],['무지'],터틀넥,루즈,노말,블랙,점퍼,테일러드칼라,,긴팔,"['퍼', '우븐']",['무지'],루즈,,,,베이지,,,,,,,,,,,,,
