,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_프린트,아우터_넥라인,아우터_핏,원피스_기장,원피스_카테고리,원피스_프린트,원피스_핏,원피스_색상,원피스_소매기장,하의_기장,하의_색상,하의_카테고리,하의_프린트,하의_핏,상의_기장,상의_색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,하의_소재,아우터_소재,하의_디테일,하의_서브색상,상의_서브색상,아우터_서브색상,아우터_옷깃,원피스_디테일,원피스_소재,원피스_넥라인,상의_옷깃,원피스_서브색상,원피스_옷깃
33,1004014,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,베이지,래깅스,['무지'],스키니,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
34,1004015,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,베이지,래깅스,['무지'],스키니,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
35,1004016,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,베이지,래깅스,['무지'],스키니,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
36,1004017,스포티,"하의, 상의",3,,,,,,,,,,,,,,,,베이지,,,,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
37,1004018,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,베이지,래깅스,['무지'],스키니,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
38,1004019,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,베이지,래깅스,['무지'],스키니,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
39,1004032,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,베이지,래깅스,['무지'],스키니,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
40,1004033,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,베이지,래깅스,['무지'],스키니,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
41,1004039,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,베이지,래깅스,['무지'],스키니,노멀,핑크,티셔츠,['드롭숄더'],긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
42,1006004,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,롱,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
43,1006005,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,롱,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
44,1006006,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,롱,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
45,1006007,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,롱,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
46,1006008,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,롱,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
47,1006009,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,롱,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
48,1006010,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,롱,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
49,1006011,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,롱,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
50,1006014,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,롱,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
51,1006015,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,롱,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
52,1006016,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
53,1006017,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
54,1006018,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
55,1006019,스포티,"하의, 상의",3,,,,,,,,,,,,,,,,그레이,,,,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
56,1006020,스포티,"하의, 상의",3,,,,,,,,,,,,,,,,그레이,,,,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
57,1006021,스포티,"하의, 상의",3,,,,,,,,,,,,,,,,그레이,,,,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
58,1006024,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,,,긴팔,,,,,['저지'],,,,,,,,,,,,
59,1006025,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,,,긴팔,,,,,['저지'],,,,,,,,,,,,
60,1006026,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,,,긴팔,,,,,['저지'],,,,,,,,,,,,
61,1006027,스포티,"하의, 상의",3,,,,,,,,,,,,,,,,그레이,,,,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
62,1006029,스포티,"하의, 상의",3,,,,,,,,,,,,,,,,그레이,,,,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,,,,,,,,,,,,,
63,1006030,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
64,1006031,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
65,1006034,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
66,1006035,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
67,1006036,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
68,1006037,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
69,1006038,스포티,"하의, 상의",3,,,,,,,,,,,,,,,발목,그레이,조거팬츠,['무지'],루즈,,그레이,티셔츠,,긴팔,['저지'],['무지'],라운드넥,루즈,['저지'],,,,,,,,,,,,
70,1006040,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
71,1006041,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
72,1006044,스포티,"아우터, 하의",4,크롭,그레이,짚업,['셔링'],긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
73,1006045,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
74,1006046,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
75,1006047,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
76,1006048,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
77,1006049,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
78,1006050,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
79,1006051,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
80,1006054,스포티,"아우터, 하의",4,,그레이,,,긴팔,,,,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],,['스트링'],,,,,,,,,,
81,1006055,스포티,"아우터, 하의",4,,그레이,,,긴팔,,,,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],,['스트링'],,,,,,,,,,
82,1006056,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
83,1006057,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
84,1006058,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
85,1006059,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
86,1006060,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
87,1006061,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
88,1006064,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
89,1006065,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
90,1006066,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
91,1006067,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
92,1006068,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
93,1006069,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
94,1006070,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
95,1006071,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
96,1006074,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
97,1006075,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
98,1006076,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
99,1006077,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
100,1006078,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
101,1006079,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
102,1006080,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
103,1006081,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
104,1006084,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
105,1006085,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
106,1006086,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
107,1006087,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
108,1006088,스포티,"아우터, 하의",4,크롭,그레이,짚업,['셔링'],긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
109,1006089,스포티,"아우터, 하의",4,크롭,그레이,짚업,['셔링'],긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
110,1006090,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['셔링', '스트링', '지퍼']",긴팔,['무지'],후드,루즈,,,,,,,,그레이,,,,,,,,,,,,,,['저지'],,,,,,,,,,,
111,1006091,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
112,1006094,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
113,1006095,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
114,1006096,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
115,1006097,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
116,1006098,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
117,1006099,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
118,1006100,스포티,"아우터, 하의",4,크롭,그레이,짚업,"['지퍼', '스트링', '셔링']",긴팔,['무지'],후드,루즈,,,,,,,발목,그레이,팬츠,['무지'],루즈,,,,,,,,,,['저지'],['저지'],['스트링'],,,,,,,,,,
