,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_옷깃,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_소매기장,아우터_서브색상,원피스_기장,원피스_카테고리,원피스_디테일,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,원피스_색상,원피스_서브색상,원피스_소매기장,상의_카테고리,상의_소재,상의_프린트,상의_넥라인,상의_핏,하의_디테일,하의_서브색상,상의_기장,상의_서브색상,상의_디테일
35,1159990,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,스커트,"['메시', '저지']",,노멀,화이트,민소매,,,,,,,,,,,,티셔츠,['저지'],,라운드넥,타이트,,,노멀,,
36,1159991,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,스커트,"['메시', '저지']",['레터링'],노멀,화이트,민소매,,,,,,,,,,,,티셔츠,['저지'],,라운드넥,타이트,,,노멀,,
37,1159992,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,스커트,"['메시', '저지']",['레터링'],노멀,화이트,민소매,,,,,,,,,,,,티셔츠,['저지'],,라운드넥,타이트,,,노멀,,
38,1162142,펑크,"하의, 상의",3,,,,,,,,,,,미니,브라운,스커트,['시폰'],['호피'],루즈,블랙,긴팔,,,,,,,,,,,,니트웨어,['니트'],['무지'],스위트하트,루즈,['플레어'],블랙,노멀,화이트,['단추']
39,1162143,펑크,"하의, 상의",3,,,,,,,,,,,미니,브라운,스커트,['시폰'],['호피'],루즈,블랙,긴팔,,,,,,,,,,,,니트웨어,['니트'],['무지'],스위트하트,루즈,['플레어'],블랙,노멀,화이트,['단추']
40,1162147,펑크,"하의, 상의",3,,,,,,,,,,,미니,브라운,스커트,['시폰'],['호피'],루즈,블랙,긴팔,,,,,,,,,,,,니트웨어,['니트'],['무지'],스위트하트,루즈,['플레어'],블랙,노멀,화이트,['단추']
41,1162148,펑크,"하의, 상의",3,,,,,,,,,,,미니,브라운,스커트,['시폰'],['호피'],루즈,블랙,긴팔,,,,,,,,,,,,니트웨어,['니트'],['무지'],스위트하트,루즈,['플레어'],블랙,노멀,화이트,['단추']
42,1162149,펑크,"하의, 상의",3,,,,,,,,,,,미니,브라운,스커트,['시폰'],['호피'],루즈,블랙,긴팔,,,,,,,,,,,,니트웨어,['니트'],['무지'],스위트하트,루즈,['플레어'],블랙,노멀,,['단추']
43,1162150,펑크,"하의, 상의",3,,,,,,,,,,,미니,브라운,스커트,['시폰'],['호피'],루즈,블랙,긴팔,,,,,,,,,,,,니트웨어,['니트'],['무지'],스위트하트,루즈,['플레어'],블랙,노멀,화이트,['단추']
44,1162151,펑크,"하의, 상의",3,,,,,,,,,,,미니,브라운,스커트,['시폰'],['호피'],루즈,블랙,긴팔,,,,,,,,,,,,니트웨어,['니트'],['무지'],스위트하트,루즈,['플레어'],블랙,노멀,화이트,['단추']
45,1162152,펑크,"하의, 상의",3,,,,,,,,,,,미니,브라운,스커트,['시폰'],['호피'],루즈,블랙,긴팔,,,,,,,,,,,,니트웨어,['니트'],['무지'],스위트하트,루즈,['플레어'],블랙,노멀,화이트,['단추']
46,1162153,펑크,"하의, 상의",3,,,,,,,,,,,미니,브라운,스커트,['시폰'],['호피'],루즈,블랙,긴팔,,,,,,,,,,,,니트웨어,['니트'],['무지'],스위트하트,루즈,['플레어'],블랙,노멀,화이트,['단추']
47,1247521,펑크,"아우터, 하의, 상의",10,,그린,,,,반팔,,,,,발목,블랙,스커트,['가죽'],['무지'],노멀,,,,,,,,,,,,,,탑,['가죽'],['무지'],,노멀,,,크롭,,"['리본', '퍼프']"
48,1247522,펑크,"아우터, 하의, 상의",10,,그린,,,,반팔,,,,,발목,블랙,스커트,['가죽'],['무지'],노멀,,,,,,,,,,,,,,탑,['가죽'],['무지'],라운드넥,노멀,,,크롭,,['퍼프']
49,1247523,펑크,"아우터, 상의",2,,그린,,,,반팔,,,,,,,,,,,,,,,,,,,,,,,,탑,['가죽'],['무지'],라운드넥,노멀,,,크롭,,['퍼프']
50,1247524,펑크,"아우터, 상의",2,,그린,,,,반팔,,,,,,,,,,,,,,,,,,,,,,,,탑,['가죽'],['무지'],라운드넥,노멀,,,크롭,,['퍼프']
51,1247527,펑크,"아우터, 상의",2,,그린,,,,반팔,,,,,,,,,,,,,,,,,,,,,,,,탑,['가죽'],['무지'],라운드넥,노멀,,,크롭,,['퍼프']
52,1247528,펑크,"아우터, 상의",2,,그린,,,,반팔,,,,,,,,,,,,,,,,,,,,,,,,탑,['가죽'],['무지'],라운드넥,노멀,,,크롭,,['퍼프']
53,1308414,펑크,"아우터, 하의, 상의",10,노말,블랙,재킷,,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,노멀,발목,블루,청바지,['데님'],['무지'],노멀,화이트,긴팔,,,,,,,,,,,,티셔츠,,['무지'],라운드넥,노멀,,,,,
54,1308420,펑크,"아우터, 상의",2,노말,블랙,재킷,,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,노멀,,,,,,,화이트,없음,,,,,,,,,,,,티셔츠,,['무지'],라운드넥,노멀,,,,,
55,1308421,펑크,"아우터, 상의",2,노말,블랙,재킷,,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,노멀,,,,,,,화이트,없음,,,,,,,,,,,,티셔츠,,['무지'],라운드넥,노멀,,,,,
56,1308422,펑크,"아우터, 상의",2,노말,블랙,재킷,,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,노멀,,,,,,,화이트,없음,,,,,,,,,,,,티셔츠,,['무지'],라운드넥,노멀,,,,,
57,1308423,펑크,"아우터, 상의",2,노말,블랙,재킷,,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,노멀,,,,,,,화이트,없음,,,,,,,,,,,,티셔츠,,['무지'],라운드넥,노멀,,,,,
58,1308424,펑크,"아우터, 상의",2,노말,블랙,재킷,,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,노멀,,,,,,,화이트,없음,,,,,,,,,,,,티셔츠,,['무지'],라운드넥,노멀,,,,,
59,1308427,펑크,"아우터, 상의",2,노말,블랙,재킷,,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,노멀,,,,,,,화이트,없음,,,,,,,,,,,,티셔츠,,['무지'],라운드넥,노멀,,,,,
60,1308428,펑크,"아우터, 상의",2,노말,블랙,재킷,,"['단추', '지퍼']",긴팔,['가죽'],['무지'],,노멀,,,,,,,화이트,없음,,,,,,,,,,,,티셔츠,,['무지'],라운드넥,노멀,,,,,
61,13812,펑크,"아우터, 하의, 상의",10,노말,블랙,재킷,셔츠칼라,['단추'],긴팔,['가죽'],['무지'],,노멀,미디,화이트,스커트,['린넨'],['체크'],노멀,베이지,긴팔,,,,,,,,,,,,티셔츠,['저지'],['무지'],라운드넥,루즈,"['셔링', '스트링']",블랙,노멀,,
62,13813,펑크,"아우터, 하의, 상의",10,노말,블랙,재킷,셔츠칼라,"['포켓', '단추']",긴팔,['가죽'],['무지'],라운드넥,노멀,미디,화이트,스커트,['린넨'],['체크'],노멀,베이지,긴팔,,,,,,,,,,,,티셔츠,['저지'],['무지'],라운드넥,루즈,"['셔링', '스트링']",블랙,노멀,,
63,13814,펑크,"아우터, 하의, 상의",10,노말,블랙,재킷,셔츠칼라,"['포켓', '단추']",긴팔,['가죽'],['무지'],라운드넥,노멀,미디,화이트,스커트,['린넨'],['체크'],노멀,베이지,긴팔,,,,,,,,,,,,티셔츠,['저지'],['무지'],라운드넥,루즈,"['셔링', '스트링']",블랙,노멀,,
64,13815,펑크,"아우터, 하의, 상의",10,노말,블랙,재킷,셔츠칼라,"['포켓', '단추']",긴팔,['가죽'],['무지'],라운드넥,노멀,미디,화이트,스커트,['린넨'],['체크'],노멀,베이지,긴팔,,,,,,,,,,,,,,,,,"['셔링', '스트링']",블랙,,,
65,13825,펑크,"아우터, 하의, 상의",10,노말,블랙,재킷,셔츠칼라,['단추'],긴팔,['가죽'],['무지'],,노멀,미디,화이트,스커트,['린넨'],['체크'],노멀,베이지,긴팔,,,,,,,,,,,,티셔츠,['저지'],['무지'],라운드넥,루즈,"['셔링', '스트링']",블랙,노멀,,
66,163237,펑크,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,미니,드레스,['셔링'],['가죽'],['무지'],,노멀,카키,,민소매,탑,['니트'],['무지'],라운드넥,타이트,,,,,
67,163238,펑크,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,미니,드레스,['셔링'],['가죽'],['무지'],,노멀,카키,,민소매,탑,['니트'],['무지'],라운드넥,타이트,,,,,
68,163239,펑크,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,미니,드레스,['셔링'],['가죽'],['무지'],,노멀,카키,,민소매,탑,['니트'],['무지'],라운드넥,타이트,,,,,
69,163240,펑크,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,미니,드레스,['셔링'],['가죽'],['무지'],,노멀,카키,,민소매,탑,['니트'],['무지'],라운드넥,타이트,,,,,
70,163241,펑크,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,미니,드레스,['셔링'],['가죽'],['무지'],,노멀,카키,,민소매,탑,['니트'],['무지'],라운드넥,타이트,,,,,
71,163242,펑크,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,미니,드레스,['셔링'],['가죽'],['무지'],,노멀,카키,,민소매,탑,['니트'],['무지'],라운드넥,타이트,,,,,
72,163243,펑크,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,미니,드레스,,['가죽'],['무지'],,노멀,카키,,민소매,탑,['니트'],['무지'],라운드넥,타이트,,,,,
73,165477,펑크,"하의, 상의",3,,,,,,,,,,,,네이비,,,,,화이트,반팔,,,,,,,,,,,,티셔츠,['저지'],"['그래픽', '레터링']",라운드넥,노멀,,,,블랙,['슬릿']
74,165482,펑크,"하의, 상의",3,,,,,,,,,,,,네이비,,,,,화이트,반팔,,,,,,,,,,,,티셔츠,['저지'],"['그래픽', '레터링']",라운드넥,노멀,,,,블랙,['슬릿']
75,165483,펑크,"하의, 상의",3,,,,,,,,,,,,네이비,,,,,화이트,반팔,,,,,,,,,,,,티셔츠,['저지'],"['그래픽', '레터링']",,노멀,,,롱,블랙,['슬릿']
76,282768,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,"['패딩', '우븐']",['무지'],스키니,화이트,긴팔,,,,,,,,,,,,티셔츠,['저지'],['무지'],라운드넥,타이트,"['지퍼', '퀄팅']",그레이,노멀,,
77,371084,펑크,"아우터, 하의",4,하프,카키,재킷,셔츠칼라,"['포켓', '띠']",긴팔,['가죽'],['무지'],,노멀,발목,블랙,팬츠,['우븐'],['무지'],와이드,,,,,,,,,,,,,,,,,,,['슬릿'],,,,
78,371091,펑크,"아우터, 하의",4,하프,카키,재킷,,['슬릿'],긴팔,['가죽'],['무지'],,노멀,미니,카키,스커트,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,
79,371095,펑크,"아우터, 하의",4,하프,카키,재킷,,['슬릿'],7부소매,['가죽'],['무지'],,노멀,미니,,스커트,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,
80,371148,펑크,"아우터, 하의",4,하프,블랙,재킷,숄칼라,['드롭숄더'],긴팔,['가죽'],['무지'],,루즈,발목,스카이블루,청바지,['데님'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,
81,371149,펑크,"아우터, 상의",2,하프,그린,재킷,숄칼라,['드롭숄더'],긴팔,['가죽'],['무지'],,루즈,,,,,,,,,,,,,,,,,,,,탑,['우븐'],['무지'],유넥,타이트,,,크롭,,['셔링']
82,376724,펑크,"아우터, 하의",4,하프,레드,점퍼,,['스트링'],긴팔,['울/캐시미어'],['체크'],후드,노멀,발목,블랙,청바지,['데님'],['무지'],스키니,,,블랙,,,,,,,,,,,,,,,,,,,,
83,376725,펑크,"아우터, 하의",4,하프,레드,점퍼,,['스트링'],긴팔,['울/캐시미어'],['체크'],후드,노멀,발목,블랙,청바지,['데님'],['무지'],스키니,,,블랙,,,,,,,,,,,,,,,,,,,,
84,376730,펑크,"아우터, 하의",4,하프,레드,점퍼,,['스트링'],긴팔,['울/캐시미어'],['체크'],후드,노멀,발목,블랙,청바지,['데님'],['무지'],스키니,,,블랙,,,,,,,,,,,,,,,,,,,,
85,383236,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['가죽'],['무지'],스키니,그레이,7부소매,,,,,,,,,,,,티셔츠,['우븐'],['무지'],라운드넥,노멀,['지퍼'],,노멀,,
86,383237,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['가죽'],['무지'],스키니,그레이,7부소매,,,,,,,,,,,,티셔츠,['우븐'],['무지'],라운드넥,노멀,['지퍼'],,노멀,,
87,384390,펑크,"하의, 상의",3,,,,,,,,,,,미니,블랙,팬츠,['데님'],,노멀,화이트,반팔,,,,,,,,,,,,티셔츠,['니트'],['그래픽'],라운드넥,노멀,"['프린지', '자수']",화이트,,블랙,
88,384391,펑크,"하의, 상의",3,,,,,,,,,,,미니,블랙,팬츠,['데님'],,노멀,화이트,반팔,,,,,,,,,,,,티셔츠,['니트'],['그래픽'],라운드넥,노멀,"['프린지', '자수']",화이트,,블랙,
89,384392,펑크,"하의, 상의",3,,,,,,,,,,,미니,블랙,팬츠,['데님'],,노멀,화이트,반팔,,,,,,,,,,,,티셔츠,['니트'],['그래픽'],라운드넥,노멀,"['프린지', '자수']",화이트,,블랙,
90,384849,펑크,"하의, 상의",3,,,,,,,,,,,미니,스카이블루,청바지,['데님'],['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['니트'],['그래픽'],라운드넥,루즈,,,,,
91,384852,펑크,"하의, 상의",3,,,,,,,,,,,미니,스카이블루,청바지,['데님'],['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['니트'],['그래픽'],라운드넥,루즈,,,,화이트,
92,384853,펑크,"하의, 상의",3,,,,,,,,,,,미니,스카이블루,청바지,['데님'],['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['니트'],['그래픽'],라운드넥,루즈,,,,화이트,
93,38588,펑크,"아우터, 하의, 상의",10,롱,블랙,재킷,,['지퍼'],긴팔,"['가죽', '우븐']",['무지'],노카라,노멀,발목,블루,청바지,['데님'],['무지'],스키니,,,,,,,,,,,,,,티셔츠,['저지'],['무지'],라운드넥,타이트,['스티치'],,노멀,,
94,38594,펑크,"아우터, 하의, 상의",10,롱,블랙,재킷,,['지퍼'],긴팔,"['가죽', '우븐']",['무지'],노카라,노멀,발목,블루,청바지,['데님'],['무지'],스키니,,,,,,,,,,,,,,티셔츠,['저지'],['무지'],라운드넥,타이트,['스티치'],,노멀,,
95,547547,펑크,"하의, 상의",3,,,,,,,,,,,,블랙,래깅스,['저지'],['무지'],스키니,그레이,캡,,,,,,,,,,,,탑,['울/캐시미어'],,라운드넥,노멀,,,롱,실버,['스터드']
96,547552,펑크,"하의, 상의",3,,,,,,,,,,,,블랙,래깅스,['저지'],['무지'],스키니,그레이,캡,,,,,,,,,,,,탑,['울/캐시미어'],,라운드넥,노멀,,,롱,실버,['스터드']
97,547555,펑크,"하의, 상의",3,,,,,,,,,,,,블랙,래깅스,['저지'],['무지'],스키니,그레이,캡,,,,,,,,,,,,탑,['울/캐시미어'],,라운드넥,노멀,,,롱,실버,['스터드']
98,548126,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['우븐'],['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['우븐'],['무지'],유넥,루즈,,,롱,화이트,"['스팽글', '드롭숄더', '포켓']"
99,548128,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['우븐'],['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['우븐'],['무지'],유넥,루즈,,,롱,,"['스팽글', '드롭숄더', '포켓']"
100,548129,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['우븐'],['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['우븐'],['무지'],유넥,루즈,,,롱,화이트,"['스팽글', '드롭숄더', '포켓']"
101,548137,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['우븐'],['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['우븐'],['무지'],유넥,루즈,,,롱,화이트,"['스팽글', '드롭숄더', '포켓']"
102,548156,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['우븐'],['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['우븐'],['무지'],유넥,루즈,,,롱,화이트,"['스팽글', '드롭숄더', '포켓']"
103,548159,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['우븐'],['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['우븐'],['무지'],유넥,루즈,,,롱,화이트,"['스팽글', '드롭숄더', '포켓']"
104,548162,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,['우븐'],['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['우븐'],['무지'],유넥,루즈,,,롱,화이트,"['스팽글', '드롭숄더', '포켓']"
105,550144,펑크,"하의, 상의",3,,,,,,,,,,,발목,블랙,팬츠,,['무지'],스키니,블랙,반팔,,,,,,,,,,,,티셔츠,['니트'],['무지'],유넥,노멀,,,롱,그레이,['자수']
106,550153,펑크,"원피스, 상의",5,,,,,,,,,,,,,,,,,블랙,긴팔,,미니,드레스,,"['니트', '실크']",['무지'],라운드넥,노멀,,,,,,,,,,,,,
107,550166,펑크,"아우터, 상의",2,하프,,재킷,,"['스팽글', '글리터']",,,['무지'],브이넥,노멀,,,,,,,실버,긴팔,,,,,,,,,,,,,,,,,,,,그레이,
108,558279,펑크,"하의, 상의",3,,,,,,,,,,,,블랙,래깅스,['스판덱스'],['무지'],스키니,블랙,긴팔,,,,,,,,,,,,블라우스,"['시폰', '우븐']",['무지'],유넥,루즈,,,롱,,['퍼프']
