,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_서브색상,상의_카테고리,상의_옷깃,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_핏,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,상의_기장,하의_서브색상,하의_디테일,상의_넥라인,원피스_색상,원피스_서브색상,원피스_소매기장,아우터_옷깃,아우터_서브색상,원피스_기장,원피스_카테고리,원피스_디테일,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,원피스_옷깃
10,1009260,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
11,1009261,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
12,1009262,히피,"하의, 상의",3,,블루,,,,,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
13,1009265,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
14,1009268,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
15,1009269,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
16,1009271,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
17,1009272,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
18,1009275,히피,"하의, 상의",3,발목,블루,청바지,['데님'],['무지'],스키니,카키,화이트,블라우스,,"['컷아웃', '레이스업', '프릴']",7부소매,['시폰'],['플로럴'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
19,1009407,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
20,1009408,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
21,1009409,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
22,1009410,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
23,1009411,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
24,1009412,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
25,1009415,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
26,1009416,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
27,1009417,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
28,1009418,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
29,1009419,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
30,1009420,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
31,1009421,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
32,1009422,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
33,1009425,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
34,1009426,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
35,1009427,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
36,1009428,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
37,1009429,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
38,1009430,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
39,1009431,히피,"하의, 상의",3,미니,화이트,팬츠,,['무지'],노멀,네이비,실버,블라우스,,['컷아웃'],반팔,['시폰'],['믹스'],노멀,,,,,,,,,,롱,,,,,,,,,,,,,,,,
40,101128,히피,"하의, 상의",3,미디,그레이,스커트,['우븐'],['그래픽'],노멀,화이트,,티셔츠,,['롤업'],반팔,['저지'],['무지'],노멀,,,,,,,,,,,화이트,"['페플럼', '플레어']",브이넥,,,,,,,,,,,,,
41,101129,히피,"하의, 상의",3,미디,,스커트,['우븐'],['그래픽'],노멀,,,티셔츠,,['롤업'],,['저지'],['무지'],노멀,,,,,,,,,,,,"['페플럼', '플레어']",브이넥,,,,,,,,,,,,,
42,101130,히피,"하의, 상의",3,미디,그레이,스커트,['우븐'],['그래픽'],노멀,화이트,,티셔츠,,['롤업'],반팔,['저지'],['무지'],노멀,,,,,,,,,,,화이트,"['페플럼', '플레어']",브이넥,,,,,,,,,,,,,
43,101132,히피,"하의, 상의",3,미디,그레이,스커트,['우븐'],['그래픽'],노멀,화이트,,티셔츠,,['롤업'],반팔,['저지'],['무지'],노멀,,,,,,,,,,,화이트,"['페플럼', '플레어']",브이넥,,,,,,,,,,,,,
44,101137,히피,"하의, 상의",3,미디,그레이,스커트,['우븐'],['그래픽'],노멀,화이트,,티셔츠,,['롤업'],반팔,['저지'],['무지'],노멀,,,,,,,,,,,화이트,"['페플럼', '플레어']",,,,,,,,,,,,,,
45,101138,히피,"하의, 상의",3,미디,그레이,스커트,['우븐'],['그래픽'],노멀,화이트,,티셔츠,,['롤업'],반팔,['저지'],['무지'],노멀,,,,,,,,,,,화이트,"['페플럼', '플레어']",브이넥,,,,,,,,,,,,,
46,101140,히피,"하의, 상의",3,미디,그레이,스커트,['우븐'],['그래픽'],노멀,화이트,,티셔츠,,['롤업'],반팔,['저지'],['무지'],노멀,,,,,,,,,,,화이트,"['페플럼', '플레어']",브이넥,,,,,,,,,,,,,
47,101141,히피,"하의, 상의",3,미디,그레이,스커트,['우븐'],['그래픽'],노멀,화이트,,티셔츠,,['롤업'],반팔,['저지'],['무지'],노멀,,,,,,,,,,,화이트,"['페플럼', '플레어']",브이넥,,,,,,,,,,,,,
48,1013962,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
49,1013963,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],['그래픽'],와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],,루즈,,,,,,,,,,,스카이블루,['셔링'],,,,,,,,,,,,,,
50,1013964,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
51,1013965,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
52,1013966,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],['그래픽'],와이드,화이트,,티셔츠,,,반팔,['우븐'],,루즈,,,,,,,,,,,스카이블루,['셔링'],,,,,,,,,,,,,,
53,1013967,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],['그래픽'],와이드,화이트,,티셔츠,,,반팔,['우븐'],['무지'],루즈,,,,,,,,,,,스카이블루,,,,,,,,,,,,,,,
54,1013968,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
55,1013969,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
56,1013972,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],['그래픽'],와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],,루즈,,,,,,,,,,,스카이블루,,,,,,,,,,,,,,,
57,1013973,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
58,1013974,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
59,1013975,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
60,1013976,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
61,1013977,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
62,1013978,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
63,1013979,히피,"하의, 상의",3,미디,와인,스커트,['시폰'],"['그래픽', '믹스']",와이드,화이트,블랙,티셔츠,,,반팔,['우븐'],['레터링'],루즈,,,,,,,,,,,스카이블루,['셔링'],라운드넥,,,,,,,,,,,,,
64,101811,히피,"하의, 상의",3,미니,화이트,팬츠,['린넨'],['무지'],노멀,베이지,브라운,블라우스,,['태슬'],반팔,,['페이즐리'],노멀,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
65,101812,히피,"하의, 상의",3,미니,화이트,팬츠,['린넨'],['무지'],노멀,베이지,브라운,블라우스,,['태슬'],반팔,,['페이즐리'],노멀,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
66,101813,히피,"하의, 상의",3,미니,화이트,팬츠,['린넨'],['무지'],노멀,베이지,브라운,블라우스,,['태슬'],반팔,,['페이즐리'],노멀,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
67,101814,히피,"하의, 상의",3,미니,화이트,팬츠,['린넨'],['무지'],노멀,베이지,브라운,블라우스,,['태슬'],반팔,,['페이즐리'],노멀,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
68,101815,히피,"하의, 상의",3,미니,화이트,팬츠,['린넨'],['무지'],노멀,베이지,브라운,블라우스,,['태슬'],반팔,,['페이즐리'],노멀,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
69,101816,히피,"하의, 상의",3,미니,화이트,팬츠,['린넨'],['무지'],노멀,베이지,브라운,블라우스,,['태슬'],반팔,,['페이즐리'],노멀,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
70,101817,히피,"하의, 상의",3,미니,화이트,팬츠,['린넨'],['무지'],노멀,베이지,브라운,블라우스,,['태슬'],반팔,,['페이즐리'],노멀,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
71,101818,히피,"하의, 상의",3,미니,화이트,팬츠,['린넨'],['무지'],노멀,베이지,브라운,블라우스,,['태슬'],반팔,,['페이즐리'],노멀,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
72,101821,히피,"하의, 상의",3,미니,화이트,팬츠,['린넨'],['무지'],노멀,베이지,브라운,블라우스,,['태슬'],반팔,,['페이즐리'],노멀,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
73,101845,히피,"하의, 상의",3,발목,스카이블루,팬츠,['우븐'],['플로럴'],와이드,화이트,,블라우스,,['프릴'],반팔,"['린넨', '레이스']",['무지'],루즈,,,,,,,,,,,블랙,,라운드넥,,,,,,,,,,,,,
74,101848,히피,"하의, 상의",3,발목,스카이블루,팬츠,['우븐'],['플로럴'],와이드,화이트,,블라우스,,['프릴'],반팔,"['린넨', '레이스']",['무지'],루즈,,,,,,,,,,,블랙,,라운드넥,,,,,,,,,,,,,
75,102135,히피,"하의, 상의",3,발목,베이지,팬츠,['우븐'],,노멀,브라운,베이지,셔츠,셔츠칼라,['슬릿'],긴팔,['우븐'],['믹스'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
76,102140,히피,"하의, 상의",3,발목,베이지,팬츠,['우븐'],,노멀,브라운,베이지,셔츠,셔츠칼라,['슬릿'],긴팔,['우븐'],['믹스'],루즈,,,,,,,,,,롱,,,,,,,,,,,,,,,,
77,1025755,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
78,1025756,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
79,1025757,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
80,1025760,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
81,1025761,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
82,1025762,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
83,1025763,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
84,1025764,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
85,1025765,히피,"하의, 상의",3,미니,,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
86,1025766,히피,"하의, 상의",3,미니,,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
87,1025767,히피,"하의, 상의",3,미니,,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
88,1025770,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
89,1025771,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
90,1025772,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
91,1025773,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
92,1025774,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
93,1025775,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
94,1025776,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
95,1025777,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
96,1025780,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
97,1025781,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
98,1025782,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
99,1025783,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
100,1025784,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
101,1025785,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
102,1025786,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
103,1025787,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
104,1025790,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,,,,,,,,,,,,,,
105,1025791,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
106,1025792,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
107,1025793,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
108,1025794,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
109,1025795,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
110,1025796,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
111,1025797,히피,"하의, 상의",3,미니,스카이블루,청바지,['데님'],,노멀,오렌지,,탑,,['컷아웃'],7부소매,['우븐'],['무지'],루즈,,,,,,,,,,노멀,,,라운드넥,,,,,,,,,,,,,
112,1035335,히피,"하의, 상의",3,미디,핑크,팬츠,['우븐'],['무지'],노멀,화이트,,블라우스,,['자수'],긴팔,['우븐'],,오버사이즈,,,,,,,,,,롱,,,라운드넥,,,,,,,,,,,,,
