,ID,style,clothing_categories,mix_clothing_categories,아우터_색상,아우터_카테고리,아우터_소매기장,아우터_소재,아우터_프린트,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,아우터_기장,아우터_옷깃,아우터_디테일,아우터_핏,하의_디테일,상의_색상,상의_카테고리,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,상의_서브색상,아우터_넥라인,아우터_서브색상,상의_기장,상의_디테일,하의_서브색상,상의_옷깃,원피스_색상,원피스_소매기장,원피스_기장,원피스_카테고리,원피스_소재,원피스_프린트,원피스_넥라인,원피스_서브색상,원피스_디테일,원피스_핏,원피스_옷깃
14,1006604,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
15,1006614,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
16,1006615,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
17,1006616,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
18,1006617,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
19,1006618,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
20,1006619,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
21,1006620,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
22,1006621,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
23,1006624,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
24,1006625,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
25,1006626,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
26,1006627,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
27,1006628,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
28,1006629,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
29,1006630,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
30,1006631,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
31,1006634,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
32,1006635,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
33,1006640,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
34,1006641,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
35,1006644,젠더리스,"하의, 상의",3,,,,,,발목,카키,팬츠,['우븐'],['무지'],노멀,,,,,['포켓'],베이지,티셔츠,긴팔,['저지'],['무지'],브이넥,루즈,,,,,,,,,,,,,,,,,,
36,1006879,젠더리스,"아우터, 상의",2,,코트,,['우븐'],['그래픽'],,,,,,,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
37,1006880,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,화이트,,,,,,,,,,,,,,,,,
38,1006881,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
39,1006884,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,화이트,,,,,,,,,,,,,,,,,
40,1006885,젠더리스,"아우터, 상의",2,,코트,,['우븐'],['무지'],,,,,,,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
41,1006886,젠더리스,"아우터, 상의",2,,코트,,['우븐'],['무지'],,,,,,,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,화이트,,,,,,,,,,,,,,,,,
42,1006887,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
43,1006888,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,화이트,,,,,,,,,,,,,,,,,
44,1006889,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
45,100689,젠더리스,"하의, 상의",3,,,,,,발목,베이지,조거팬츠,['저지'],['무지'],노멀,,,,,['버클'],블랙,티셔츠,반팔,['저지'],"['레터링', '무지']",라운드넥,루즈,,,,,,,,,,,,,,,,,,
46,1006890,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
47,1006891,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
48,1006894,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,화이트,,,,,,,,,,,,,,,,,
49,1006895,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,화이트,,,,,,,,,,,,,,,,,
50,1006896,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,화이트,,,,,,,,,,,,,,,,,
51,1006897,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,화이트,,,,,,,,,,,,,,,,,
52,1006898,젠더리스,"아우터, 상의",2,,코트,,['우븐'],['무지'],,,,,,,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
53,1006899,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
54,100690,젠더리스,"하의, 상의",3,,,,,,발목,베이지,조거팬츠,['저지'],['무지'],노멀,,,,,['버클'],,티셔츠,,['저지'],"['레터링', '무지']",라운드넥,루즈,,,,,,,,,,,,,,,,,,
55,1006900,젠더리스,"아우터, 하의, 상의",10,,코트,,['우븐'],['무지'],발목,,청바지,['데님'],['무지'],스키니,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
56,1006901,젠더리스,"아우터, 상의",2,,코트,,['우븐'],['무지'],,,,,,,롱,셔츠칼라,,노멀,,카키,,긴팔,,,,,,,,,,,,,,,,,,,,,,
57,100691,젠더리스,"하의, 상의",3,,,,,,발목,베이지,조거팬츠,['저지'],['무지'],노멀,,,,,['버클'],,티셔츠,,['저지'],"['레터링', '무지']",라운드넥,루즈,,,,,,,,,,,,,,,,,,
58,100693,젠더리스,"하의, 상의",3,,,,,,발목,베이지,조거팬츠,['저지'],['무지'],노멀,,,,,"['버클', '띠', '포켓']",,티셔츠,,['저지'],"['레터링', '무지']",라운드넥,루즈,,,,,,,,,,,,,,,,,,
59,100696,젠더리스,"하의, 상의",3,,,,,,발목,베이지,조거팬츠,['저지'],['무지'],노멀,,,,,"['띠', '니트꽈베기']",,티셔츠,,['저지'],"['레터링', '무지']",라운드넥,루즈,,,,,,,,,,,,,,,,,,
60,100697,젠더리스,"하의, 상의",3,,,,,,발목,베이지,조거팬츠,['저지'],['무지'],노멀,,,,,"['버클', '띠', '포켓']",,티셔츠,,['저지'],"['레터링', '무지']",라운드넥,루즈,,,,,,,,,,,,,,,,,,
61,100698,젠더리스,"하의, 상의",3,,,,,,발목,,조거팬츠,['저지'],['무지'],노멀,,,,,['버클'],블랙,티셔츠,반팔,['저지'],"['레터링', '무지']",라운드넥,루즈,,,,,,,,,,,,,,,,,,
62,100699,젠더리스,"하의, 상의",3,,,,,,발목,베이지,조거팬츠,['저지'],['무지'],노멀,,,,,['포켓'],,티셔츠,,['저지'],"['레터링', '무지']",라운드넥,루즈,,,,,,,,,,,,,,,,,,
63,100700,젠더리스,"하의, 상의",3,,,,,,발목,베이지,조거팬츠,['저지'],['무지'],노멀,,,,,['포켓'],,티셔츠,,['저지'],"['레터링', '무지']",라운드넥,루즈,,,,,,,,,,,,,,,,,,
64,100701,젠더리스,"하의, 상의",3,,,,,,발목,베이지,조거팬츠,['저지'],['무지'],노멀,,,,,['포켓'],,티셔츠,,['저지'],"['레터링', '무지']",라운드넥,루즈,,,,,,,,,,,,,,,,,,
65,1007170,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],,네이비,,,,,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
66,1007171,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
67,1007172,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
68,1007175,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
69,1007176,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
70,1007177,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
71,1007178,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
72,1007179,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
73,1007180,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
74,1007181,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
75,1007182,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
76,1007185,젠더리스,"아우터, 하의, 상의",10,그레이,코트,긴팔,['우븐'],['무지'],발목,네이비,청바지,['데님'],['무지'],스키니,롱,테일러드칼라,['패치워크'],노멀,,화이트,,없음,,,,,,,,,,,,,,,,,,,,,,
77,1011711,젠더리스,"아우터, 하의",4,화이트,재킷,긴팔,['우븐'],['무지'],,블랙,,,,,롱,,,노멀,,,,,,,,,,노카라,,,,,,,,,,,,,,,,
78,1011713,젠더리스,"아우터, 하의",4,화이트,재킷,긴팔,['우븐'],['무지'],,블랙,,,,,롱,,,노멀,,,,,,,,,,노카라,,,,,,,,,,,,,,,,
79,1011719,젠더리스,"아우터, 상의",2,,재킷,,['우븐'],['무지'],,,,,,,롱,,,노멀,,화이트,,7부소매,,,,,,노카라,,,,,,,,,,,,,,,,
80,1011721,젠더리스,"아우터, 하의",4,화이트,재킷,7부소매,['우븐'],['무지'],,블랙,,,,,롱,,,노멀,,,,,,,,,,노카라,,,,,,,,,,,,,,,,
81,1011722,젠더리스,"아우터, 하의",4,화이트,재킷,7부소매,['우븐'],['무지'],,블랙,,,,,롱,,,노멀,,,,,,,,,,노카라,,,,,,,,,,,,,,,,
82,1011723,젠더리스,"아우터, 하의",4,화이트,재킷,7부소매,['우븐'],['무지'],,블랙,,,,,롱,,,노멀,,,,,,,,,,노카라,,,,,,,,,,,,,,,,
83,1011724,젠더리스,"아우터, 하의",4,화이트,재킷,7부소매,['우븐'],['무지'],,블랙,,,,,롱,,,노멀,,,,,,,,,,노카라,,,,,,,,,,,,,,,,
84,1011726,젠더리스,"아우터, 하의",4,화이트,재킷,7부소매,['우븐'],['무지'],,블랙,,,,,롱,,,노멀,,,,,,,,,,노카라,,,,,,,,,,,,,,,,
85,1011730,젠더리스,"아우터, 하의",4,화이트,재킷,7부소매,['우븐'],['무지'],,블랙,,,,,롱,,,노멀,,,,,,,,,,노카라,,,,,,,,,,,,,,,,
86,1011733,젠더리스,"아우터, 하의",4,화이트,재킷,7부소매,['우븐'],['무지'],,블랙,,,,,롱,,,노멀,,,,,,,,,,노카라,,,,,,,,,,,,,,,,
87,1011734,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
88,1011735,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1011736,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,,,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1011739,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,['슬릿'],,,,,,,,,,,,,,,,,,,,,,,,,
91,1011740,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,['슬릿'],,,,,,,,,,,,,,,,,,,,,,,,,
92,1011741,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
93,1011742,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
94,1011743,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,['슬릿'],,,,,,,,,,,,,,,,,,,,,,,,,
95,1011744,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,['슬릿'],,,,,,,,,,,,,,,,,,,,,,,,,
96,1011749,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1011750,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
98,1011751,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
99,1011752,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
100,1011753,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1011754,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
102,1011755,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
103,1011759,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],와이드,하프,테일러드칼라,,루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
104,1011761,젠더리스,"아우터, 하의",4,베이지,코트,7부소매,['우븐'],['무지'],발목,블랙,팬츠,['우븐'],['무지'],노멀,하프,테일러드칼라,"['단추', '롤업']",루즈,,,,,,,,,,,,,,,,,,,,,,,,,,
105,1011809,젠더리스,"아우터, 하의",4,그린,재킷,긴팔,['린넨'],['무지'],발목,블루,청바지,['데님'],['무지'],노멀,하프,테일러드칼라,"['단추', '자수']",노멀,,,,,,,,,,,화이트,,,,,,,,,,,,,,,
106,1011810,젠더리스,"아우터, 하의",4,그린,재킷,긴팔,['린넨'],['무지'],발목,블루,청바지,['데님'],['무지'],노멀,하프,테일러드칼라,,노멀,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1011811,젠더리스,"아우터, 하의",4,그린,재킷,긴팔,['린넨'],['무지'],발목,블루,청바지,['데님'],['무지'],노멀,하프,테일러드칼라,"['단추', '자수']",노멀,,,,,,,,,,,화이트,,,,,,,,,,,,,,,
108,1011812,젠더리스,"아우터, 하의",4,그린,재킷,긴팔,['린넨'],['무지'],발목,블루,청바지,['데님'],['무지'],노멀,하프,테일러드칼라,"['단추', '포켓', '자수']",노멀,,,,,,,,,,,화이트,,,,,,,,,,,,,,,
109,1011813,젠더리스,"아우터, 하의",4,그린,재킷,긴팔,['린넨'],['무지'],발목,블루,청바지,['데님'],['무지'],노멀,하프,테일러드칼라,,노멀,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1011814,젠더리스,"아우터, 하의",4,그린,재킷,긴팔,['린넨'],['무지'],발목,블루,청바지,['데님'],['무지'],노멀,하프,테일러드칼라,"['단추', '포켓', '자수']",노멀,,,,,,,,,,,화이트,,,,,,,,,,,,,,,
111,1011816,젠더리스,"아우터, 하의",4,그린,재킷,긴팔,['린넨'],['무지'],발목,블루,청바지,['데님'],['무지'],노멀,하프,테일러드칼라,"['단추', '포켓', '자수']",노멀,,,,,,,,,,,화이트,,,,,,,,,,,,,,,
112,1011819,젠더리스,"아우터, 하의",4,그린,재킷,긴팔,['린넨'],['무지'],발목,블루,청바지,['데님'],['무지'],노멀,하프,테일러드칼라,"['단추', '포켓', '자수']",노멀,,,,,,,,,,,화이트,,,,,,,,,,,,,,,
113,1011822,젠더리스,"아우터, 하의",4,그린,재킷,긴팔,['린넨'],['무지'],발목,블루,청바지,['데님'],['무지'],노멀,하프,테일러드칼라,"['단추', '포켓', '자수']",노멀,,,,,,,,,,,화이트,,,,,,,,,,,,,,,
