,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_카테고리,상의_옷깃,상의_소매기장,상의_소재,상의_프린트,상의_핏,상의_서브색상,상의_기장,상의_디테일,상의_넥라인,하의_서브색상,하의_디테일,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,아우터_서브색상,아우터_옷깃,원피스_카테고리,원피스_디테일,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,원피스_기장,원피스_색상,원피스_서브색상,원피스_소매기장,원피스_옷깃
10,1009282,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
11,1009287,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
12,1009288,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
13,1009292,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
14,1009297,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
15,1009298,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
16,1009299,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
17,1009300,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
18,1009302,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
19,1009307,레트로,"하의, 상의",3,발목,블랙,팬츠,,['무지'],노멀,화이트,블라우스,,반팔,,['믹스'],루즈,블루,롱,['퍼프'],라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
20,1009345,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
21,1009346,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
22,1009347,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
23,1009348,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
24,1009349,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
25,1009350,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
26,1009351,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
27,1009352,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
28,1009359,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
29,1009360,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
30,1009361,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
31,1009365,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
32,1009366,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
33,1009367,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
34,1009368,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
35,1009369,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
36,1009370,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
37,1009371,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
38,1009372,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
39,1009375,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
40,1009376,레트로,"하의, 상의",3,미디,블루,스커트,"['데님', '메시']",['무지'],노멀,화이트,티셔츠,,반팔,['메시'],['플로럴'],노멀,퍼플,,,라운드넥,화이트,,,,,,,,,,,,,,,,,,,,,,,
41,1013842,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
42,1013843,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
43,1013844,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
44,1013845,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
45,1013846,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
46,1013847,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
47,1013848,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
48,1013849,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
49,1013852,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,['플레어'],,,,,,,,,,,,,,,,,,,,,,
50,1013853,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,,,7부소매,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1013854,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,['플레어'],,,,,,,,,,,,,,,,,,,,,,
52,1013855,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
53,1013856,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
54,1013857,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
55,1013858,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
56,1013859,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
57,1013862,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
58,1013863,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
59,1013864,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
60,1013865,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
61,1013866,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
62,1013867,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
63,1013868,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
64,1013869,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
65,1013872,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
66,1013873,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
67,1013874,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,,,['플레어'],,,,,,,,,,,,,,,,,,,,,,
68,1013875,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,,,['플레어'],,,,,,,,,,,,,,,,,,,,,,
69,1013876,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,,,['플레어'],,,,,,,,,,,,,,,,,,,,,,
70,1013877,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
71,1013878,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
72,1013879,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
73,1013882,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
74,1013883,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
75,1013884,레트로,"하의, 상의",3,니렝스,네이비,스커트,['우븐'],['무지'],루즈,화이트,,,7부소매,,,,,,,,,"['플레어', '버클']",,,,,,,,,,,,,,,,,,,,,,
76,1013885,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
77,1013886,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
78,1013887,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
79,1013888,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
80,1013889,레트로,"하의, 상의",3,미디,네이비,스커트,['우븐'],['무지'],와이드,화이트,블라우스,,7부소매,['우븐'],['무지'],루즈,,,,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
81,1016518,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
82,1016519,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
83,1016520,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
84,1016521,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
85,1016522,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
86,1016523,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
87,1016524,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
88,1016527,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
89,1016528,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
90,1016529,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
91,1016530,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
92,1016531,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
93,1016532,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
94,1016533,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
95,1016534,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
96,1016537,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
97,1016538,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
98,1016539,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
99,1016540,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
100,1016541,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
101,1016542,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
102,1016543,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
103,1016544,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
104,1016547,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['스트라이프'],노멀,블랙,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
105,1016548,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
106,1016549,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
107,1016550,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
108,1016551,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
109,1016552,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
110,1016553,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
111,1016554,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
112,1016557,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,7부소매,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
113,1016558,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
114,1016559,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,7부소매,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
115,1016560,레트로,"하의, 상의",3,발목,스카이블루,청바지,['데님'],['무지'],와이드,화이트,탑,,긴팔,['우븐'],['무지'],노멀,,노멀,,라운드넥,,['포켓'],,,,,,,,,,,,,,,,,,,,,,
