,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_옷깃,아우터_소매기장,아우터_소재,아우터_프린트,아우터_핏,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,하의_디테일,아우터_서브색상,아우터_디테일,아우터_넥라인,상의_기장,상의_색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_넥라인,상의_핏,원피스_기장,원피스_색상,원피스_카테고리,원피스_디테일,원피스_소매기장,원피스_소재,원피스_프린트,원피스_핏,상의_프린트,상의_옷깃,상의_서브색상,하의_서브색상,원피스_넥라인,원피스_서브색상,원피스_옷깃
28,1004637,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
29,1004641,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
30,1004642,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
31,1004643,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
32,1004644,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
33,1004645,톰보이,"하의, 상의",3,,,,,,,,,미니,블랙,팬츠,['우븐'],['무지'],노멀,,,,,노멀,그레이,니트웨어,['니트꽈베기'],긴팔,['니트'],라운드넥,노멀,,,,,,,,,,,,,,,
34,100596,톰보이,"하의, 원피스, 상의",9,,,,,,,,,,블랙,,,,,,,,,,화이트,티셔츠,,반팔,['우븐'],라운드넥,노멀,맥시,블랙,점프수트,['단추'],없음,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
35,100597,톰보이,"하의, 원피스, 상의",9,,,,,,,,,,블랙,,,,,,,,,,화이트,티셔츠,,반팔,['우븐'],라운드넥,노멀,맥시,블랙,점프수트,['단추'],없음,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
36,100598,톰보이,"하의, 원피스, 상의",9,,,,,,,,,,블랙,,,,,,,,,,화이트,티셔츠,,반팔,['우븐'],라운드넥,노멀,맥시,블랙,점프수트,['단추'],없음,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
37,100599,톰보이,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,화이트,티셔츠,,반팔,['우븐'],라운드넥,노멀,맥시,,점프수트,['단추'],,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
38,100600,톰보이,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,화이트,티셔츠,,반팔,['우븐'],라운드넥,노멀,맥시,블랙,점프수트,['단추'],없음,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
39,100601,톰보이,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,화이트,티셔츠,,반팔,['우븐'],,노멀,,,점프수트,['단추'],,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
40,100602,톰보이,"하의, 원피스, 상의",9,,,,,,,,,,블랙,,,,,,,,,,화이트,티셔츠,,반팔,['우븐'],라운드넥,노멀,맥시,블랙,점프수트,['단추'],없음,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
41,100605,톰보이,"하의, 원피스, 상의",9,,,,,,,,,,블랙,,,,,,,,,,화이트,티셔츠,,반팔,['우븐'],라운드넥,노멀,맥시,블랙,점프수트,['단추'],없음,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
42,100606,톰보이,"원피스, 상의",5,,,,,,,,,,,,,,,,,,,,화이트,티셔츠,,반팔,['우븐'],라운드넥,노멀,,,점프수트,['단추'],,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
43,100607,톰보이,"하의, 원피스, 상의",9,,,,,,,,,,블랙,,,,,,,,,,,티셔츠,,,['우븐'],,노멀,맥시,블랙,점프수트,['단추'],없음,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
44,100608,톰보이,"하의, 원피스, 상의",9,,,,,,,,,,블랙,,,,,,,,,,화이트,티셔츠,,반팔,['우븐'],라운드넥,노멀,맥시,블랙,점프수트,['단추'],없음,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
45,100609,톰보이,"하의, 원피스, 상의",9,,,,,,,,,,블랙,,,,,,,,,,,티셔츠,,,['우븐'],라운드넥,노멀,맥시,블랙,점프수트,['단추'],없음,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
46,100610,톰보이,"하의, 원피스, 상의",9,,,,,,,,,,블랙,,,,,,,,,,,티셔츠,,,['우븐'],,노멀,맥시,블랙,점프수트,['단추'],없음,['우븐'],['무지'],루즈,"['무지', '그래픽']",,,,,,
47,100642,톰보이,"아우터, 하의",4,하프,스카이블루,재킷,테일러드칼라,반팔,['린넨'],['스트라이프'],루즈,미니,,팬츠,['우븐'],['무지'],루즈,['슬릿'],화이트,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,
48,100645,톰보이,"아우터, 하의",4,하프,그레이,재킷,테일러드칼라,반팔,['린넨'],['스트라이프'],루즈,미니,,팬츠,['우븐'],['무지'],루즈,['슬릿'],화이트,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,
49,100646,톰보이,"아우터, 하의",4,하프,그레이,재킷,테일러드칼라,반팔,['린넨'],['스트라이프'],루즈,,,팬츠,['우븐'],['무지'],루즈,['슬릿'],화이트,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,
50,100647,톰보이,"아우터, 하의",4,하프,그레이,재킷,테일러드칼라,반팔,['린넨'],['스트라이프'],루즈,미니,,팬츠,['우븐'],['무지'],루즈,['슬릿'],화이트,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,
51,100648,톰보이,"아우터, 하의",4,하프,그레이,재킷,테일러드칼라,반팔,['린넨'],['스트라이프'],루즈,미니,,팬츠,['우븐'],['무지'],루즈,['슬릿'],화이트,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,
52,100649,톰보이,"아우터, 하의",4,하프,그레이,재킷,테일러드칼라,반팔,['린넨'],['스트라이프'],루즈,미니,,팬츠,['우븐'],['무지'],루즈,['슬릿'],화이트,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,
53,100651,톰보이,"아우터, 하의",4,하프,스카이블루,재킷,,반팔,['린넨'],['스트라이프'],루즈,미니,,팬츠,['우븐'],['무지'],루즈,,화이트,['슬릿'],,,,,,,,,,,,,,,,,,,,,,,,
54,100652,톰보이,"아우터, 하의",4,하프,그레이,재킷,테일러드칼라,반팔,['린넨'],['스트라이프'],루즈,미니,,팬츠,['우븐'],['무지'],루즈,['슬릿'],화이트,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,
55,100655,톰보이,"아우터, 하의",4,하프,그레이,재킷,테일러드칼라,반팔,['린넨'],['스트라이프'],루즈,미니,,팬츠,['우븐'],['무지'],루즈,['슬릿'],화이트,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,
56,100656,톰보이,"아우터, 하의",4,하프,그레이,재킷,테일러드칼라,반팔,['린넨'],['스트라이프'],루즈,,,팬츠,['우븐'],['무지'],루즈,['슬릿'],화이트,['포켓'],,,,,,,,,,,,,,,,,,,,,,,,
57,100702,톰보이,"하의, 상의",3,,,,,,,,,미니,,팬츠,['우븐'],['무지'],루즈,,,,,롱,스카이블루,셔츠,['포켓'],반팔,['우븐'],,루즈,,,,,,,,,['믹스'],셔츠칼라,,,,,
58,100703,톰보이,"하의, 상의",3,,,,,,,,,미니,화이트,팬츠,['우븐'],['무지'],루즈,,,,,롱,스카이블루,셔츠,['포켓'],반팔,['우븐'],,루즈,,,,,,,,,['믹스'],셔츠칼라,,,,,
59,100707,톰보이,"하의, 상의",3,,,,,,,,,미니,화이트,팬츠,['우븐'],['무지'],루즈,,,,,롱,스카이블루,셔츠,['포켓'],반팔,['우븐'],,루즈,,,,,,,,,['믹스'],셔츠칼라,,,,,
60,100708,톰보이,"하의, 상의",3,,,,,,,,,미니,,팬츠,['우븐'],['무지'],루즈,,,,,롱,스카이블루,셔츠,['포켓'],반팔,['우븐'],,루즈,,,,,,,,,['믹스'],셔츠칼라,,,,,
61,100709,톰보이,"하의, 상의",3,,,,,,,,,미니,화이트,팬츠,['우븐'],['무지'],루즈,,,,,롱,스카이블루,셔츠,['포켓'],반팔,['우븐'],,루즈,,,,,,,,,['믹스'],셔츠칼라,,,,,
62,100711,톰보이,"하의, 상의",3,,,,,,,,,미니,,팬츠,['우븐'],['무지'],루즈,,,,,롱,스카이블루,셔츠,,반팔,['우븐'],,루즈,,,,,,,,,['믹스'],셔츠칼라,,,,,
63,100712,톰보이,"하의, 상의",3,,,,,,,,,미니,화이트,팬츠,['우븐'],['무지'],루즈,,,,,롱,스카이블루,셔츠,['포켓'],반팔,['우븐'],,루즈,,,,,,,,,['믹스'],셔츠칼라,,,,,
64,100714,톰보이,"하의, 상의",3,,,,,,,,,미니,화이트,팬츠,['우븐'],['무지'],루즈,,,,,롱,스카이블루,셔츠,['포켓'],반팔,['우븐'],,루즈,,,,,,,,,['믹스'],셔츠칼라,,,,,
65,100715,톰보이,"하의, 상의",3,,,,,,,,,미니,화이트,팬츠,['우븐'],['무지'],루즈,,,,,롱,스카이블루,셔츠,['포켓'],반팔,['우븐'],,루즈,,,,,,,,,['믹스'],셔츠칼라,,,,,
66,101022,톰보이,"하의, 상의",3,,,,,,,,,미니,실버,팬츠,['우븐'],['무지'],와이드,,,,,,화이트,셔츠,['단추'],7부소매,['우븐'],,노멀,,,,,,,,,['스트라이프'],,블랙,,,,
67,101023,톰보이,"하의, 상의",3,,,,,,,,,미니,실버,팬츠,['우븐'],['무지'],와이드,,,,,,화이트,셔츠,['단추'],7부소매,['우븐'],,노멀,,,,,,,,,['스트라이프'],,블랙,,,,
68,101024,톰보이,"하의, 상의",3,,,,,,,,,미니,실버,팬츠,['우븐'],['무지'],와이드,,,,,,화이트,셔츠,['단추'],7부소매,['우븐'],,노멀,,,,,,,,,['스트라이프'],,블랙,,,,
69,101026,톰보이,"하의, 상의",3,,,,,,,,,미니,실버,팬츠,['우븐'],['무지'],와이드,,,,,,화이트,셔츠,['단추'],7부소매,['우븐'],,노멀,,,,,,,,,['스트라이프'],,블랙,,,,
70,101411,톰보이,"아우터, 하의",4,롱,베이지,코트,,긴팔,['우븐'],,오버사이즈,,블랙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,1015491,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
72,1015492,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
73,1015493,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
74,1015494,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
75,1015497,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
76,1015498,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
77,1015499,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,['드롭숄더'],긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
78,1015500,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,['드롭숄더'],긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
79,1015501,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,['드롭숄더'],긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
80,1015502,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,['드롭숄더'],긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
81,1015503,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
82,1015504,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
83,1015507,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
84,1015508,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
85,1015509,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
86,1015510,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
87,1015511,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
88,1015512,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
89,1015513,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
90,1015514,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
91,1015517,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
92,1015518,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
93,1015519,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,"['단추', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
94,1015520,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,['드롭숄더'],긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
95,1015521,톰보이,"하의, 상의",3,,,,,,,,,발목,브라운,팬츠,['우븐'],['무지'],노멀,,,,,노멀,화이트,블라우스,['드롭숄더'],긴팔,['우븐'],,노멀,,,,,,,,,['무지'],,,,,,
96,1015522,톰보이,"하의, 상의",3,,,,,,,,,,브라운,,,,,,,,,노멀,화이트,블라우스,"['드롭숄더', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],셔츠칼라,,,,,
97,1015523,톰보이,"하의, 상의",3,,,,,,,,,,브라운,,,,,,,,,노멀,화이트,블라우스,"['드롭숄더', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],셔츠칼라,,,,,
98,1015524,톰보이,"하의, 상의",3,,,,,,,,,,브라운,,,,,,,,,노멀,화이트,블라우스,"['드롭숄더', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],셔츠칼라,,,,,
99,1015527,톰보이,"하의, 상의",3,,,,,,,,,,브라운,,,,,,,,,노멀,화이트,블라우스,,긴팔,['우븐'],,노멀,,,,,,,,,['무지'],셔츠칼라,,,,,
100,1015528,톰보이,"하의, 상의",3,,,,,,,,,,브라운,,,,,,,,,노멀,화이트,블라우스,,긴팔,['우븐'],,노멀,,,,,,,,,['무지'],셔츠칼라,,,,,
101,1015529,톰보이,"하의, 상의",3,,,,,,,,,,브라운,,,,,,,,,노멀,화이트,블라우스,"['드롭숄더', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],셔츠칼라,,,,,
102,1015530,톰보이,"하의, 상의",3,,,,,,,,,,브라운,,,,,,,,,노멀,화이트,블라우스,"['드롭숄더', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],셔츠칼라,,,,,
103,1015531,톰보이,"하의, 상의",3,,,,,,,,,,브라운,,,,,,,,,노멀,화이트,블라우스,"['드롭숄더', '포켓']",긴팔,['우븐'],,노멀,,,,,,,,,['무지'],셔츠칼라,,,,,
104,1016291,톰보이,"하의, 상의",3,,,,,,,,,발목,그레이,팬츠,['우븐'],['무지'],와이드,['단추'],,,,,화이트,블라우스,,긴팔,['시폰'],브이넥,루즈,,,,,,,,,['무지'],,,,,,
105,1016292,톰보이,"하의, 상의",3,,,,,,,,,발목,그레이,팬츠,['우븐'],['무지'],와이드,['단추'],,,,,화이트,블라우스,,긴팔,['시폰'],브이넥,루즈,,,,,,,,,['무지'],,,,,,
106,1016293,톰보이,"하의, 상의",3,,,,,,,,,발목,그레이,팬츠,['우븐'],['무지'],와이드,['단추'],,,,,화이트,블라우스,,긴팔,['시폰'],브이넥,루즈,,,,,,,,,['무지'],,,,,,
107,1016294,톰보이,"하의, 상의",3,,,,,,,,,발목,그레이,팬츠,['우븐'],['무지'],와이드,['단추'],,,,,화이트,블라우스,,긴팔,['시폰'],브이넥,루즈,,,,,,,,,['무지'],,,,,,
108,1016297,톰보이,"하의, 상의",3,,,,,,,,,발목,그레이,팬츠,['우븐'],['무지'],와이드,['단추'],,,,,화이트,블라우스,,긴팔,['시폰'],브이넥,루즈,,,,,,,,,['무지'],,,,,,
109,1016298,톰보이,"하의, 상의",3,,,,,,,,,발목,그레이,팬츠,['우븐'],['무지'],와이드,['단추'],,,,,화이트,블라우스,,긴팔,['시폰'],,루즈,,,,,,,,,['무지'],,,,,,
110,1016299,톰보이,"하의, 상의",3,,,,,,,,,발목,그레이,팬츠,['우븐'],['무지'],와이드,['단추'],,,,,화이트,블라우스,,긴팔,['시폰'],브이넥,루즈,,,,,,,,,['무지'],,,,,,
111,1016300,톰보이,"하의, 상의",3,,,,,,,,,발목,그레이,팬츠,['우븐'],['무지'],와이드,['단추'],,,,,화이트,블라우스,,긴팔,['시폰'],브이넥,루즈,,,,,,,,,['무지'],,,,,,
