,ID,style,clothing_categories,mix_clothing_categories,하의_색상,상의_색상,상의_소매기장,아우터_색상,아우터_소매기장,원피스_색상,원피스_소매기장,하의_서브색상,원피스_서브색상,아우터_서브색상,상의_서브색상
72,1340067,기타,"아우터, 상의",2,,블랙,없음,베이지,긴팔,,,,,,
73,1340068,기타,"아우터, 상의",2,,블랙,없음,베이지,긴팔,,,,,,
74,1340069,기타,"아우터, 상의",2,,블랙,없음,베이지,긴팔,,,,,,
75,1340125,기타,"하의, 상의",3,화이트,화이트,없음,,,,,스카이블루,,,
76,1340129,기타,"하의, 상의",3,화이트,화이트,없음,,,,,스카이블루,,,
77,1340148,기타,"하의, 상의",3,화이트,화이트,없음,,,,,스카이블루,,,
78,1347666,기타,"하의, 상의",3,네이비,브라운,긴팔,,,,,,,,
79,1347667,기타,"하의, 상의",3,네이비,브라운,긴팔,,,,,,,,
80,1347675,기타,"하의, 상의",3,네이비,스카이블루,긴팔,,,,,,,,
81,1347681,기타,"하의, 상의",3,스카이블루,블랙,긴팔,,,,,,,,
82,1347682,기타,"하의, 상의",3,스카이블루,블랙,긴팔,,,,,,,,
83,1347684,기타,"하의, 상의",3,스카이블루,블랙,긴팔,,,,,,,,
84,1347686,기타,"하의, 상의",3,스카이블루,블랙,긴팔,,,,,,,,
85,1347688,기타,"하의, 상의",3,네이비,화이트,긴팔,,,,,,,,블루
86,1347691,기타,"하의, 상의",3,네이비,화이트,긴팔,,,,,,,,블루
87,1347694,기타,"하의, 상의",3,네이비,화이트,긴팔,,,,,,,,블루
88,1347697,기타,"하의, 상의",3,네이비,베이지,긴팔,,,,,,,,블랙
89,1347704,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,블랙
90,1347706,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,블랙
91,1347711,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,
92,1347713,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,블랙
93,1347715,기타,"하의, 상의",3,네이비,베이지,긴팔,,,,,,,,
94,1347716,기타,"하의, 상의",3,네이비,베이지,긴팔,,,,,,,,
95,1347721,기타,"하의, 상의",3,네이비,베이지,긴팔,,,,,,,,
96,1347725,기타,"하의, 상의",3,네이비,베이지,긴팔,,,,,,,,
97,1347728,기타,"하의, 상의",3,블루,라벤더,긴팔,,,,,,,,
98,1347731,기타,"하의, 상의",3,블루,라벤더,긴팔,,,,,,,,
99,1347748,기타,"하의, 상의",3,블랙,와인,긴팔,,,,,,,,
100,1347755,기타,"하의, 상의",3,블랙,와인,긴팔,,,,,,,,
101,1347756,기타,"하의, 상의",3,블랙,와인,긴팔,,,,,,,,
102,1347758,기타,"하의, 상의",3,블랙,와인,긴팔,,,,,,,,
103,1347767,기타,"하의, 상의",3,블루,옐로우,긴팔,,,,,,,,브라운
104,1347771,기타,"하의, 상의",3,스카이블루,핑크,긴팔,,,,,,,,네이비
105,1347772,기타,"하의, 상의",3,스카이블루,핑크,긴팔,,,,,,,,네이비
106,1347773,기타,"하의, 상의",3,스카이블루,핑크,긴팔,,,,,,,,네이비
107,1347776,기타,"하의, 상의",3,스카이블루,핑크,긴팔,,,,,,,,네이비
108,1347777,기타,"하의, 상의",3,스카이블루,핑크,긴팔,,,,,,,,네이비
109,1347782,기타,"하의, 상의",3,스카이블루,핑크,긴팔,,,,,,,,
110,1347787,기타,"하의, 상의",3,스카이블루,핑크,긴팔,,,,,,,,
111,1347788,기타,"하의, 상의",3,스카이블루,핑크,긴팔,,,,,,,,
112,1347791,기타,"하의, 상의",3,베이지,스카이블루,긴팔,,,,,,,,
113,1347793,기타,"하의, 상의",3,베이지,스카이블루,긴팔,,,,,,,,
114,1347794,기타,"하의, 상의",3,베이지,스카이블루,긴팔,,,,,,,,
115,1347796,기타,"하의, 상의",3,베이지,스카이블루,긴팔,,,,,,,,
116,1347797,기타,"하의, 상의",3,베이지,스카이블루,긴팔,,,,,,,,
117,1347798,기타,"하의, 상의",3,베이지,스카이블루,긴팔,,,,,,,,
118,1347801,기타,"하의, 상의",3,블랙,브라운,긴팔,,,,,,,,
119,1347802,기타,"하의, 상의",3,블랙,브라운,긴팔,,,,,,,,
120,1347803,기타,"하의, 상의",3,블랙,브라운,긴팔,,,,,,,,
121,1347804,기타,"하의, 상의",3,블랙,브라운,긴팔,,,,,,,,
122,1347805,기타,"하의, 상의",3,블랙,브라운,긴팔,,,,,,,,
123,1347806,기타,"하의, 상의",3,블랙,브라운,긴팔,,,,,,,,
124,1347807,기타,"하의, 상의",3,블랙,브라운,긴팔,,,,,,,,
125,1347811,기타,"하의, 상의",3,네이비,그레이,긴팔,,,,,,,,
126,1347812,기타,"하의, 상의",3,네이비,그레이,긴팔,,,,,,,,
127,1347813,기타,"하의, 상의",3,네이비,그레이,긴팔,,,,,,,,
128,1347817,기타,"하의, 상의",3,네이비,그레이,긴팔,,,,,,,,
129,1347822,기타,"하의, 상의",3,네이비,실버,긴팔,,,,,,,,블루
130,1348213,기타,"원피스, 상의",5,,화이트,긴팔,,,블랙,민소매,,,,
131,1348214,기타,"원피스, 상의",5,,화이트,긴팔,,,블랙,민소매,,,,
132,1348215,기타,"원피스, 상의",5,,화이트,긴팔,,,블랙,민소매,,,,
133,1348216,기타,"원피스, 상의",5,,화이트,긴팔,,,블랙,민소매,,,,
134,1348217,기타,"원피스, 상의",5,,화이트,긴팔,,,블랙,민소매,,,,
135,1348218,기타,"원피스, 상의",5,,화이트,긴팔,,,블랙,민소매,,,,
136,1348232,기타,"원피스, 상의",5,,블랙,없음,,,브라운,긴팔,,,,
137,1348233,기타,"원피스, 상의",5,,블랙,없음,,,브라운,긴팔,,,,
138,1348234,기타,"원피스, 상의",5,,블랙,없음,,,브라운,긴팔,,,,
139,1348236,기타,"원피스, 상의",5,,블랙,없음,,,브라운,긴팔,,,,
140,1348238,기타,"원피스, 상의",5,,블랙,없음,,,브라운,긴팔,,,,
141,1348247,기타,"아우터, 원피스",6,,,,베이지,민소매,베이지,긴팔,,화이트,,
142,1348275,기타,"하의, 상의",3,브라운,화이트,긴팔,,,,,,,,
143,1348276,기타,"하의, 상의",3,브라운,화이트,긴팔,,,,,,,,
144,1348277,기타,"하의, 상의",3,브라운,화이트,긴팔,,,,,,,,
145,1348278,기타,"아우터, 하의, 상의",10,브라운,화이트,없음,베이지,긴팔,,,,,,
146,1348281,기타,"하의, 상의",3,브라운,화이트,긴팔,,,,,,,,
147,1348282,기타,"하의, 상의",3,브라운,화이트,긴팔,,,,,,,,
148,1348283,기타,"하의, 상의",3,브라운,화이트,긴팔,,,,,,,,
149,1348284,기타,"하의, 상의",3,브라운,화이트,긴팔,,,,,,,,
150,1348285,기타,"하의, 상의",3,그레이,화이트,반팔,,,,,,,,
151,1348287,기타,"아우터, 하의",4,그레이,,,그레이,긴팔,,,,,,
152,1348291,기타,"하의, 상의",3,그레이,화이트,반팔,,,,,,,,
153,1348292,기타,"하의, 상의",3,그레이,화이트,반팔,,,,,,,,
154,1348293,기타,"아우터, 하의, 상의",10,그레이,화이트,없음,그레이,긴팔,,,,,,
155,1348297,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,
156,1348301,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,
157,1348303,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,
158,1348305,기타,"아우터, 하의, 상의",10,블랙,화이트,긴팔,블랙,민소매,,,,,화이트,
159,1348307,기타,"아우터, 하의, 상의",10,블랙,화이트,긴팔,블랙,민소매,,,,,화이트,
160,1348311,기타,"아우터, 하의, 상의",10,블랙,화이트,긴팔,블랙,민소매,,,,,화이트,
161,1348313,기타,"아우터, 하의, 상의",10,블랙,화이트,긴팔,블랙,민소매,,,,,화이트,
162,1348315,기타,"하의, 상의",3,베이지,브라운,긴팔,,,,,,,,
163,1348316,기타,"하의, 상의",3,베이지,브라운,긴팔,,,,,,,,
164,1348318,기타,"하의, 상의",3,베이지,브라운,긴팔,,,,,,,,
165,1348322,기타,"하의, 상의",3,베이지,브라운,긴팔,,,,,,,,
166,1348324,기타,"하의, 상의",3,베이지,베이지,긴팔,,,,,,,,
167,1348326,기타,"하의, 상의",3,베이지,베이지,긴팔,,,,,,,,
168,1348351,기타,"하의, 상의",3,블랙,블랙,긴팔,,,,,,,,
169,1348354,기타,"하의, 상의",3,블랙,블랙,긴팔,,,,,,,,
170,1348355,기타,"하의, 상의",3,블랙,블랙,긴팔,,,,,,,,
171,1348356,기타,"하의, 상의",3,그레이,화이트,긴팔,,,,,,,,
172,1348358,기타,"하의, 상의",3,그레이,화이트,긴팔,,,,,,,,
173,1348361,기타,"하의, 상의",3,그레이,화이트,긴팔,,,,,,,,
174,1348363,기타,"하의, 상의",3,그레이,화이트,긴팔,,,,,,,,
175,1348366,기타,"하의, 상의",3,그레이,화이트,긴팔,,,,,,,,
176,1348367,기타,"하의, 상의",3,그레이,화이트,긴팔,,,,,,,,
177,1348385,기타,"하의, 상의",3,와인,베이지,긴팔,,,,,화이트,,,
178,1348387,기타,"하의, 상의",3,와인,핑크,긴팔,,,,,화이트,,,
179,1348388,기타,"하의, 상의",3,와인,핑크,긴팔,,,,,화이트,,,
180,1348403,기타,"아우터, 하의, 상의",10,블랙,화이트,없음,베이지,긴팔,,,,,,블랙
181,1348405,기타,"아우터, 하의, 상의",10,블랙,화이트,없음,블랙,긴팔,,,,,베이지,
182,1348408,기타,"아우터, 하의",4,블랙,,,블랙,긴팔,,,,,베이지,
183,1348417,기타,"하의, 상의",3,베이지,라벤더,긴팔,,,,,,,,
184,1348418,기타,"하의, 상의",3,베이지,라벤더,긴팔,,,,,,,,
185,1348421,기타,"하의, 상의",3,베이지,라벤더,긴팔,,,,,,,,
186,1348427,기타,"하의, 상의",3,네이비,베이지,7부소매,,,,,화이트,,,
187,1348431,기타,"하의, 상의",3,네이비,베이지,긴팔,,,,,화이트,,,
188,1348433,기타,"하의, 상의",3,네이비,베이지,긴팔,,,,,화이트,,,
189,1348436,기타,"하의, 상의",3,화이트,오렌지,긴팔,,,,,,,,
190,1348438,기타,"하의, 상의",3,화이트,오렌지,긴팔,,,,,,,,
191,1348441,기타,"하의, 상의",3,화이트,오렌지,긴팔,,,,,,,,
192,1348442,기타,"하의, 상의",3,화이트,오렌지,긴팔,,,,,,,,
193,1348443,기타,"하의, 상의",3,화이트,오렌지,긴팔,,,,,,,,
194,1348444,기타,"하의, 상의",3,화이트,오렌지,긴팔,,,,,,,,
195,1348445,기타,"하의, 상의",3,화이트,오렌지,긴팔,,,,,,,,
196,1348446,기타,"하의, 상의",3,네이비,핑크,긴팔,,,,,카키,,,
197,1348447,기타,"하의, 상의",3,네이비,핑크,긴팔,,,,,카키,,,
198,1348448,기타,"하의, 상의",3,네이비,핑크,긴팔,,,,,카키,,,
199,1348451,기타,"하의, 상의",3,네이비,핑크,긴팔,,,,,카키,,,
200,1348452,기타,"하의, 상의",3,네이비,핑크,긴팔,,,,,실버,,,
201,1348453,기타,"하의, 상의",3,네이비,핑크,긴팔,,,,,실버,,,
202,1348454,기타,"원피스, 상의",5,,베이지,긴팔,,,브라운,민소매,,베이지,,
203,1348455,기타,"원피스, 상의",5,,베이지,긴팔,,,브라운,민소매,,베이지,,
204,1348456,기타,"원피스, 상의",5,,베이지,긴팔,,,브라운,민소매,,베이지,,
205,1348457,기타,"하의, 상의",3,블루,네온,긴팔,,,,,스카이블루,,,
206,1348458,기타,"하의, 상의",3,블루,네온,긴팔,,,,,스카이블루,,,
207,1348462,기타,"하의, 상의",3,블루,네온,긴팔,,,,,스카이블루,,,
208,1348464,기타,"하의, 상의",3,블루,네온,긴팔,,,,,스카이블루,,,
209,1348466,기타,"하의, 상의",3,브라운,화이트,긴팔,,,,,,,,
210,1348467,기타,"하의, 상의",3,브라운,화이트,긴팔,,,,,,,,
211,1348468,기타,"하의, 상의",3,브라운,화이트,긴팔,,,,,,,,
212,1348472,기타,"하의, 상의",3,베이지,화이트,긴팔,,,,,,,,
213,1348474,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,
214,1348475,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,
215,1348476,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,
216,1348477,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,
217,1348478,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,
218,1348481,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,
219,1348482,기타,"하의, 상의",3,베이지,브라운,긴팔,,,,,,,,
220,1348485,기타,"하의, 상의",3,베이지,브라운,긴팔,,,,,,,,
221,1348486,기타,"하의, 상의",3,베이지,브라운,긴팔,,,,,,,,
222,1348487,기타,"하의, 상의",3,베이지,브라운,긴팔,,,,,,,,
223,1348488,기타,"하의, 상의",3,베이지,브라운,긴팔,,,,,,,,
224,1348492,기타,"하의, 상의",3,베이지,브라운,긴팔,,,,,,,,
225,1348493,기타,"하의, 상의",3,베이지,그레이,긴팔,,,,,,,,블루
226,1348494,기타,"하의, 상의",3,베이지,그레이,긴팔,,,,,,,,블루
227,1348496,기타,"하의, 상의",3,베이지,그레이,긴팔,,,,,,,,블루
228,1348501,기타,"하의, 상의",3,베이지,그레이,긴팔,,,,,,,,블루
229,1348506,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,라벤더
230,1348508,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,라벤더
231,1348511,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,라벤더
232,1348513,기타,"하의, 상의",3,블랙,화이트,긴팔,,,,,,,,라벤더
233,1348515,기타,"하의, 상의",3,블랙,그레이,긴팔,,,,,,,,화이트
234,1348516,기타,"하의, 상의",3,블랙,그레이,긴팔,,,,,,,,화이트
235,1348517,기타,"하의, 상의",3,블랙,그레이,긴팔,,,,,,,,화이트
236,1348522,기타,"하의, 상의",3,블랙,그레이,긴팔,,,,,,,,블랙
237,1348523,기타,"하의, 상의",3,네이비,그레이,긴팔,,,,,베이지,,,화이트
238,1348525,기타,"하의, 상의",3,블랙,와인,긴팔,,,,,,,,베이지
239,1348527,기타,"하의, 상의",3,블랙,퍼플,긴팔,,,,,,,,화이트
240,1348533,기타,"하의, 상의",3,블랙,퍼플,긴팔,,,,,,,,화이트
241,1348536,기타,"아우터, 하의, 상의",10,핑크,화이트,긴팔,핑크,민소매,,,화이트,,화이트,
242,1348537,기타,"아우터, 하의, 상의",10,핑크,화이트,긴팔,핑크,민소매,,,화이트,,화이트,
243,1348538,기타,"아우터, 하의, 상의",10,핑크,화이트,긴팔,핑크,민소매,,,화이트,,화이트,
244,1348541,기타,"아우터, 하의, 상의",10,핑크,화이트,긴팔,핑크,민소매,,,화이트,,화이트,
245,1348542,기타,"아우터, 하의, 상의",10,핑크,화이트,긴팔,핑크,민소매,,,화이트,,화이트,
246,1348543,기타,"아우터, 하의, 상의",10,핑크,화이트,긴팔,핑크,민소매,,,화이트,,화이트,
247,1348544,기타,"아우터, 하의, 상의",10,핑크,화이트,긴팔,핑크,민소매,,,화이트,,화이트,
248,1348545,기타,"아우터, 하의, 상의",10,핑크,화이트,긴팔,핑크,민소매,,,화이트,,화이트,
249,1348546,기타,"아우터, 하의, 상의",10,핑크,화이트,긴팔,핑크,민소매,,,화이트,,화이트,
250,1348547,기타,"아우터, 하의, 상의",10,핑크,화이트,긴팔,핑크,민소매,,,화이트,,화이트,
251,1348552,기타,"아우터, 상의",2,,화이트,없음,카키,긴팔,,,,,,
252,1348556,기타,"아우터, 상의",2,,화이트,없음,카키,긴팔,,,,,,
253,1348557,기타,"아우터, 하의, 상의",10,블랙,화이트,없음,카키,긴팔,,,,,,
254,1348561,기타,"아우터, 하의",4,블루,,,그레이,긴팔,,,,,,
255,1348571,기타,"아우터, 하의, 상의",10,블루,브라운,없음,화이트,긴팔,,,,,,
256,1348572,기타,"아우터, 상의",2,,브라운,없음,화이트,긴팔,,,,,,
257,1348573,기타,"아우터, 상의",2,,브라운,없음,화이트,긴팔,,,,,,
258,1348574,기타,"아우터, 하의, 상의",10,블루,브라운,없음,화이트,긴팔,,,,,,
259,1348575,기타,"아우터, 상의",2,,브라운,없음,화이트,긴팔,,,,,,
260,1348576,기타,"아우터, 하의",4,블루,,,화이트,긴팔,,,,,,
261,1348577,기타,"아우터, 상의",2,,브라운,없음,화이트,긴팔,,,,,,
262,1348581,기타,"아우터, 하의, 상의",10,블랙,화이트,없음,그레이,긴팔,,,,,,
263,1348582,기타,"아우터, 하의, 상의",10,블랙,화이트,없음,그레이,긴팔,,,,,,
264,1348583,기타,"아우터, 하의",4,블랙,,,그레이,긴팔,,,,,,
265,1348585,기타,"아우터, 하의",4,블랙,,,그레이,긴팔,,,,,,
266,1348587,기타,"아우터, 하의",4,블랙,,,그레이,긴팔,,,,,,
267,1348588,기타,"아우터, 하의, 상의",10,블랙,화이트,없음,그레이,긴팔,,,,,,
268,1348591,기타,"아우터, 상의",2,,오렌지,없음,화이트,긴팔,,,,,,
269,1348592,기타,"아우터, 상의",2,,오렌지,없음,화이트,긴팔,,,,,,
270,1348593,기타,"아우터, 하의",4,화이트,,,화이트,긴팔,,,,,,
271,1348594,기타,"아우터, 하의",4,화이트,,,화이트,긴팔,,,,,,
272,1348595,기타,"아우터, 하의",4,화이트,,,화이트,긴팔,,,,,,
273,1348601,기타,"아우터, 하의, 상의",10,핑크,화이트,없음,핑크,긴팔,,,,,,
274,1348602,기타,"아우터, 하의",4,핑크,,,핑크,긴팔,,,,,,
275,1348604,기타,"아우터, 하의",4,핑크,,,핑크,긴팔,,,,,,
276,1348605,기타,"아우터, 하의",4,핑크,,,핑크,긴팔,,,,,,
277,1348606,기타,"아우터, 상의",2,,화이트,없음,핑크,긴팔,,,,,,
278,1348612,기타,"아우터, 하의",4,실버,,,화이트,긴팔,,,,,,
279,1348615,기타,"아우터, 원피스",6,,,,화이트,긴팔,실버,없음,,,,
280,1348617,기타,"아우터, 하의, 상의",10,블랙,화이트,없음,핑크,긴팔,,,,,,
281,1348618,기타,"아우터, 하의, 상의",10,블랙,화이트,없음,핑크,긴팔,,,,,,
282,1348622,기타,"아우터, 하의",4,네이비,,,스카이블루,긴팔,,,,,화이트,
283,1348624,기타,"아우터, 상의",2,,화이트,없음,스카이블루,긴팔,,,,,화이트,
284,1348625,기타,"아우터, 하의",4,네이비,,,스카이블루,긴팔,,,,,화이트,
285,1348626,기타,"아우터, 상의",2,,화이트,없음,스카이블루,긴팔,,,,,화이트,
286,1348627,기타,"아우터, 하의",4,네이비,,,스카이블루,긴팔,,,,,화이트,
287,1348628,기타,"아우터, 하의, 상의",10,네이비,화이트,없음,스카이블루,긴팔,,,,,화이트,
288,1348637,기타,"아우터, 하의, 상의",10,네이비,화이트,없음,베이지,긴팔,,,,,,
289,1348638,기타,"아우터, 하의",4,네이비,,,베이지,긴팔,,,,,,
290,1348641,기타,"아우터, 하의, 상의",10,네이비,화이트,없음,베이지,긴팔,,,,,,
291,1348642,기타,"아우터, 하의, 상의",10,화이트,화이트,없음,화이트,긴팔,,,,,스카이블루,
292,1348644,기타,"아우터, 하의, 상의",10,화이트,화이트,없음,화이트,긴팔,,,,,스카이블루,
293,1348646,기타,"아우터, 상의",2,,화이트,없음,화이트,긴팔,,,,,스카이블루,
294,1348651,기타,"아우터, 하의",4,화이트,,,네이비,긴팔,,,,,베이지,
295,1348652,기타,"아우터, 하의",4,화이트,,,네이비,긴팔,,,,,,
296,1348653,기타,"아우터, 하의",4,화이트,,,네이비,긴팔,,,,,베이지,
297,1348655,기타,"아우터, 하의",4,화이트,,,네이비,긴팔,,,,,베이지,
298,1348656,기타,"아우터, 하의",4,화이트,,,네이비,긴팔,,,,,베이지,
299,1348657,기타,"아우터, 하의, 상의",10,화이트,베이지,없음,네이비,긴팔,,,,,베이지,
300,1348658,기타,"아우터, 하의",4,화이트,,,네이비,긴팔,,,,,베이지,
301,1348663,기타,"하의, 상의",3,블랙,베이지,긴팔,,,,,,,,
302,1348672,기타,"하의, 상의",3,블랙,카키,긴팔,,,,,,,,화이트
303,1348673,기타,"하의, 상의",3,블랙,카키,긴팔,,,,,,,,화이트
304,1348676,기타,"하의, 상의",3,블랙,카키,긴팔,,,,,,,,화이트
