,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_서브색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_서브색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_핏,하의_디테일,아우터_옷깃,아우터_넥라인,상의_기장,아우터_서브색상,원피스_기장,원피스_색상,원피스_서브색상,원피스_카테고리,원피스_디테일,원피스_소매기장,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,상의_옷깃
10,1020825,밀리터리,"하의, 상의",3,미니,네이비,블랙,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,블랙,티셔츠,['드롭숄더'],반팔,['저지'],['레터링'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,
11,1027163,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],벨보텀,,,,,,,,,,하프,그린,짚업,['퀄팅'],긴팔,['패딩'],['무지'],오버사이즈,,,,,,,,,,,,,,,,
12,1027165,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],벨보텀,,,,,,,,,,하프,그린,짚업,['퀄팅'],긴팔,['패딩'],['무지'],오버사이즈,,,,,,,,,,,,,,,,
13,1027166,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],벨보텀,,,,,,,,,,하프,그린,짚업,['퀄팅'],긴팔,['패딩'],['무지'],오버사이즈,,,,,,,,,,,,,,,,
14,1027425,밀리터리,"아우터, 하의",4,발목,블랙,,청바지,['데님'],['무지'],스키니,,,,,,,,,,하프,브라운,패딩,"['스트링', '퍼트리밍', '드롭숄더']",긴팔,,['무지'],노멀,['롤업'],,,,,,,,,,,,,,,
15,1027427,밀리터리,"아우터, 하의",4,발목,,,청바지,['데님'],['무지'],스키니,,,,,,,,,,하프,브라운,패딩,"['스트링', '퍼트리밍', '드롭숄더']",긴팔,,['무지'],노멀,['롤업'],,,,,,,,,,,,,,,
16,1028712,밀리터리,"아우터, 하의, 상의",10,미니,네이비,,스커트,['데님'],['무지'],노멀,블랙,,티셔츠,,없음,['메시'],['무지'],터틀넥,,하프,카키,점퍼,['띠'],긴팔,['우븐'],['무지'],노멀,['디스트로이드'],차이나칼라,,,,,,,,,,,,,,
17,1028713,밀리터리,"아우터, 하의",4,미니,블랙,,스커트,['데님'],['무지'],노멀,,,,,,,,,,하프,카키,점퍼,['띠'],긴팔,['우븐'],['무지'],노멀,['디스트로이드'],차이나칼라,,,,,,,,,,,,,,
18,1028714,밀리터리,"아우터, 하의, 상의",10,미니,블랙,,스커트,['데님'],['무지'],노멀,블랙,,티셔츠,,없음,['메시'],['무지'],터틀넥,,하프,카키,점퍼,['띠'],긴팔,['우븐'],['무지'],노멀,['디스트로이드'],차이나칼라,,,,,,,,,,,,,,
19,1028715,밀리터리,"아우터, 하의",4,미디,베이지,,스커트,['우븐'],['무지'],노멀,,,,,,,,,,하프,카키,점퍼,['지퍼'],긴팔,['우븐'],['무지'],노멀,,차이나칼라,,,,,,,,,,,,,,
20,1028716,밀리터리,"아우터, 상의",2,,,,,,,,블랙,그레이,티셔츠,,없음,['저지'],['스트라이프'],라운드넥,,하프,카키,점퍼,['지퍼'],긴팔,['우븐'],['무지'],노멀,,차이나칼라,,,,,,,,,,,,,,
21,1029553,밀리터리,"아우터, 하의, 상의",10,,블루,,,,,,화이트,,,,없음,,,,,하프,블랙,점퍼,"['띠', '지퍼', '단추']",긴팔,['우븐'],['무지'],루즈,,,브이넥,,,,,,,,,,,,,
22,1029554,밀리터리,"아우터, 하의, 상의",10,,블루,,청바지,['데님'],['무지'],노멀,화이트,,티셔츠,,없음,['저지'],"['무지', '레터링']",라운드넥,루즈,하프,베이지,점퍼,"['띠', '단추', '포켓']",긴팔,['우븐'],['무지'],루즈,['포켓'],,노카라,노멀,,,,,,,,,,,,
23,1029555,밀리터리,"아우터, 하의, 상의",10,,블루,,청바지,['데님'],['무지'],노멀,화이트,,티셔츠,,없음,['저지'],"['무지', '레터링']",라운드넥,루즈,하프,베이지,점퍼,"['띠', '단추', '포켓']",긴팔,['우븐'],['무지'],루즈,,,노카라,노멀,,,,,,,,,,,,
24,1029785,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,롱,그린,재킷,"['단추', '싱글브레스티드', '포켓', '롤업']",긴팔,['우븐'],['무지'],노멀,,테일러드칼라,브이넥,,,,,,,,,,,,,
25,1029791,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,롱,그린,재킷,"['단추', '싱글브레스티드', '포켓', '롤업']",긴팔,['우븐'],['무지'],노멀,,테일러드칼라,브이넥,,,,,,,,,,,,,
26,1029968,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,네이비,재킷,"['포켓', '지퍼', '셔링']",7부소매,['우븐'],['무지'],루즈,"['스티치', '포켓']",,노카라,,,,,,,,,,,,,
27,1029969,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,네이비,재킷,,7부소매,['우븐'],['무지'],루즈,['스티치'],,,,,,,,,,,,,,,
28,1029974,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,네이비,재킷,"['포켓', '지퍼', '셔링']",7부소매,['우븐'],['무지'],루즈,"['스티치', '포켓']",,노카라,,,,,,,,,,,,,
29,1029976,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,네이비,재킷,"['포켓', '지퍼', '셔링']",7부소매,['우븐'],['무지'],루즈,"['스티치', '포켓']",,노카라,,,,,,,,,,,,,
30,1029977,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,네이비,재킷,"['포켓', '셔링']",7부소매,['우븐'],['무지'],루즈,,,,,,,,,,,,,,,,
31,1030022,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,스카이블루,재킷,"['단추', '포켓', '스트링']",7부소매,['우븐'],['무지'],루즈,['스티치'],,라운드넥,,,,,,,,,,,,,
32,1030024,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,스카이블루,재킷,"['단추', '포켓', '스트링']",7부소매,['우븐'],['무지'],루즈,['스티치'],,라운드넥,,,,,,,,,,,,,
33,1030026,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,스카이블루,재킷,"['단추', '포켓', '스트링']",7부소매,['우븐'],['무지'],루즈,['스티치'],,라운드넥,,,,,,,,,,,,,
34,1030028,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,스카이블루,재킷,"['단추', '포켓', '스트링']",7부소매,['우븐'],['무지'],루즈,['스티치'],,라운드넥,,,,,,,,,,,,,
35,1030463,밀리터리,"아우터, 하의, 상의",10,발목,블랙,,팬츠,['우븐'],['무지'],노멀,블랙,,티셔츠,,없음,['우븐'],['무지'],라운드넥,노멀,롱,베이지,점퍼,,긴팔,['우븐'],['무지'],루즈,['슬릿'],셔츠칼라,,,,,,,,,,,,,,
36,1030464,밀리터리,"아우터, 하의, 상의",10,발목,블랙,,팬츠,['우븐'],['무지'],노멀,블랙,,티셔츠,,없음,['우븐'],['무지'],라운드넥,노멀,롱,베이지,점퍼,,긴팔,['우븐'],['무지'],루즈,,셔츠칼라,,,,,,,,,,,,,,
37,1030465,밀리터리,"아우터, 하의, 상의",10,발목,블랙,,팬츠,['우븐'],['무지'],노멀,블랙,,티셔츠,,없음,['우븐'],['무지'],라운드넥,노멀,롱,베이지,점퍼,,긴팔,['우븐'],['무지'],루즈,['슬릿'],셔츠칼라,,,,,,,,,,,,,,
38,1030466,밀리터리,"아우터, 하의, 상의",10,발목,블랙,,팬츠,['우븐'],['무지'],노멀,블랙,,티셔츠,,없음,['우븐'],['무지'],라운드넥,노멀,롱,베이지,점퍼,,긴팔,['우븐'],['무지'],루즈,['슬릿'],셔츠칼라,,,,,,,,,,,,,,
39,1030467,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,베이지,점퍼,,긴팔,['우븐'],['무지'],루즈,,셔츠칼라,,,,,,,,,,,,,,
40,1030468,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,베이지,점퍼,,긴팔,['우븐'],['무지'],루즈,,셔츠칼라,,,,,,,,,,,,,,
41,1030469,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,베이지,점퍼,,긴팔,['우븐'],['무지'],루즈,,셔츠칼라,,,,,,,,,,,,,,
42,1030470,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,베이지,점퍼,,긴팔,['우븐'],['무지'],루즈,,셔츠칼라,,,,,,,,,,,,,,
43,1030473,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,베이지,점퍼,,긴팔,['우븐'],['무지'],루즈,,셔츠칼라,,,,,,,,,,,,,,
44,1030504,밀리터리,"아우터, 상의",2,,,,,,,,블랙,,티셔츠,,없음,['저지'],['무지'],라운드넥,노멀,하프,카키,재킷,['포켓'],긴팔,['우븐'],"['체크', '무지']",루즈,,셔츠칼라,,,브라운,,,,,,,,,,,
45,1030506,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],스키니,,,,,,,,,,하프,카키,재킷,['포켓'],긴팔,['우븐'],"['체크', '무지']",루즈,,셔츠칼라,,,브라운,,,,,,,,,,,
46,1030507,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],스키니,,,,,,,,,,하프,카키,재킷,['포켓'],긴팔,['우븐'],"['체크', '무지']",루즈,,셔츠칼라,,,브라운,,,,,,,,,,,
47,1030508,밀리터리,"아우터, 상의",2,,,,,,,,블랙,,티셔츠,,없음,['저지'],['무지'],라운드넥,노멀,하프,카키,재킷,['포켓'],긴팔,['우븐'],"['체크', '무지']",루즈,,셔츠칼라,,,브라운,,,,,,,,,,,
48,1030509,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],스키니,,,,,,,,,,하프,카키,재킷,['포켓'],긴팔,['우븐'],"['체크', '무지']",루즈,,셔츠칼라,,,브라운,,,,,,,,,,,
49,1030510,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],스키니,,,,,,,,,,하프,카키,재킷,['포켓'],긴팔,['우븐'],"['체크', '무지']",루즈,,,,,브라운,,,,,,,,,,,
50,1030514,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],스키니,,,,,,,,,,하프,카키,재킷,['포켓'],긴팔,['우븐'],"['체크', '무지']",루즈,,셔츠칼라,,,브라운,,,,,,,,,,,
51,1030664,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
52,1030665,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
53,1030666,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
54,1030667,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
55,1030668,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
56,1030673,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
57,1030674,밀리터리,"아우터, 하의",4,발목,블루,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
58,1030675,밀리터리,"아우터, 하의",4,발목,블루,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
59,1030676,밀리터리,"아우터, 하의",4,발목,,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,하프,블랙,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
60,1030677,밀리터리,"아우터, 하의",4,발목,,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,하프,블랙,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
61,1030678,밀리터리,"아우터, 하의",4,발목,,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,하프,블랙,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
62,1030680,밀리터리,"아우터, 하의",4,발목,,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,하프,블랙,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
63,1030683,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
64,1030684,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
65,1030685,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
66,1030686,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,하프,카키,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
67,1030744,밀리터리,"아우터, 하의",4,발목,베이지,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,블랙,점퍼,,7부소매,['우븐'],"['무지', '레터링']",루즈,,,,,그레이,,,,,,,,,,,
68,1030747,밀리터리,"아우터, 하의",4,발목,베이지,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,블랙,점퍼,,7부소매,['우븐'],"['무지', '레터링']",루즈,,,,,그레이,,,,,,,,,,,
69,1030748,밀리터리,"아우터, 하의",4,발목,베이지,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,블랙,점퍼,,7부소매,['우븐'],"['무지', '레터링']",루즈,,,,,그레이,,,,,,,,,,,
70,1030749,밀리터리,"아우터, 하의",4,발목,베이지,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,블랙,점퍼,,7부소매,['우븐'],"['무지', '레터링']",루즈,,,,,그레이,,,,,,,,,,,
71,1030751,밀리터리,"아우터, 하의",4,발목,베이지,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,블랙,점퍼,,긴팔,['우븐'],"['무지', '레터링']",루즈,,,,,그레이,,,,,,,,,,,
72,1030755,밀리터리,"아우터, 하의",4,발목,베이지,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,블랙,점퍼,,긴팔,['우븐'],"['무지', '레터링']",루즈,,,,,그레이,,,,,,,,,,,
73,1030759,밀리터리,"아우터, 하의",4,발목,네이비,,청바지,['데님'],['무지'],노멀,,,,,,,,,,롱,블랙,점퍼,,긴팔,['우븐'],"['무지', '레터링']",루즈,,,,,,,,,,,,,,,,
74,1030765,밀리터리,"아우터, 하의",4,발목,네이비,,청바지,['데님'],['무지'],노멀,,,,,,,,,,롱,블랙,점퍼,,긴팔,['우븐'],"['무지', '레터링']",루즈,,,,,,,,,,,,,,,,
75,1030805,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,,['무지'],루즈,,,,,,,,,,노말,베이지,짚업,['포켓'],긴팔,['우븐'],['무지'],루즈,,,,,,,,,,,,,,,,
76,1030806,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,,['무지'],루즈,,,,,,,,,,노말,베이지,짚업,['포켓'],긴팔,['우븐'],['무지'],루즈,,,,,,,,,,,,,,,,
77,1030810,밀리터리,"아우터, 하의",4,발목,스카이블루,,청바지,,['무지'],루즈,,,,,,,,,,노말,카키,짚업,['포켓'],긴팔,['우븐'],['무지'],루즈,,,,,,,,,,,,,,,,
78,1030871,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,블랙,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
79,1030872,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,블랙,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
80,1030875,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,블랙,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
81,1030876,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,블랙,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
82,1030877,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,블랙,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
83,1030886,밀리터리,"아우터, 하의",4,발목,화이트,,팬츠,['우븐'],['무지'],노멀,,,,,,,,,,롱,블랙,짚업,,긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
84,1031024,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,롱,카키,짚업,['스트링'],긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
85,1031025,밀리터리,"아우터, 하의",4,,네이비,,,,,,,,,,,,,,,롱,카키,짚업,['스트링'],긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
86,1031026,밀리터리,"아우터, 하의",4,,네이비,,,,,,,,,,,,,,,롱,카키,짚업,['스트링'],긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
87,1031027,밀리터리,"아우터, 하의",4,,네이비,,,,,,,,,,,,,,,롱,카키,짚업,['스트링'],긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
88,1031030,밀리터리,"아우터, 하의",4,,네이비,,,,,,,,,,,,,,,롱,카키,짚업,['스트링'],긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
89,1031031,밀리터리,"아우터, 하의",4,,네이비,,,,,,,,,,,,,,,롱,카키,짚업,['스트링'],긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
90,1031032,밀리터리,"아우터, 하의",4,,네이비,,,,,,,,,,,,,,,롱,카키,짚업,['스트링'],긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
91,1031033,밀리터리,"아우터, 하의",4,,네이비,,,,,,,,,,,,,,,롱,카키,짚업,['스트링'],긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
92,1031034,밀리터리,"아우터, 하의",4,,네이비,,,,,,,,,,,,,,,롱,카키,짚업,['스트링'],긴팔,['우븐'],['무지'],노멀,,,,,,,,,,,,,,,,
93,1032416,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],스키니,,,,,,,,,,롱,화이트,패딩,"['퍼트리밍', '포켓']",긴팔,['패딩'],['무지'],노멀,,,,,,,,,,,,,,,,
94,1032421,밀리터리,"아우터, 하의, 상의",10,발목,블루,,청바지,['데님'],['무지'],스키니,블랙,,,,없음,,,,,롱,블랙,패딩,"['퍼트리밍', '퀄팅']",긴팔,['패딩'],['무지'],노멀,,,후드,,,,,,,,,,,,,
95,1032422,밀리터리,"아우터, 하의",4,,,,청바지,['데님'],['무지'],스키니,,,,,,,,,,롱,블랙,패딩,,긴팔,['패딩'],['무지'],노멀,,,후드,,,,,,,,,,,,,
96,1032426,밀리터리,"아우터, 하의, 상의",10,,블루,,청바지,['데님'],['무지'],스키니,블랙,,,,없음,,,,,롱,블랙,패딩,,긴팔,['패딩'],['무지'],노멀,,,후드,,,,,,,,,,,,,
97,1032429,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],스키니,,,,,,,,,,롱,블랙,패딩,"['퍼트리밍', '퀄팅']",긴팔,['패딩'],['무지'],노멀,,,후드,,,,,,,,,,,,,
98,1032432,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],스키니,,,,,,,,,,하프,브라운,패딩,"['스트링', '퍼트리밍', '포켓']",긴팔,['패딩'],['무지'],노멀,['슬릿'],,,,화이트,,,,,,,,,,,
99,1032436,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],스키니,,,,,,,,,,하프,브라운,패딩,"['스트링', '퍼트리밍', '포켓']",긴팔,['패딩'],['무지'],노멀,['슬릿'],,,,화이트,,,,,,,,,,,
100,1032726,밀리터리,"아우터, 하의",4,발목,,,청바지,['데님'],['무지'],스키니,,,,,,,,,,롱,카키,점퍼,"['스트링', '포켓']",긴팔,"['우븐', '퍼']",['무지'],루즈,,,후드,,,,,,,,,,,,,
101,1032728,밀리터리,"아우터, 하의",4,발목,,,청바지,['데님'],['무지'],스키니,,,,,,,,,,롱,카키,점퍼,"['스트링', '포켓']",긴팔,"['우븐', '퍼']",['무지'],루즈,,,후드,,,,,,,,,,,,,
102,1032832,밀리터리,"아우터, 하의",4,미디,핑크,,스커트,['니트'],['무지'],스키니,,,,,,,,,,노말,블랙,점퍼,,긴팔,"['퍼', '패딩']",['무지'],노멀,,,,,,,,,,,,,,,,
103,1032833,밀리터리,"아우터, 하의",4,미디,핑크,,스커트,['니트'],['무지'],스키니,,,,,,,,,,노말,블랙,점퍼,,긴팔,"['퍼', '패딩']",['무지'],노멀,,,,,,,,,,,,,,,,
104,1032834,밀리터리,"아우터, 하의",4,,핑크,,,,,,,,,,,,,,,노말,블랙,점퍼,,긴팔,"['퍼', '패딩']",['무지'],노멀,,,,,,,,,,,,,,,,
105,1032835,밀리터리,"아우터, 하의",4,미디,핑크,,스커트,['니트'],['무지'],스키니,,,,,,,,,,노말,블랙,점퍼,,긴팔,"['퍼', '패딩']",['무지'],노멀,,,,,,,,,,,,,,,,
106,1032908,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,블랙,점퍼,"['퀄팅', '스트링']",긴팔,['패딩'],['무지'],루즈,,셔츠칼라,,,,,,,,,,,,,,
107,1032909,밀리터리,"아우터, 하의",4,발목,블루,,청바지,['데님'],['무지'],노멀,,,,,,,,,,하프,블랙,점퍼,"['퀄팅', '스트링']",긴팔,['패딩'],['무지'],루즈,,셔츠칼라,,,,,,,,,,,,,,
108,1032910,밀리터리,"아우터, 하의",4,발목,블랙,,팬츠,['우븐'],['무지'],와이드,,,,,,,,,,하프,블랙,점퍼,"['퀄팅', '스트링']",긴팔,['패딩'],['무지'],루즈,,셔츠칼라,,,,,,,,,,,,,,
109,1037586,밀리터리,"하의, 상의",3,맥시,그린,카키,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,,탑,['드롭숄더'],긴팔,['우븐'],['그래픽'],라운드넥,오버사이즈,,,,,,,,,,,,,,,,,,,,,,,,
110,1037587,밀리터리,"하의, 상의",3,맥시,그린,카키,팬츠,['우븐'],['카무플라쥬'],루즈,화이트,,탑,['드롭숄더'],긴팔,['우븐'],['그래픽'],라운드넥,오버사이즈,,,,,,,,,,,,,,,,,,,,,,,,
