,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,하의_기장,하의_색상,하의_카테고리,하의_디테일,하의_소재,하의_프린트,하의_핏,원피스_기장,원피스_색상,원피스_카테고리,원피스_소매기장,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,아우터_서브색상,상의_기장,상의_색상,상의_카테고리,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,아우터_옷깃,상의_디테일,하의_서브색상,상의_서브색상,원피스_서브색상,원피스_디테일,상의_옷깃,원피스_옷깃
17,1018984,섹시,"아우터, 원피스",6,노말,핑크,가디건,,긴팔,['저지'],['무지'],,타이트,,,,,,,,미니,핑크,드레스,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,,,,,,,,,,
18,1027551,섹시,"아우터, 하의",4,노말,레드,짚업,['지퍼'],긴팔,['퍼'],['무지'],라운드넥,루즈,미니,블랙,스커트,,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
19,1027554,섹시,"아우터, 하의",4,노말,레드,짚업,['지퍼'],긴팔,['퍼'],['무지'],라운드넥,루즈,미니,블랙,스커트,,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
20,1027555,섹시,"아우터, 하의",4,노말,레드,짚업,,긴팔,['퍼'],['무지'],라운드넥,루즈,미니,블랙,스커트,,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
21,1027556,섹시,"아우터, 하의",4,노말,레드,짚업,['지퍼'],긴팔,['퍼'],['무지'],라운드넥,루즈,미니,블랙,스커트,,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
22,1027557,섹시,"아우터, 하의",4,노말,레드,짚업,['지퍼'],긴팔,['퍼'],['무지'],라운드넥,루즈,미니,블랙,스커트,,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
23,1027558,섹시,"아우터, 하의",4,노말,레드,짚업,['지퍼'],긴팔,['퍼'],['무지'],라운드넥,루즈,미니,블랙,스커트,,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
24,1027559,섹시,"아우터, 하의",4,노말,레드,짚업,,긴팔,['퍼'],['무지'],라운드넥,루즈,미니,블랙,스커트,,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
25,1027560,섹시,"아우터, 하의",4,노말,레드,짚업,['지퍼'],긴팔,['퍼'],['무지'],라운드넥,루즈,미니,블랙,스커트,,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
26,1027561,섹시,"아우터, 하의",4,노말,레드,짚업,,긴팔,['퍼'],['무지'],라운드넥,루즈,미니,블랙,스커트,,['가죽'],['무지'],노멀,,,,,,,,,,,,,,,,,,,,,,,,,
27,1028937,섹시,"아우터, 하의",4,노말,네이비,재킷,,긴팔,['트위드'],,라운드넥,노멀,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,화이트,,,,,,,,,,,,,,,,
28,1028938,섹시,"아우터, 하의, 상의",10,노말,네이비,재킷,,긴팔,['트위드'],,라운드넥,노멀,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,화이트,노멀,블랙,탑,긴팔,['우븐'],['무지'],유넥,노멀,,,,,,,,
29,1028939,섹시,"아우터, 하의, 상의",10,노말,네이비,재킷,,긴팔,['트위드'],,라운드넥,노멀,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,화이트,노멀,블랙,탑,긴팔,['우븐'],['무지'],유넥,노멀,,,,,,,,
30,1028940,섹시,"아우터, 하의, 상의",10,노말,블랙,재킷,,긴팔,['트위드'],,라운드넥,노멀,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,화이트,노멀,블랙,탑,긴팔,['우븐'],['무지'],유넥,노멀,,,,,,,,
31,1028941,섹시,"아우터, 하의",4,노말,블랙,재킷,,긴팔,['트위드'],,,노멀,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,화이트,,,,,,,,,,,,,,,,
32,1029557,섹시,"아우터, 하의, 상의",10,하프,베이지,재킷,"['단추', '포켓', '싱글브레스티드', '롤업']",긴팔,['우븐'],['무지'],브이넥,오버사이즈,미니,브라운,스커트,,['우븐'],['무지'],노멀,,,,,,,,,,노멀,블랙,탑,없음,['저지'],['무지'],유넥,타이트,테일러드칼라,,,,,,,
33,1029558,섹시,"아우터, 하의, 상의",10,하프,베이지,재킷,"['단추', '포켓', '싱글브레스티드', '롤업']",긴팔,['우븐'],['무지'],브이넥,오버사이즈,미니,브라운,스커트,,['우븐'],['무지'],노멀,,,,,,,,,,노멀,블랙,탑,없음,['저지'],['무지'],유넥,타이트,테일러드칼라,,,,,,,
34,1029563,섹시,"아우터, 하의, 상의",10,하프,베이지,재킷,"['단추', '포켓', '싱글브레스티드', '롤업']",긴팔,['우븐'],['무지'],브이넥,오버사이즈,미니,브라운,스커트,,['우븐'],['무지'],노멀,,,,,,,,,,노멀,블랙,탑,없음,['저지'],['무지'],유넥,타이트,테일러드칼라,,,,,,,
35,1038449,섹시,"하의, 상의",3,,,,,,,,,,미디,레드,스커트,"['슬릿', '컷아웃', '비대칭']",['우븐'],['무지'],스키니,,,,,,,,,,롱,그레이,티셔츠,긴팔,['우븐'],['무지'],,노멀,,['비대칭'],,,,,,
36,1038452,섹시,"하의, 상의",3,,,,,,,,,,미디,레드,스커트,"['슬릿', '컷아웃', '비대칭']",['우븐'],['무지'],스키니,,,,,,,,,,롱,그레이,티셔츠,긴팔,['우븐'],['무지'],,노멀,,['비대칭'],,,,,,
37,1038454,섹시,"하의, 상의",3,,,,,,,,,,미디,레드,스커트,"['슬릿', '컷아웃', '비대칭']",['우븐'],['무지'],스키니,,,,,,,,,,롱,그레이,티셔츠,긴팔,['우븐'],['무지'],,노멀,,['비대칭'],,,,,,
38,104060,섹시,"아우터, 하의, 상의",10,노말,베이지,재킷,['단추'],긴팔,['우븐'],['무지'],라운드넥,노멀,미디,블랙,스커트,['슬릿'],['우븐'],['무지'],스키니,,,,,,,,,,,베이지,,긴팔,,,,,,,,,,,,
39,104062,섹시,"하의, 상의",3,,,,,,,,,,미디,블랙,스커트,,['우븐'],['무지'],스키니,,,,,,,,,,,화이트,티셔츠,7부소매,['저지'],['무지'],,노멀,,,,,,,,
40,104063,섹시,"아우터, 하의, 상의",10,노말,베이지,재킷,['단추'],긴팔,['우븐'],['무지'],라운드넥,노멀,미디,블랙,스커트,['슬릿'],['우븐'],['무지'],스키니,,,,,,,,,,,베이지,티셔츠,긴팔,['저지'],['무지'],라운드넥,타이트,,,,,,,,
41,104065,섹시,"하의, 상의",3,,,,,,,,,,미디,블랙,스커트,"['지퍼', '슬릿']",['우븐'],['무지'],스키니,,,,,,,,,,,화이트,,7부소매,,,,,,,,,,,,
42,1042969,섹시,"하의, 상의",3,,,,,,,,,,미디,블랙,스커트,,,['호피'],노멀,,,,,,,,,,노멀,블랙,탑,긴팔,['니트'],['무지'],,타이트,,,화이트,,,,,
43,1044499,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,"['디스트로이드', '롤업']",['데님'],['무지'],스키니,,,,,,,,,,,블랙,브라탑,민소매,['저지'],['무지'],스위트하트,타이트,,,,,,,,
44,1044500,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,"['디스트로이드', '롤업']",['데님'],['무지'],스키니,,,,,,,,,,,블랙,브라탑,민소매,['저지'],['무지'],스위트하트,타이트,,,,,,,,
45,1044501,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,"['디스트로이드', '롤업']",['데님'],['무지'],스키니,,,,,,,,,,,블랙,브라탑,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,
46,1044502,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,"['디스트로이드', '롤업']",['데님'],['무지'],스키니,,,,,,,,,,,블랙,브라탑,민소매,['저지'],['무지'],스위트하트,타이트,,,,,,,,
47,1044503,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,"['디스트로이드', '롤업']",['데님'],['무지'],스키니,,,,,,,,,,,블랙,브라탑,민소매,['저지'],['무지'],스위트하트,타이트,,,,,,,,
48,1044504,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,"['디스트로이드', '롤업']",['데님'],['무지'],스키니,,,,,,,,,,,블랙,브라탑,민소매,['저지'],['무지'],스위트하트,타이트,,,,,,,,
49,1044505,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,"['디스트로이드', '롤업']",['데님'],['무지'],스키니,,,,,,,,,,,블랙,브라탑,민소매,['저지'],['무지'],스위트하트,타이트,,,,,,,,
50,1044508,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,"['디스트로이드', '롤업']",['데님'],['무지'],스키니,,,,,,,,,,,블랙,브라탑,민소매,['저지'],['무지'],스퀘어넥,타이트,,,,,,,,
51,1044512,섹시,"하의, 상의",3,,,,,,,,,,발목,블루,청바지,['디스트로이드'],['데님'],['무지'],스키니,,,,,,,,,,노멀,화이트,브라탑,민소매,['저지'],['무지'],스퀘어넥,타이트,,['플레어'],,,,,,
52,1044513,섹시,"하의, 상의",3,,,,,,,,,,발목,블루,청바지,['디스트로이드'],['데님'],['무지'],스키니,,,,,,,,,,노멀,화이트,브라탑,민소매,['저지'],['무지'],스위트하트,타이트,,['셔링'],,,,,,
53,1044518,섹시,"하의, 상의",3,,,,,,,,,,발목,블루,청바지,['디스트로이드'],['데님'],['무지'],스키니,,,,,,,,,,노멀,화이트,브라탑,민소매,['저지'],['무지'],,타이트,,['플레어'],,,,,,
54,1044519,섹시,"하의, 상의",3,,,,,,,,,,발목,블루,청바지,['디스트로이드'],['데님'],['무지'],스키니,,,,,,,,,,노멀,화이트,브라탑,민소매,['저지'],['무지'],스위트하트,타이트,,['셔링'],,,,,,
55,1047607,섹시,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,노멀,그레이,탑,긴팔,['무스탕'],['무지'],노카라,타이트,,"['컷아웃', '비즈']",,,,,,
56,1047608,섹시,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,노멀,그레이,탑,긴팔,['무스탕'],['무지'],노카라,타이트,,"['컷아웃', '비즈']",,,,,,
57,1047609,섹시,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,노멀,그레이,탑,긴팔,['무스탕'],['무지'],노카라,타이트,,"['컷아웃', '비즈']",,,,,,
58,1047610,섹시,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,노멀,그레이,탑,긴팔,['무스탕'],['무지'],노카라,타이트,,"['컷아웃', '비즈']",,,,,,
59,1047611,섹시,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,노멀,그레이,탑,긴팔,['무스탕'],['무지'],노카라,타이트,,"['컷아웃', '비즈']",,,,,,
60,1047612,섹시,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,노멀,그레이,탑,긴팔,['무스탕'],['무지'],노카라,타이트,,"['컷아웃', '비즈']",,,,,,
61,1047615,섹시,"하의, 상의",3,,,,,,,,,,발목,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,노멀,그레이,탑,긴팔,['무스탕'],['무지'],노카라,타이트,,"['컷아웃', '비즈']",,,,,,
62,1048891,섹시,"아우터, 하의, 상의",10,하프,화이트,코트,,긴팔,['우븐'],['무지'],,노멀,발목,화이트,팬츠,,['우븐'],['무지'],와이드,,,,,,,,,,노멀,핑크,탑,민소매,['니트'],['무지'],라운드넥,노멀,셔츠칼라,['프릴'],,,,,,
63,1048923,섹시,"하의, 상의",3,,,,,,,,,,미니,,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,,브라운,탑,민소매,['니트'],['무지'],스퀘어넥,타이트,,"['러플', '단추']",,,,,,
64,1048924,섹시,"하의, 상의",3,,,,,,,,,,미니,,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,,브라운,탑,민소매,['니트'],['무지'],스퀘어넥,타이트,,"['러플', '단추']",,,,,,
65,1048927,섹시,"하의, 상의",3,,,,,,,,,,미니,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,,핑크,탑,민소매,"['니트', '레이스']",['무지'],브이넥,타이트,,['레이스'],,화이트,,,,
66,1048928,섹시,"하의, 상의",3,,,,,,,,,,미니,,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,,베이지,탑,민소매,"['니트', '레이스']",['무지'],브이넥,타이트,,['레이스'],,,,,,
67,1048929,섹시,"하의, 상의",3,,,,,,,,,,미니,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,,핑크,탑,민소매,"['니트', '레이스']",['무지'],브이넥,타이트,,['레이스'],,화이트,,,,
68,1048930,섹시,"하의, 상의",3,,,,,,,,,,미니,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,,화이트,탑,민소매,"['니트', '레이스']",['무지'],브이넥,타이트,,['레이스'],,,,,,
69,1048932,섹시,"하의, 상의",3,,,,,,,,,,미니,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,,화이트,탑,민소매,"['니트', '레이스']",['무지'],브이넥,타이트,,['레이스'],,,,,,
70,1048933,섹시,"하의, 상의",3,,,,,,,,,,미니,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,,스카이블루,탑,민소매,"['니트', '레이스']",['무지'],브이넥,타이트,,['레이스'],,화이트,,,,
71,1048934,섹시,"하의, 상의",3,,,,,,,,,,미니,화이트,팬츠,,['우븐'],['무지'],스키니,,,,,,,,,,,블랙,탑,민소매,"['니트', '레이스']",['무지'],브이넥,타이트,,['레이스'],,화이트,,,,
72,1048945,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,팬츠,['디스트로이드'],['우븐'],['무지'],노멀,,,,,,,,,,크롭,화이트,탑,민소매,['니트'],['무지'],라운드넥,타이트,,['리본'],,,,,,
73,1048946,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,팬츠,['디스트로이드'],['우븐'],['무지'],노멀,,,,,,,,,,크롭,화이트,탑,민소매,['니트'],['무지'],라운드넥,타이트,,['리본'],,,,,,
74,1048949,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,팬츠,['디스트로이드'],['우븐'],['무지'],노멀,,,,,,,,,,크롭,화이트,탑,민소매,['니트'],['무지'],라운드넥,타이트,,['리본'],,,,,,
75,1048950,섹시,"하의, 상의",3,,,,,,,,,,미니,화이트,스커트,['디스트로이드'],['우븐'],['무지'],노멀,,,,,,,,,,크롭,스카이블루,탑,민소매,['니트'],['무지'],라운드넥,타이트,,['리본'],,,,,,
76,1048951,섹시,"하의, 상의",3,,,,,,,,,,미니,화이트,스커트,['디스트로이드'],['우븐'],['무지'],노멀,,,,,,,,,,크롭,스카이블루,탑,민소매,['니트'],['무지'],라운드넥,타이트,,['리본'],,,,,,
77,1053450,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,노멀,핑크,탑,민소매,['저지'],['무지'],브이넥,노멀,,['레이스'],,블랙,,,,
78,1053451,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,노멀,핑크,탑,민소매,['저지'],['무지'],브이넥,노멀,,['레이스'],,블랙,,,,
79,1053452,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,노멀,핑크,탑,민소매,['저지'],['무지'],브이넥,노멀,,['레이스'],,블랙,,,,
80,1053453,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,노멀,핑크,탑,민소매,['저지'],['무지'],,노멀,,,,블랙,,,,
81,1053454,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,노멀,핑크,탑,민소매,['저지'],['무지'],,노멀,,,,블랙,,,,
82,1053455,섹시,"하의, 상의",3,,,,,,,,,,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,노멀,핑크,탑,민소매,['저지'],['무지'],브이넥,노멀,,['레이스'],,블랙,,,,
83,1053458,섹시,"아우터, 하의, 상의",10,노말,,가디건,,,['니트'],['무지'],노카라,노멀,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,,블랙,탑,긴팔,['저지'],['무지'],브이넥,노멀,,['레이스'],,,,,,
84,1053459,섹시,"아우터, 하의, 상의",10,노말,,가디건,,,['니트'],['무지'],노카라,노멀,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,,블랙,탑,긴팔,['저지'],['무지'],브이넥,노멀,,['레이스'],,,,,,
85,1053460,섹시,"아우터, 하의, 상의",10,노말,,가디건,,,['니트'],['무지'],노카라,노멀,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,,블랙,탑,긴팔,['저지'],['무지'],브이넥,노멀,,['레이스'],,,,,,
86,1053461,섹시,"아우터, 하의, 상의",10,노말,,가디건,,,['니트'],['무지'],노카라,노멀,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,,블랙,탑,긴팔,['저지'],['무지'],브이넥,노멀,,['레이스'],,,,,,
87,1053462,섹시,"아우터, 하의, 상의",10,노말,,가디건,,,['니트'],['무지'],노카라,노멀,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,,블랙,탑,긴팔,['저지'],['무지'],브이넥,노멀,,['레이스'],,,,,,
88,1053463,섹시,"아우터, 하의, 상의",10,노말,,가디건,,,['니트'],['무지'],노카라,노멀,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,,블랙,탑,긴팔,['저지'],['무지'],유넥,노멀,,['레이스'],,,,,,
89,1053464,섹시,"아우터, 하의, 상의",10,노말,,가디건,,,['니트'],['무지'],노카라,노멀,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,,블랙,탑,긴팔,['저지'],['무지'],유넥,노멀,,['레이스'],,,,,,
90,1053465,섹시,"아우터, 하의, 상의",10,노말,,가디건,,,['니트'],['무지'],노카라,노멀,미니,블루,청바지,,['데님'],['무지'],노멀,,,,,,,,,,,블랙,탑,긴팔,['저지'],['무지'],유넥,노멀,,['레이스'],,,,,,
91,1061640,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],스키니,,,,,,,,,,,스카이블루,티셔츠,긴팔,['저지'],['무지'],라운드넥,타이트,,['셔링'],,,,,,
92,1061641,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],스키니,,,,,,,,,,,스카이블루,티셔츠,긴팔,['저지'],['무지'],라운드넥,타이트,,['셔링'],,,,,,
93,1061642,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],스키니,,,,,,,,,,,스카이블루,티셔츠,긴팔,['저지'],['무지'],라운드넥,타이트,,['셔링'],,,,,,
94,1061643,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],스키니,,,,,,,,,,,스카이블루,티셔츠,긴팔,['저지'],['무지'],,타이트,,,,,,,,
95,1061644,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],스키니,,,,,,,,,,,스카이블루,티셔츠,긴팔,['저지'],['무지'],,타이트,,,,,,,,
96,1061645,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],스키니,,,,,,,,,,,스카이블루,티셔츠,긴팔,['저지'],['무지'],,타이트,,,,,,,,
97,1062884,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,,노멀,베이지,티셔츠,긴팔,['저지'],['무지'],원숄더,타이트,,['비대칭'],,,,,,
98,1062885,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,,노멀,베이지,티셔츠,긴팔,['저지'],['무지'],원숄더,타이트,,['비대칭'],,,,,,
99,1062886,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,,노멀,베이지,티셔츠,긴팔,['저지'],['무지'],원숄더,타이트,,['비대칭'],,,,,,
100,1062887,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,,노멀,베이지,티셔츠,긴팔,['저지'],['무지'],원숄더,타이트,,['비대칭'],,,,,,
101,1062888,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,,노멀,베이지,티셔츠,긴팔,['저지'],['무지'],원숄더,타이트,,['비대칭'],,,,,,
102,1062889,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,,노멀,베이지,티셔츠,긴팔,['저지'],['무지'],원숄더,타이트,,['비대칭'],,,,,,
103,1062890,섹시,"하의, 상의",3,,,,,,,,,,미니,블랙,스커트,,['우븐'],['무지'],노멀,,,,,,,,,,노멀,베이지,티셔츠,긴팔,['저지'],['무지'],원숄더,타이트,,['비대칭'],,,,,,
104,1065249,섹시,"하의, 상의",3,,,,,,,,,,,베이지,팬츠,"['프릴', '띠']",['우븐'],['무지'],와이드,,,,,,,,,,,와인,브라탑,없음,"['니트', '울/캐시미어']",['스트라이프'],스퀘어넥,타이트,,,,화이트,,,,
105,1065250,섹시,"하의, 상의",3,,,,,,,,,,,베이지,팬츠,"['프릴', '셔링']",['우븐'],['무지'],와이드,,,,,,,,,,,와인,브라탑,없음,"['니트', '울/캐시미어']",['스트라이프'],스퀘어넥,타이트,,,,화이트,,,,
106,1065251,섹시,"하의, 상의",3,,,,,,,,,,발목,베이지,팬츠,"['셔링', '띠']",['우븐'],['무지'],와이드,,,,,,,,,,,와인,브라탑,없음,"['니트', '울/캐시미어']",['스트라이프'],스퀘어넥,타이트,,,,화이트,,,,
107,1065252,섹시,"하의, 상의",3,,,,,,,,,,,베이지,팬츠,"['셔링', '띠']",['우븐'],['무지'],와이드,,,,,,,,,,,와인,브라탑,없음,"['니트', '울/캐시미어']",['스트라이프'],스퀘어넥,타이트,,,,화이트,,,,
108,1065253,섹시,"하의, 상의",3,,,,,,,,,,,베이지,팬츠,"['프릴', '띠']",['우븐'],['무지'],와이드,,,,,,,,,,,와인,브라탑,없음,"['니트', '울/캐시미어']",['스트라이프'],스퀘어넥,타이트,,,,화이트,,,,
