,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_카테고리,상의_옷깃,상의_소매기장,상의_소재,상의_프린트,상의_핏,아우터_기장,아우터_색상,아우터_카테고리,아우터_옷깃,아우터_소매기장,아우터_소재,아우터_프린트,아우터_핏,상의_넥라인,아우터_디테일,상의_기장,상의_디테일,하의_디테일,아우터_넥라인,상의_서브색상,하의_서브색상,원피스_색상,원피스_서브색상,원피스_카테고리,원피스_소매기장,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,아우터_서브색상,원피스_기장,원피스_옷깃,원피스_디테일
84,1012206,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
85,1012209,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
86,1012210,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
87,1012211,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
88,1012212,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
89,1012213,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
90,1012214,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
91,1012215,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
92,1012216,매니시,"하의, 상의",3,미니,그레이,팬츠,['우븐'],['무지'],와이드,핑크,셔츠,셔츠칼라,반팔,['우븐'],['무지'],노멀,,,,,,,,,,,노멀,"['단추', '리본']",,,,,,,,,,,,,,,,
93,101297,매니시,"아우터, 하의",4,발목,브라운,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,브라운,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
94,101298,매니시,"아우터, 하의",4,발목,브라운,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,브라운,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
95,101299,매니시,"아우터, 하의",4,발목,브라운,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,브라운,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
96,101300,매니시,"아우터, 하의",4,발목,브라운,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,브라운,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
97,101301,매니시,"아우터, 하의",4,발목,브라운,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,브라운,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
98,101302,매니시,"아우터, 하의",4,발목,브라운,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,브라운,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
99,101306,매니시,"하의, 상의",3,발목,블랙,조거팬츠,['가죽'],['무지'],노멀,화이트,셔츠,셔츠칼라,긴팔,['우븐'],['그래픽'],루즈,,,,,,,,,,,롱,['단추'],,,,,,,,,,,,,,,,
100,101307,매니시,"아우터, 하의",4,발목,블랙,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,블랙,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
101,101308,매니시,"아우터, 하의",4,발목,블랙,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,블랙,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
102,101309,매니시,"아우터, 하의",4,발목,블랙,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,블랙,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
103,101310,매니시,"아우터, 하의",4,발목,블랙,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,블랙,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
104,101313,매니시,"아우터, 하의",4,발목,블랙,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,블랙,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,,,,,,,,,,,,,,,,,,,
105,101316,매니시,"아우터, 하의",4,발목,블랙,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,블랙,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
106,101317,매니시,"아우터, 하의",4,발목,브라운,조거팬츠,['가죽'],['무지'],노멀,,,,,,,,하프,브라운,재킷,셔츠칼라,긴팔,['가죽'],['무지'],루즈,,['단추'],,,,,,,,,,,,,,,,,,
107,1015598,매니시,"하의, 상의",3,발목,베이지,팬츠,['우븐'],['무지'],노멀,스카이블루,탑,,긴팔,['저지'],['무지'],노멀,,,,,,,,,라운드넥,,노멀,['드롭숄더'],['롤업'],,,,,,,,,,,,,,,
108,1015599,매니시,"하의, 상의",3,발목,베이지,팬츠,['우븐'],['무지'],노멀,스카이블루,탑,,긴팔,['저지'],['무지'],노멀,,,,,,,,,라운드넥,,노멀,['드롭숄더'],['롤업'],,,,,,,,,,,,,,,
109,1015600,매니시,"하의, 상의",3,발목,베이지,팬츠,['우븐'],['무지'],노멀,스카이블루,탑,,긴팔,['저지'],['무지'],노멀,,,,,,,,,라운드넥,,노멀,['드롭숄더'],['롤업'],,,,,,,,,,,,,,,
