,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_기장,상의_색상,상의_서브색상,상의_카테고리,상의_옷깃,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_핏,상의_넥라인,아우터_기장,아우터_카테고리,아우터_디테일,아우터_소재,아우터_넥라인,아우터_핏,아우터_프린트,하의_디테일,하의_서브색상,원피스_기장,원피스_색상,원피스_카테고리,원피스_디테일,원피스_소매기장,원피스_소재,원피스_프린트,원피스_핏,아우터_색상,아우터_소매기장,아우터_서브색상,원피스_넥라인,아우터_옷깃,원피스_서브색상,원피스_옷깃
18,1003207,컨트리,"하의, 상의",3,미디,베이지,스커트,['스웨이드'],['무지'],노멀,노멀,블랙,레드,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
19,1003208,컨트리,"하의, 상의",3,미디,베이지,스커트,['스웨이드'],['무지'],노멀,노멀,블랙,레드,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
20,1003209,컨트리,"하의, 상의",3,미디,베이지,스커트,['스웨이드'],['무지'],노멀,노멀,블랙,레드,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
21,1003210,컨트리,"하의, 상의",3,미디,베이지,스커트,['스웨이드'],['무지'],노멀,노멀,블랙,레드,블라우스,,['단추'],긴팔,['우븐'],['체크'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
22,1003434,컨트리,"하의, 상의",3,발목,핑크,청바지,['데님'],['무지'],노멀,노멀,네이비,베이지,블라우스,,,긴팔,['우븐'],['플로럴'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
23,1003435,컨트리,"하의, 상의",3,발목,핑크,청바지,['데님'],['무지'],노멀,노멀,네이비,베이지,블라우스,,,긴팔,['우븐'],['플로럴'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
24,1003444,컨트리,"하의, 상의",3,발목,,청바지,['데님'],['무지'],노멀,노멀,네이비,베이지,블라우스,,,긴팔,['우븐'],['플로럴'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
25,1003445,컨트리,"하의, 상의",3,발목,,청바지,['데님'],['무지'],노멀,노멀,네이비,베이지,블라우스,,,긴팔,['우븐'],['플로럴'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
26,1003446,컨트리,"하의, 상의",3,발목,베이지,청바지,['데님'],['무지'],노멀,노멀,네이비,베이지,블라우스,,,긴팔,['우븐'],['플로럴'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
27,1003448,컨트리,"하의, 상의",3,발목,베이지,청바지,['데님'],['무지'],노멀,노멀,네이비,베이지,블라우스,,,긴팔,['우븐'],['플로럴'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
28,1003449,컨트리,"하의, 상의",3,발목,베이지,청바지,['데님'],['무지'],노멀,노멀,네이비,베이지,블라우스,,,긴팔,['우븐'],['플로럴'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
29,1003450,컨트리,"하의, 상의",3,발목,베이지,청바지,['데님'],['무지'],노멀,노멀,네이비,베이지,블라우스,,,긴팔,['우븐'],['플로럴'],노멀,스퀘어넥,,,,,,,,,,,,,,,,,,,,,,,,
30,1003767,컨트리,"아우터, 하의, 상의",10,발목,핑크,팬츠,,['무지'],와이드,,베이지,,,,,긴팔,,,,,노말,가디건,"['단추', '니트꽈베기']",['니트'],브이넥,루즈,,,,,,,,,,,,,,,,,,
31,1003768,컨트리,"아우터, 하의, 상의",10,발목,핑크,팬츠,,['무지'],와이드,,베이지,,,,,긴팔,,,,,노말,가디건,"['단추', '니트꽈베기']",['니트'],브이넥,루즈,,,,,,,,,,,,,,,,,,
32,1003769,컨트리,"아우터, 하의, 상의",10,발목,핑크,팬츠,,['무지'],와이드,,베이지,,,,,긴팔,,,,,노말,가디건,"['단추', '니트꽈베기']",['니트'],브이넥,루즈,,,,,,,,,,,,,,,,,,
33,1003770,컨트리,"아우터, 하의, 상의",10,발목,핑크,팬츠,,['무지'],와이드,,베이지,,,,,긴팔,,,,,노말,가디건,"['단추', '니트꽈베기']",['니트'],브이넥,루즈,,,,,,,,,,,,,,,,,,
34,1003771,컨트리,"아우터, 하의, 상의",10,발목,핑크,팬츠,,['무지'],와이드,,베이지,,,,,긴팔,,,,,노말,가디건,"['단추', '니트꽈베기']",['니트'],브이넥,루즈,,,,,,,,,,,,,,,,,,
35,1003772,컨트리,"아우터, 하의, 상의",10,발목,,팬츠,,['무지'],와이드,,베이지,,,,,긴팔,,,,,노말,가디건,"['단추', '니트꽈베기']",['니트'],브이넥,루즈,,,,,,,,,,,,,,,,,,
36,1003773,컨트리,"아우터, 하의, 상의",10,발목,,팬츠,,['무지'],와이드,,베이지,,,,,긴팔,,,,,노말,가디건,"['단추', '니트꽈베기']",['니트'],브이넥,루즈,,,,,,,,,,,,,,,,,,
37,1003774,컨트리,"아우터, 하의, 상의",10,발목,핑크,팬츠,,['무지'],와이드,,베이지,,,,,긴팔,,,,,노말,가디건,"['단추', '니트꽈베기']",['니트'],브이넥,루즈,,,,,,,,,,,,,,,,,,
38,1003790,컨트리,"아우터, 상의",2,,,,,,,,베이지,,탑,,,긴팔,,['무지'],타이트,터틀넥,노말,가디건,"['단추', '니트꽈베기']",['니트'],노카라,루즈,['무지'],,,,,,,,,,,,,,,,,
39,1003791,컨트리,"아우터, 상의",2,,,,,,,,베이지,,탑,,,긴팔,,['무지'],타이트,터틀넥,노말,가디건,"['단추', '니트꽈베기']",['니트'],노카라,루즈,['무지'],,,,,,,,,,,,,,,,,
40,1003792,컨트리,"아우터, 상의",2,,,,,,,,베이지,,탑,,,긴팔,,['무지'],타이트,터틀넥,노말,가디건,"['단추', '니트꽈베기']",['니트'],노카라,루즈,['무지'],,,,,,,,,,,,,,,,,
41,1003793,컨트리,"아우터, 상의",2,,,,,,,,베이지,,탑,,,긴팔,,['무지'],타이트,터틀넥,노말,가디건,"['단추', '니트꽈베기']",['니트'],노카라,루즈,['무지'],,,,,,,,,,,,,,,,,
42,1003794,컨트리,"아우터, 상의",2,,,,,,,,베이지,,탑,,,긴팔,,['무지'],타이트,터틀넥,노말,가디건,"['단추', '니트꽈베기']",['니트'],노카라,루즈,['무지'],,,,,,,,,,,,,,,,,
43,1004042,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
44,1004043,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
45,1004044,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
46,1004045,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
47,1004046,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
48,1004047,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
49,1004048,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
50,1004049,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
51,1004052,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
52,1004053,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
53,1004054,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
54,1004055,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
55,1004056,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
56,1004057,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
57,1004058,컨트리,"하의, 상의",3,,블랙,,,,,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
58,1004059,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
59,1004069,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
60,1004072,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
61,1004073,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
62,1004074,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
63,1004075,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
64,1004076,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
65,1004077,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
66,1004078,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
67,1004079,컨트리,"하의, 상의",3,미니,블랙,스커트,['가죽'],['무지'],노멀,,네이비,,니트웨어,,,긴팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
68,1004142,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
69,1004143,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
70,1004144,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
71,1004145,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
72,1004146,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
73,1004147,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
74,1004148,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
75,1004149,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
76,1004152,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
77,1004153,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
78,1004154,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
79,1004155,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
80,1004156,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
81,1004158,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,,,니트웨어,,,,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
82,1004163,컨트리,"하의, 상의",3,발목,,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
83,1004164,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
84,1004165,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
85,1004166,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
86,1004167,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
87,1004168,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
88,1004169,컨트리,"하의, 상의",3,발목,,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
89,1004176,컨트리,"하의, 상의",3,발목,,스커트,,['무지'],노멀,,베이지,,,,,반팔,,,,,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
90,1004177,컨트리,"하의, 상의",3,발목,,스커트,,['무지'],노멀,,베이지,,,,,반팔,,,,,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
91,1004178,컨트리,"하의, 상의",3,발목,,스커트,,['무지'],노멀,,베이지,,,,,반팔,,,,,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
92,1004182,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
93,1004183,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
94,1004184,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
95,1004185,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,,,,반팔,,,,,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
96,1004186,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,,,,반팔,,,,,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
97,1004189,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,,,니트웨어,,,,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
98,1004192,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
99,1004193,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
100,1004194,컨트리,"하의, 상의",3,,브라운,,,,,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,,,,,,,,,,,,,,,,,
101,1004195,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,,,,반팔,,,,,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
102,1004196,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
103,1004197,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
104,1004198,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,니트웨어,,,반팔,['니트'],['무지'],노멀,라운드넥,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
105,1004199,컨트리,"하의, 상의",3,발목,브라운,스커트,,['무지'],노멀,,베이지,,,,,반팔,,,,,,,,,,,,['플리츠'],,,,,,,,,,,,,,,,
106,1005515,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
107,1005516,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
108,1005517,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
109,1005518,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
110,1005519,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
111,1005520,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
112,1005521,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
113,1005524,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
114,1005526,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
115,1005527,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
116,1005528,컨트리,"하의, 상의",3,발목,핑크,팬츠,['저지'],['무지'],와이드,노멀,화이트,,니트웨어,,['니트꽈베기'],긴팔,['니트'],,루즈,브이넥,,,,,,,,['셔링'],,,,,,,,,,,,,,,,
