,ID,style,clothing_categories,mix_clothing_categories,하의_기장,하의_색상,하의_서브색상,하의_카테고리,하의_소재,하의_프린트,하의_핏,상의_색상,상의_서브색상,상의_카테고리,상의_디테일,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,하의_디테일,원피스_색상,원피스_서브색상,원피스_소매기장,상의_기장,아우터_기장,아우터_색상,아우터_서브색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_프린트,아우터_넥라인,아우터_핏,아우터_옷깃,상의_옷깃,원피스_기장,원피스_카테고리,원피스_디테일,원피스_소재,원피스_프린트,원피스_넥라인,원피스_핏,원피스_옷깃
38,1044664,키치,"하의, 상의",3,발목,스카이블루,,청바지,['데님'],['무지'],스키니,핑크,,티셔츠,['드롭숄더'],긴팔,"['저지', '우븐']",['무지'],라운드넥,루즈,['디스트로이드'],,,,노멀,,,,,,,,,,,,,,,,,,,,
39,1044665,키치,"하의, 상의",3,발목,스카이블루,,청바지,['데님'],['무지'],스키니,핑크,,티셔츠,['드롭숄더'],긴팔,"['저지', '우븐']",['무지'],라운드넥,루즈,['디스트로이드'],,,,노멀,,,,,,,,,,,,,,,,,,,,
40,1047956,키치,"하의, 상의",3,미니,레드,,팬츠,['우븐'],['무지'],노멀,블랙,골드,니트웨어,"['드롭숄더', '자수']",긴팔,['니트'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,
41,1047957,키치,"하의, 상의",3,미니,레드,,팬츠,['우븐'],['무지'],노멀,블랙,골드,니트웨어,"['드롭숄더', '자수']",긴팔,['니트'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,
42,1047958,키치,"하의, 상의",3,미니,레드,,팬츠,['우븐'],['무지'],노멀,블랙,골드,니트웨어,"['드롭숄더', '자수']",긴팔,['니트'],['무지'],라운드넥,루즈,,,,,,,,,,,,,,,,,,,,,,,,,
43,1048032,키치,"하의, 상의",3,미니,블랙,,스커트,['우븐'],['무지'],노멀,화이트,레드,니트웨어,"['퍼프', '드롭숄더']",긴팔,['니트'],['그래픽'],라운드넥,오버사이즈,"['드롭웨이스트', '플리츠']",,,,,,,,,,,,,,,,,,,,,,,,
44,1048033,키치,"하의, 상의",3,미니,블랙,,스커트,['우븐'],['무지'],노멀,화이트,레드,니트웨어,"['퍼프', '드롭숄더']",긴팔,['니트'],['그래픽'],라운드넥,오버사이즈,"['드롭웨이스트', '플리츠']",,,,,,,,,,,,,,,,,,,,,,,,
45,1049574,키치,"하의, 상의",3,발목,블루,,청바지,['데님'],['무지'],스키니,레드,네이비,니트웨어,,긴팔,['니트'],['그래픽'],라운드넥,루즈,['롤업'],,,,노멀,,,,,,,,,,,,,,,,,,,,
46,1049579,키치,"하의, 상의",3,발목,블루,,청바지,['데님'],['무지'],스키니,레드,네이비,니트웨어,,긴팔,['니트'],['그래픽'],라운드넥,루즈,['롤업'],,,,노멀,,,,,,,,,,,,,,,,,,,,
47,1049580,키치,"하의, 상의",3,발목,블루,,청바지,['데님'],['무지'],스키니,레드,네이비,니트웨어,,긴팔,['니트'],['그래픽'],라운드넥,루즈,['롤업'],,,,노멀,,,,,,,,,,,,,,,,,,,,
48,1049770,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],벨보텀,레드,화이트,니트웨어,"['슬릿', '드롭숄더']",긴팔,['니트'],['하트'],라운드넥,오버사이즈,,,,,노멀,,,,,,,,,,,,,,,,,,,,
49,1049772,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],벨보텀,레드,화이트,니트웨어,"['슬릿', '드롭숄더']",긴팔,['니트'],['하트'],라운드넥,오버사이즈,,,,,노멀,,,,,,,,,,,,,,,,,,,,
50,1049773,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],벨보텀,레드,화이트,니트웨어,"['슬릿', '드롭숄더']",긴팔,['니트'],['하트'],라운드넥,오버사이즈,,,,,노멀,,,,,,,,,,,,,,,,,,,,
51,1049775,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],벨보텀,레드,화이트,니트웨어,"['슬릿', '드롭숄더']",긴팔,['니트'],['하트'],라운드넥,오버사이즈,,,,,노멀,,,,,,,,,,,,,,,,,,,,
52,1049780,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],벨보텀,레드,화이트,니트웨어,"['슬릿', '드롭숄더']",긴팔,['니트'],['하트'],라운드넥,오버사이즈,,,,,노멀,,,,,,,,,,,,,,,,,,,,
53,1049781,키치,"하의, 상의",3,발목,네이비,,청바지,['데님'],['무지'],벨보텀,레드,화이트,니트웨어,"['슬릿', '드롭숄더']",긴팔,['니트'],['하트'],라운드넥,오버사이즈,,,,,노멀,,,,,,,,,,,,,,,,,,,,
54,1049869,키치,"하의, 상의",3,미디,화이트,,스커트,['우븐'],['무지'],루즈,화이트,핑크,니트웨어,['드롭숄더'],긴팔,['니트'],['무지'],라운드넥,오버사이즈,['러플'],,,,롱,,,,,,,,,,,,,,,,,,,,
55,1049874,키치,"하의, 상의",3,발목,블랙,,팬츠,['우븐'],['무지'],벨보텀,레드,옐로우,니트웨어,['드롭숄더'],긴팔,['니트'],['무지'],라운드넥,오버사이즈,,,,,롱,,,,,,,,,,,,,,,,,,,,
56,1049875,키치,"하의, 상의",3,발목,블랙,,팬츠,['우븐'],['무지'],벨보텀,레드,옐로우,니트웨어,['드롭숄더'],긴팔,['니트'],['무지'],라운드넥,오버사이즈,,,,,롱,,,,,,,,,,,,,,,,,,,,
57,1054038,키치,"하의, 상의",3,미니,스카이블루,화이트,청바지,['데님'],['무지'],노멀,라벤더,화이트,티셔츠,"['레이스', '드롭숄더', '프릴']",반팔,['저지'],['그래픽'],라운드넥,노멀,['롤업'],,,,,,,,,,,,,,,,,,,,,,,,
58,1054041,키치,"하의, 상의",3,미니,스카이블루,화이트,청바지,['데님'],['무지'],노멀,라벤더,화이트,티셔츠,"['레이스', '드롭숄더', '프릴']",반팔,['저지'],['그래픽'],라운드넥,노멀,['롤업'],,,,,,,,,,,,,,,,,,,,,,,,
59,1054042,키치,"하의, 상의",3,미니,스카이블루,화이트,청바지,['데님'],['무지'],노멀,라벤더,화이트,티셔츠,"['레이스', '드롭숄더', '프릴']",반팔,['저지'],['그래픽'],라운드넥,노멀,['롤업'],,,,,,,,,,,,,,,,,,,,,,,,
60,1054043,키치,"하의, 상의",3,미니,스카이블루,화이트,청바지,['데님'],['무지'],노멀,라벤더,화이트,티셔츠,"['레이스', '드롭숄더', '프릴']",반팔,['저지'],['그래픽'],라운드넥,노멀,['롤업'],,,,,,,,,,,,,,,,,,,,,,,,
61,1054044,키치,"하의, 상의",3,미니,스카이블루,화이트,청바지,['데님'],['무지'],노멀,라벤더,화이트,티셔츠,"['레이스', '드롭숄더', '프릴']",반팔,['저지'],['그래픽'],라운드넥,노멀,['롤업'],,,,,,,,,,,,,,,,,,,,,,,,
62,1054045,키치,"하의, 상의",3,미니,스카이블루,화이트,청바지,['데님'],['무지'],노멀,라벤더,화이트,티셔츠,"['레이스', '드롭숄더', '프릴']",반팔,['저지'],['그래픽'],라운드넥,노멀,['롤업'],,,,,,,,,,,,,,,,,,,,,,,,
63,1054046,키치,"하의, 상의",3,미니,스카이블루,화이트,청바지,['데님'],['무지'],노멀,라벤더,화이트,티셔츠,"['레이스', '드롭숄더', '프릴']",반팔,['저지'],['그래픽'],라운드넥,노멀,['롤업'],,,,,,,,,,,,,,,,,,,,,,,,
64,1054047,키치,"하의, 상의",3,미니,,,청바지,['데님'],['무지'],노멀,라벤더,화이트,티셔츠,"['레이스', '드롭숄더', '프릴']",반팔,['저지'],['그래픽'],라운드넥,노멀,['롤업'],,,,,,,,,,,,,,,,,,,,,,,,
65,1065035,키치,"하의, 상의",3,미니,카키,,스커트,['우븐'],['무지'],루즈,레드,화이트,탑,,반팔,"['저지', '우븐']",['그래픽'],,루즈,['플리츠'],,,,노멀,,,,,,,,,,,,폴로칼라,,,,,,,,
66,1065036,키치,"하의, 상의",3,미니,블랙,,스커트,['우븐'],['무지'],루즈,레드,화이트,탑,,반팔,"['저지', '우븐']",['그래픽'],,루즈,['플리츠'],,,,노멀,,,,,,,,,,,,폴로칼라,,,,,,,,
67,1065037,키치,"하의, 상의",3,,블랙,,,,,,레드,화이트,탑,,반팔,"['저지', '우븐']",['그래픽'],,루즈,,,,,노멀,,,,,,,,,,,,폴로칼라,,,,,,,,
68,1065038,키치,"하의, 상의",3,미니,,,스커트,['우븐'],['무지'],루즈,스카이블루,화이트,탑,,반팔,"['저지', '우븐']",['그래픽'],,루즈,['플리츠'],,,,노멀,,,,,,,,,,,,폴로칼라,,,,,,,,
69,1065039,키치,"하의, 상의",3,미니,,,스커트,['우븐'],['무지'],루즈,스카이블루,화이트,탑,,반팔,"['저지', '우븐']",['그래픽'],,루즈,['플리츠'],,,,노멀,,,,,,,,,,,,,,,,,,,,
70,1065040,키치,"하의, 상의",3,미니,,,스커트,['우븐'],['무지'],루즈,스카이블루,화이트,탑,,반팔,"['저지', '우븐']",['그래픽'],,루즈,['플리츠'],,,,노멀,,,,,,,,,,,,폴로칼라,,,,,,,,
71,1065043,키치,"하의, 상의",3,미니,화이트,,스커트,['우븐'],['무지'],루즈,스카이블루,화이트,탑,,반팔,"['저지', '우븐']",['그래픽'],,루즈,['플리츠'],,,,노멀,,,,,,,,,,,,,,,,,,,,
72,1065159,키치,"하의, 상의",3,미디,베이지,핑크,스커트,['우븐'],['그래픽'],루즈,핑크,화이트,블라우스,['띠'],긴팔,"['저지', '우븐']",['무지'],브이넥,노멀,['플리츠'],,,,노멀,,,,,,,,,,,,보우칼라,,,,,,,,
73,1065161,키치,"하의, 상의",3,미디,베이지,핑크,스커트,['우븐'],['그래픽'],루즈,핑크,화이트,블라우스,['띠'],긴팔,"['저지', '우븐']",['무지'],브이넥,노멀,['플리츠'],,,,노멀,,,,,,,,,,,,보우칼라,,,,,,,,
74,1065163,키치,"하의, 상의",3,미디,베이지,핑크,스커트,['우븐'],['그래픽'],루즈,핑크,화이트,블라우스,['띠'],긴팔,"['저지', '우븐']",['무지'],브이넥,노멀,['플리츠'],,,,노멀,,,,,,,,,,,,보우칼라,,,,,,,,
75,1066987,키치,"하의, 상의",3,미디,,,팬츠,['우븐'],,와이드,오렌지,블랙,니트웨어,,긴팔,['니트'],['그래픽'],라운드넥,루즈,['롤업'],,,,롱,,,,,,,,,,,,,,,,,,,,
76,1067238,키치,"하의, 상의",3,발목,카키,,팬츠,['우븐'],,와이드,블랙,카키,니트웨어,,긴팔,['니트'],['그래픽'],라운드넥,노멀,,,,,노멀,,,,,,,,,,,,,,,,,,,,
77,1067240,키치,"하의, 상의",3,발목,와인,,스커트,['우븐'],,와이드,화이트,카키,니트웨어,,긴팔,['니트'],['그래픽'],라운드넥,노멀,,,,,노멀,,,,,,,,,,,,,,,,,,,,
78,1067243,키치,"하의, 상의",3,발목,카키,,팬츠,['우븐'],,와이드,블랙,카키,니트웨어,,긴팔,['니트'],['그래픽'],라운드넥,노멀,,,,,노멀,,,,,,,,,,,,,,,,,,,,
79,1085023,키치,"하의, 상의",3,발목,네온,,팬츠,,['무지'],노멀,화이트,블루,티셔츠,,반팔,,['레터링'],라운드넥,루즈,['단추'],,,,노멀,,,,,,,,,,,,,,,,,,,,
80,1085025,키치,"하의, 상의",3,발목,네온,,팬츠,,['무지'],노멀,화이트,,티셔츠,,반팔,,,,루즈,['단추'],,,,노멀,,,,,,,,,,,,,,,,,,,,
81,1085027,키치,"하의, 상의",3,발목,네온,,팬츠,,['무지'],노멀,화이트,블루,티셔츠,,반팔,,['레터링'],라운드넥,루즈,['단추'],,,,노멀,,,,,,,,,,,,,,,,,,,,
82,1085028,키치,"하의, 상의",3,발목,네온,,팬츠,,['무지'],노멀,화이트,블루,티셔츠,,반팔,,['레터링'],라운드넥,루즈,['단추'],,,,노멀,,,,,,,,,,,,,,,,,,,,
83,1085030,키치,"하의, 상의",3,발목,네온,,팬츠,,['무지'],노멀,화이트,블루,티셔츠,,반팔,,['레터링'],라운드넥,루즈,['단추'],,,,노멀,,,,,,,,,,,,,,,,,,,,
84,1085034,키치,"하의, 상의",3,발목,네온,,팬츠,,['무지'],노멀,,,티셔츠,,,,['레터링'],라운드넥,루즈,['단추'],,,,노멀,,,,,,,,,,,,,,,,,,,,
85,1085037,키치,"하의, 상의",3,발목,네온,,팬츠,,['무지'],노멀,,,티셔츠,,,,['레터링'],라운드넥,루즈,['단추'],,,,노멀,,,,,,,,,,,,,,,,,,,,
86,1085676,키치,"하의, 상의",3,발목,블랙,,팬츠,['저지'],['무지'],와이드,화이트,레드,티셔츠,,반팔,['저지'],['그래픽'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
87,1085677,키치,"하의, 상의",3,발목,블랙,,팬츠,['저지'],['무지'],와이드,화이트,레드,티셔츠,,반팔,['저지'],['그래픽'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
88,1085678,키치,"하의, 상의",3,발목,블랙,,팬츠,['저지'],['무지'],와이드,화이트,레드,티셔츠,,반팔,['저지'],['그래픽'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
89,1085682,키치,"하의, 상의",3,발목,블랙,,팬츠,['저지'],['무지'],와이드,화이트,레드,티셔츠,,반팔,['저지'],['그래픽'],라운드넥,노멀,,,,,,,,,,,,,,,,,,,,,,,,,
90,1091599,키치,"하의, 상의",3,,스카이블루,,,,,,와인,화이트,티셔츠,['자수'],반팔,['니트'],['스트라이프'],라운드넥,타이트,,,,,크롭,,,,,,,,,,,,,,,,,,,,
91,1091600,키치,"하의, 상의",3,발목,스카이블루,,청바지,['데님'],['무지'],노멀,와인,화이트,티셔츠,['자수'],반팔,['니트'],['스트라이프'],라운드넥,타이트,"['디스트로이드', '컷아웃']",,,,크롭,,,,,,,,,,,,,,,,,,,,
92,1091601,키치,"하의, 상의",3,,스카이블루,,,,,,와인,화이트,티셔츠,['자수'],반팔,['니트'],['스트라이프'],라운드넥,타이트,,,,,크롭,,,,,,,,,,,,,,,,,,,,
93,1091602,키치,"하의, 상의",3,,스카이블루,,,,,,와인,화이트,티셔츠,['자수'],반팔,['니트'],['스트라이프'],라운드넥,타이트,,,,,크롭,,,,,,,,,,,,,,,,,,,,
94,1091603,키치,"하의, 상의",3,발목,스카이블루,,청바지,['데님'],['무지'],노멀,와인,화이트,티셔츠,,반팔,['니트'],['스트라이프'],,타이트,['디스트로이드'],,,,크롭,,,,,,,,,,,,,,,,,,,,
95,1091604,키치,"하의, 상의",3,,스카이블루,,,,,,와인,화이트,티셔츠,,반팔,['니트'],['스트라이프'],,타이트,,,,,크롭,,,,,,,,,,,,,,,,,,,,
96,1091607,키치,"하의, 상의",3,,스카이블루,,,,,,와인,화이트,티셔츠,['자수'],반팔,['니트'],['스트라이프'],라운드넥,타이트,,,,,크롭,,,,,,,,,,,,,,,,,,,,
97,1091608,키치,"하의, 상의",3,발목,스카이블루,,청바지,['데님'],['무지'],노멀,와인,화이트,티셔츠,['자수'],반팔,['니트'],['스트라이프'],라운드넥,타이트,"['디스트로이드', '컷아웃']",,,,크롭,,,,,,,,,,,,,,,,,,,,
98,1091609,키치,"하의, 상의",3,,스카이블루,,,,,,와인,화이트,티셔츠,['자수'],반팔,['니트'],['스트라이프'],라운드넥,타이트,,,,,크롭,,,,,,,,,,,,,,,,,,,,
99,1091610,키치,"하의, 상의",3,발목,스카이블루,,청바지,['데님'],['무지'],노멀,와인,화이트,티셔츠,['자수'],반팔,['니트'],['스트라이프'],라운드넥,타이트,"['디스트로이드', '컷아웃']",,,,크롭,,,,,,,,,,,,,,,,,,,,
100,1091678,키치,"하의, 상의",3,미디,네온,,스커트,['저지'],['무지'],노멀,네온,블랙,탑,,민소매,['저지'],['레터링'],라운드넥,루즈,,,,,노멀,,,,,,,,,,,,,,,,,,,,
101,1091680,키치,"하의, 상의",3,미디,네온,,스커트,['저지'],['무지'],노멀,네온,블랙,탑,,민소매,['저지'],['무지'],,루즈,['슬릿'],,,,롱,,,,,,,,,,,,,,,,,,,,
102,1091683,키치,"하의, 상의",3,미디,네온,,스커트,['저지'],['무지'],노멀,네온,블랙,탑,,민소매,['저지'],['레터링'],라운드넥,루즈,,,,,노멀,,,,,,,,,,,,,,,,,,,,
103,1091967,키치,"하의, 상의",3,발목,블루,,청바지,['데님'],['무지'],노멀,네온,화이트,티셔츠,['퍼프'],반팔,['우븐'],['그래픽'],라운드넥,루즈,,,,,롱,,,,,,,,,,,,,,,,,,,,
104,1091968,키치,"하의, 상의",3,발목,블루,,청바지,['데님'],['무지'],노멀,네온,화이트,티셔츠,['퍼프'],반팔,['우븐'],['그래픽'],라운드넥,루즈,,,,,롱,,,,,,,,,,,,,,,,,,,,
105,1091972,키치,"하의, 상의",3,발목,블루,,청바지,['데님'],['무지'],노멀,네온,화이트,티셔츠,"['퍼프', '슬릿']",반팔,['우븐'],['무지'],,루즈,,,,,롱,,,,,,,,,,,,,,,,,,,,
106,1091973,키치,"하의, 상의",3,,,,청바지,['데님'],['무지'],노멀,네온,화이트,티셔츠,['퍼프'],반팔,['우븐'],['무지'],,루즈,,,,,롱,,,,,,,,,,,,,,,,,,,,
107,1091974,키치,"하의, 상의",3,발목,블루,,청바지,['데님'],['무지'],노멀,네온,화이트,티셔츠,['퍼프'],반팔,['우븐'],['그래픽'],라운드넥,루즈,,,,,롱,,,,,,,,,,,,,,,,,,,,
108,1098686,키치,"하의, 상의",3,,블루,,,,,,블랙,베이지,블라우스,,긴팔,"['저지', '우븐']",['무지'],브이넥,노멀,,,,,,,,,,,,,,,,,셔츠칼라,,,,,,,,
