,ID,style,clothing_categories,mix_clothing_categories,아우터_기장,아우터_색상,아우터_카테고리,아우터_디테일,아우터_소매기장,아우터_소재,아우터_넥라인,아우터_핏,하의_기장,하의_색상,하의_카테고리,하의_디테일,하의_핏,아우터_프린트,원피스_기장,원피스_카테고리,원피스_디테일,원피스_프린트,원피스_넥라인,원피스_핏,아우터_서브색상,아우터_옷깃,원피스_색상,원피스_소매기장,원피스_소재,원피스_서브색상,하의_서브색상,하의_소재,하의_프린트,상의_색상,상의_서브색상,상의_카테고리,상의_소매기장,상의_소재,상의_프린트,상의_넥라인,상의_핏,상의_기장,상의_디테일,상의_옷깃,원피스_옷깃
46,1034513,프레피,"아우터, 하의, 상의",10,노말,브라운,재킷,,7부소매,['우븐'],,노멀,미니,베이지,스커트,,노멀,['체크'],,,,,,,그레이,테일러드칼라,,,,,,['우븐'],['무지'],화이트,,티셔츠,민소매,['우븐'],['무지'],라운드넥,노멀,,,,
47,1034514,프레피,"아우터, 하의",4,노말,브라운,재킷,,7부소매,['우븐'],,노멀,미니,베이지,스커트,,노멀,['체크'],,,,,,,그레이,,,,,,,['우븐'],['무지'],,,,,,,,,,,,
48,1034515,프레피,"아우터, 하의",4,노말,브라운,재킷,,7부소매,['우븐'],,노멀,미니,베이지,스커트,,노멀,['체크'],,,,,,,그레이,테일러드칼라,,,,,,['우븐'],['무지'],,,,,,,,,,,,
49,1034516,프레피,"아우터, 상의",2,노말,브라운,재킷,,7부소매,['우븐'],,노멀,,,,,,['체크'],,,,,,,그레이,테일러드칼라,,,,,,,,화이트,,티셔츠,민소매,['우븐'],['무지'],라운드넥,노멀,,,,
50,1034517,프레피,"아우터, 하의",4,노말,브라운,재킷,,7부소매,['우븐'],,노멀,미니,베이지,스커트,,노멀,['체크'],,,,,,,그레이,,,,,,,['우븐'],['무지'],,,,,,,,,,,,
51,1046185,프레피,"하의, 상의",3,,,,,,,,,니렝스,화이트,스커트,,와이드,,,,,,,,,,,,,,,['우븐'],,와인,,니트웨어,긴팔,['니트'],['스트라이프'],라운드넥,루즈,롱,['드롭숄더'],,
52,1046186,프레피,"하의, 상의",3,,,,,,,,,니렝스,화이트,스커트,,와이드,,,,,,,,,,,,,,,['우븐'],,와인,,니트웨어,긴팔,['니트'],['스트라이프'],라운드넥,루즈,롱,['드롭숄더'],,
53,1046188,프레피,"하의, 상의",3,,,,,,,,,니렝스,화이트,스커트,,와이드,,,,,,,,,,,,,,,['우븐'],,와인,,니트웨어,긴팔,['니트'],['스트라이프'],라운드넥,루즈,롱,['드롭숄더'],,
54,1048722,프레피,"하의, 상의",3,,,,,,,,,미니,블랙,스커트,['플리츠'],와이드,,,,,,,,,,,,,,실버,['우븐'],['체크'],화이트,블랙,니트웨어,반팔,['니트'],['무지'],라운드넥,노멀,,['단추'],피터팬칼라,
55,1048723,프레피,"하의, 상의",3,,,,,,,,,미니,블랙,스커트,['플리츠'],와이드,,,,,,,,,,,,,,실버,['우븐'],['체크'],화이트,블랙,니트웨어,반팔,['니트'],['무지'],라운드넥,노멀,,['단추'],피터팬칼라,
56,1048724,프레피,"하의, 상의",3,,,,,,,,,미니,블랙,스커트,['플리츠'],와이드,,,,,,,,,,,,,,실버,['우븐'],['체크'],화이트,블랙,니트웨어,반팔,['니트'],['무지'],라운드넥,노멀,,['단추'],피터팬칼라,
57,1049196,프레피,"하의, 상의",3,,,,,,,,,미니,브라운,스커트,"['단추', '비대칭']",노멀,,,,,,,,,,,,,,,['스웨이드'],['무지'],화이트,블랙,티셔츠,긴팔,['니트'],['스트라이프'],보트넥,노멀,,,,
58,1049197,프레피,"하의, 상의",3,,,,,,,,,미니,브라운,스커트,['스트링'],노멀,,,,,,,,,,,,,,,['스웨이드'],['무지'],화이트,블랙,티셔츠,긴팔,['니트'],['스트라이프'],보트넥,노멀,,,,
59,1049199,프레피,"하의, 상의",3,,,,,,,,,미니,브라운,스커트,"['단추', '비대칭']",노멀,,,,,,,,,,,,,,,['스웨이드'],['무지'],화이트,블랙,티셔츠,긴팔,['니트'],['스트라이프'],보트넥,노멀,,,,
60,1049200,프레피,"하의, 상의",3,,,,,,,,,미니,브라운,스커트,"['단추', '비대칭']",노멀,,,,,,,,,,,,,,,['스웨이드'],['무지'],화이트,블랙,티셔츠,긴팔,['니트'],['스트라이프'],보트넥,노멀,,,,
61,1049285,프레피,"하의, 상의",3,,,,,,,,,미니,카키,스커트,['플리츠'],노멀,,,,,,,,,,,,,,브라운,['우븐'],['체크'],화이트,,니트웨어,긴팔,['니트'],['무지'],터틀넥,노멀,,['프릴'],,
62,1049459,프레피,"원피스, 상의",5,,,,,,,,,,,,,,,미니,드레스,['플레어'],['스트라이프'],라운드넥,노멀,,,와인,민소매,['스웨이드'],베이지,,,,베이지,,,긴팔,,,,,,,,
63,1049460,프레피,"원피스, 상의",5,,,,,,,,,,,,,,,미니,드레스,['플레어'],['스트라이프'],라운드넥,노멀,,,와인,민소매,['스웨이드'],베이지,,,,베이지,,,긴팔,,,,,,,,
64,1049461,프레피,"원피스, 상의",5,,,,,,,,,,,,,,,미니,드레스,['플레어'],['스트라이프'],라운드넥,노멀,,,와인,민소매,['스웨이드'],베이지,,,,베이지,,,긴팔,,,,,,,,
65,1049462,프레피,"원피스, 상의",5,,,,,,,,,,,,,,,미니,드레스,['플레어'],['스트라이프'],라운드넥,노멀,,,와인,민소매,['스웨이드'],베이지,,,,베이지,,,긴팔,,,,,,,,
66,1049463,프레피,"원피스, 상의",5,,,,,,,,,,,,,,,미니,드레스,['플레어'],['스트라이프'],라운드넥,노멀,,,와인,민소매,['스웨이드'],베이지,,,,베이지,,,긴팔,,,,,,,,
67,1049464,프레피,"원피스, 상의",5,,,,,,,,,,,,,,,미니,드레스,['플레어'],['스트라이프'],라운드넥,노멀,,,와인,민소매,['스웨이드'],베이지,,,,베이지,,,긴팔,,,,,,,,
68,1049465,프레피,"원피스, 상의",5,,,,,,,,,,,,,,,미니,드레스,['플레어'],['스트라이프'],라운드넥,노멀,,,와인,민소매,['스웨이드'],베이지,,,,베이지,,,긴팔,,,,,,,,
69,1050570,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,['플리츠'],노멀,,,,,,,,,,,,,,네이비,['울/캐시미어'],['체크'],베이지,,티셔츠,긴팔,['니트'],['무지'],,루즈,롱,['단추'],셔츠칼라,
70,1050571,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,['플리츠'],노멀,,,,,,,,,,,,,,네이비,['울/캐시미어'],['체크'],베이지,,티셔츠,긴팔,['니트'],['무지'],,루즈,롱,['단추'],셔츠칼라,
71,1050572,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,['플리츠'],노멀,,,,,,,,,,,,,,네이비,['울/캐시미어'],['체크'],베이지,,티셔츠,긴팔,['니트'],['무지'],,루즈,롱,['단추'],셔츠칼라,
72,1050573,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,['플리츠'],노멀,,,,,,,,,,,,,,네이비,['울/캐시미어'],['체크'],베이지,,티셔츠,긴팔,['니트'],['무지'],,루즈,롱,['단추'],셔츠칼라,
73,1050576,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,['플리츠'],노멀,,,,,,,,,,,,,,네이비,['울/캐시미어'],['체크'],베이지,,티셔츠,긴팔,['니트'],['무지'],,루즈,롱,['단추'],셔츠칼라,
74,1050577,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,['플리츠'],노멀,,,,,,,,,,,,,,네이비,['울/캐시미어'],['체크'],베이지,,티셔츠,긴팔,['니트'],['무지'],,루즈,롱,['단추'],셔츠칼라,
75,1050578,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,['플리츠'],노멀,,,,,,,,,,,,,,네이비,['울/캐시미어'],['체크'],베이지,,티셔츠,긴팔,['니트'],['무지'],,루즈,롱,['단추'],셔츠칼라,
76,1050579,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,['플리츠'],노멀,,,,,,,,,,,,,,네이비,['울/캐시미어'],['체크'],베이지,,티셔츠,긴팔,['니트'],['무지'],,루즈,롱,['단추'],셔츠칼라,
77,1050580,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,['플리츠'],노멀,,,,,,,,,,,,,,네이비,['울/캐시미어'],['체크'],베이지,,티셔츠,긴팔,['니트'],['무지'],,루즈,롱,['단추'],셔츠칼라,
78,1050581,프레피,"하의, 상의",3,,,,,,,,,미니,베이지,스커트,['플리츠'],노멀,,,,,,,,,,,,,,네이비,['울/캐시미어'],['체크'],베이지,,티셔츠,긴팔,['니트'],['무지'],,루즈,롱,['단추'],셔츠칼라,
79,1061728,프레피,"아우터, 하의",4,노말,오렌지,베스트,"['니트꽈베기', '슬릿']",민소매,['니트'],브이넥,루즈,발목,,청바지,,노멀,['무지'],,,,,,,화이트,,,,,,,['데님'],['무지'],,,,,,,,,,,,
80,1061743,프레피,"아우터, 하의",4,노말,오렌지,베스트,"['니트꽈베기', '슬릿']",민소매,['니트'],브이넥,루즈,발목,스카이블루,청바지,,노멀,['무지'],,,,,,,화이트,,,,,,,['데님'],['무지'],,,,,,,,,,,,
81,1061744,프레피,"아우터, 하의",4,노말,오렌지,베스트,"['니트꽈베기', '슬릿']",민소매,['니트'],브이넥,루즈,발목,스카이블루,청바지,,노멀,['무지'],,,,,,,화이트,,,,,,,['데님'],['무지'],,,,,,,,,,,,
82,1061745,프레피,"아우터, 하의",4,노말,오렌지,베스트,"['니트꽈베기', '슬릿']",민소매,['니트'],브이넥,루즈,발목,스카이블루,청바지,,노멀,['무지'],,,,,,,화이트,,,,,,,['데님'],['무지'],,,,,,,,,,,,
83,1061748,프레피,"아우터, 하의",4,노말,오렌지,베스트,"['니트꽈베기', '슬릿']",민소매,['니트'],브이넥,루즈,발목,스카이블루,청바지,,노멀,['무지'],,,,,,,화이트,,,,,,,['데님'],['무지'],,,,,,,,,,,,
84,1061749,프레피,"아우터, 하의",4,노말,오렌지,베스트,"['니트꽈베기', '슬릿']",민소매,['니트'],브이넥,루즈,발목,스카이블루,청바지,,노멀,['무지'],,,,,,,화이트,,,,,,,['데님'],['무지'],,,,,,,,,,,,
85,1061750,프레피,"아우터, 하의",4,노말,오렌지,베스트,"['니트꽈베기', '슬릿']",민소매,['니트'],브이넥,루즈,발목,스카이블루,청바지,,노멀,['무지'],,,,,,,화이트,,,,,,,['데님'],['무지'],,,,,,,,,,,,
86,1061751,프레피,"아우터, 하의",4,노말,오렌지,베스트,,민소매,['니트'],,루즈,발목,스카이블루,청바지,,노멀,['무지'],,,,,,,,,,,,,,['데님'],['무지'],,,,,,,,,,,,
87,1061752,프레피,"아우터, 하의",4,노말,오렌지,베스트,,민소매,['니트'],,루즈,발목,스카이블루,청바지,,노멀,['무지'],,,,,,,,,,,,,,['데님'],['무지'],,,,,,,,,,,,
88,1061753,프레피,"아우터, 하의",4,노말,오렌지,베스트,"['니트꽈베기', '슬릿']",민소매,['니트'],브이넥,루즈,발목,스카이블루,청바지,,노멀,['무지'],,,,,,,화이트,,,,,,,['데님'],['무지'],,,,,,,,,,,,
89,1061754,프레피,"아우터, 하의",4,노말,오렌지,베스트,"['니트꽈베기', '슬릿']",민소매,['니트'],브이넥,루즈,발목,스카이블루,청바지,,노멀,['무지'],,,,,,,화이트,,,,,,,['데님'],['무지'],,,,,,,,,,,,
90,1069789,프레피,"하의, 상의",3,,,,,,,,,발목,블루,청바지,,노멀,,,,,,,,,,,,,,,['데님'],['무지'],블랙,화이트,티셔츠,반팔,['니트'],['무지'],,노멀,크롭,"['단추', '프릴']",폴로칼라,
91,1070222,프레피,"하의, 상의",3,,,,,,,,,미니,블루,청바지,['디스트로이드'],노멀,,,,,,,,,,,,,,,['데님'],['무지'],블랙,베이지,티셔츠,반팔,['니트'],['무지'],,타이트,노멀,['단추'],폴로칼라,
92,1070223,프레피,"하의, 상의",3,,,,,,,,,,블루,청바지,['포켓'],노멀,,,,,,,,,,,,,,,['데님'],['무지'],블랙,베이지,티셔츠,반팔,['니트'],['무지'],,타이트,노멀,,,
93,1070224,프레피,"하의, 상의",3,,,,,,,,,,네이비,청바지,,노멀,,,,,,,,,,,,,,,['데님'],['무지'],블랙,베이지,티셔츠,반팔,['니트'],['무지'],,타이트,노멀,['단추'],폴로칼라,
94,1070225,프레피,"하의, 상의",3,,,,,,,,,미니,네이비,청바지,['디스트로이드'],노멀,,,,,,,,,,,,,,,['데님'],['무지'],블랙,베이지,티셔츠,반팔,['니트'],['무지'],,타이트,노멀,['단추'],폴로칼라,
95,1070227,프레피,"하의, 상의",3,,,,,,,,,,블루,청바지,['디스트로이드'],노멀,,,,,,,,,,,,,,,['데님'],['무지'],블랙,베이지,티셔츠,반팔,['니트'],['무지'],,타이트,노멀,['단추'],폴로칼라,
96,1070228,프레피,"하의, 상의",3,,,,,,,,,미니,블루,청바지,['디스트로이드'],노멀,,,,,,,,,,,,,,,['데님'],['무지'],블랙,베이지,티셔츠,반팔,['니트'],['무지'],,타이트,노멀,['단추'],폴로칼라,
97,1070229,프레피,"하의, 상의",3,,,,,,,,,미니,스카이블루,청바지,['디스트로이드'],노멀,,,,,,,,,,,,,,,['데님'],['무지'],블랙,베이지,티셔츠,반팔,['니트'],['무지'],,타이트,노멀,['단추'],폴로칼라,
98,1070232,프레피,"하의, 상의",3,,,,,,,,,,스카이블루,청바지,,노멀,,,,,,,,,,,,,,,['데님'],['무지'],블랙,베이지,티셔츠,반팔,['니트'],['무지'],,타이트,노멀,['단추'],폴로칼라,
99,107449,프레피,"하의, 상의",3,,,,,,,,,니렝스,핑크,스커트,,스키니,,,,,,,,,,,,,,,['우븐'],['무지'],핑크,블랙,블라우스,반팔,['우븐'],['무지'],브이넥,노멀,노멀,['리본'],밴드칼라,
100,107450,프레피,"하의, 상의",3,,,,,,,,,니렝스,핑크,스커트,,스키니,,,,,,,,,,,,,,,['우븐'],['무지'],화이트,블랙,블라우스,반팔,['우븐'],['무지'],브이넥,노멀,노멀,['리본'],밴드칼라,
101,107451,프레피,"하의, 상의",3,,,,,,,,,니렝스,핑크,스커트,,스키니,,,,,,,,,,,,,,,['우븐'],['무지'],화이트,블랙,블라우스,반팔,['우븐'],['무지'],브이넥,노멀,노멀,['리본'],밴드칼라,
102,107457,프레피,"하의, 상의",3,,,,,,,,,니렝스,블랙,스커트,,스키니,,,,,,,,,,,,,,,['우븐'],['무지'],화이트,블랙,블라우스,반팔,['우븐'],['무지'],브이넥,노멀,노멀,['리본'],밴드칼라,
103,107458,프레피,"하의, 상의",3,,,,,,,,,니렝스,블랙,스커트,,스키니,,,,,,,,,,,,,,,['우븐'],['무지'],화이트,블랙,블라우스,반팔,['우븐'],['무지'],브이넥,노멀,노멀,['리본'],밴드칼라,
104,107459,프레피,"하의, 상의",3,,,,,,,,,니렝스,블랙,스커트,,스키니,,,,,,,,,,,,,,,['우븐'],['무지'],화이트,블랙,블라우스,반팔,['우븐'],['무지'],브이넥,노멀,노멀,['리본'],밴드칼라,
105,107460,프레피,"하의, 상의",3,,,,,,,,,니렝스,,스커트,,스키니,,,,,,,,,,,,,,,['우븐'],['무지'],화이트,,블라우스,반팔,['우븐'],['무지'],브이넥,노멀,노멀,['리본'],밴드칼라,
